'di'te 镝铽
'di'tie 镝铁
'ga'tie 钆铁
'huo'tie 钬铁
'jin'shu'di 金属镝
'jin'shu'lan 金属镧
'jin'shu'lan'shi 金属镧铈
'jin'shu'nv 金属钕
'jin'shu'pu 金属镨
'jin'shu'pu'nv 金属镨钕
'jin'shu'shan 金属钐
'jin'shu'shi 金属铈
'jin'shu'te 金属铽
'jin'shu'yi 金属钇
'lan'shi 镧铈
'lan'shi'jin'shu 镧铈金属
'pu'nv 镨钕
'pu'nv'jin'shu 镨钕金属
'te'di 铽镝
'yang'hua'di 氧化镝
'yang'hua'er 氧化铒
'yang'hua'ga 氧化钆
'yang'hua'huo 氧化钬
'yang'hua'kang 氧化钪
'yang'hua'lan 氧化镧
'yang'hua'lu 氧化镥
'yang'hua'nv 氧化钕
'yang'hua'pu 氧化镨
'yang'hua'pu'nv 氧化镨钕
'yang'hua'shan 氧化钐
'yang'hua'shi 氧化铈
'yang'hua'te 氧化铽
'yang'hua'yi 氧化钇
'yang'hua'you 氧化铕
