'an'quan'fa 安全阀
'dai'ban'zhang 带班长
'dian'ci'fa 电磁阀
'dian'lan'bai'dong'jia 电缆摆动架
'dian'qi'xi'tong 电气系统
'ding'mao 顶锚
'fu'wu'che 服务车
'ge'di 割底
'hang'dao'hui'cai'gong'zuo'mian 巷道回采工作面
'hang'dao'jue'jin'gong'zuo'mian 巷道掘进工作面
'hang'dao'jue'jin'ji 巷道掘进机
'hang'dao'kuang'zhu 巷道矿柱
'hang'dao'mao'duan'mian 巷道毛断面
'hui'fa'fen 挥发分
'hui'fen 灰分
'kong'zhi'pei'dian'xiang 控制配电箱
'kuai'su'jue'jin 快速掘进
'kuai'su'zhi'neng'ding'liu'yi 快速智能定硫仪
'kuo'bang 扩帮
'kuo'bang'hang'dao'kuan'du 扩帮巷道宽度
'lao'tang 老塘
'lao'tang'shui 老塘水
'lian'cai'dui 连采队
'lian'jiao'mei 炼焦煤
'lian'xu'cai'mei'ji 连续采煤机
'lu'tou 露头
'luo'xuan'zuan'kong 螺旋钻空
'luo'xuan'zuan'tou 螺旋钻头
'ma'fu'lu 马弗炉
'mao'ding 冒顶
'mao'gan'ji 锚杆机
'mei'dian'zuan 煤电钻
'mei'kuang'kai'cai'quan 煤矿开采权
'mei'tan'neng'yuan'hang'ye'zhuan'ye'ci'hui 煤炭能源行业专业词汇
'mei'tan'shou'ji'xi'tong 煤炭收集系统
'mei'tian 煤田
'ni'yan 泥岩
'nian'jie'zhi'shu'ce'ding'yi 粘结指数测定仪
'pai'feng 排风
'pai'qi'kong 排气孔
'pao'cai'dui 炮采队
'pen'lin 喷淋
'pian'bang 片帮
'pian'bang'shi'gu 片帮事故
'ping'huan'po'du 平缓坡度
'ping'xing'zuo'ye 平行作业
'po'sui'ji 破碎机
'po'sui'ji'duan'lu'qi'dian'lan 破碎机断路器电缆
'pu'shi'ya'shi'fa 葡式压实法
'pu'shi'ying'du'zhi'shu 普氏硬度指数
'qian'tan'liang 前探梁
'qing'xie'de'jiao'du 倾斜的角度
'qing'xie'fa 倾泄阀
'qing'xie'kuang'zhu 倾斜矿柱
'quan'qiu'wei'xing'ding'wei'xi'tong 全球卫星定位系统
'quan'shui'fen 全水分
'quan'zi'dong'liang're'yi 全自动量热仪
're'chuan'gan'qi 热传感器
'san're'kong'zhi 散热控制
'sha'yan 砂岩
'shang'fu'di'ceng 上覆地层
'shang'shan'kai'cai'fa 上山开采法
'she'bei'zhe'jiu 设备折旧
'shui'ping'hang'dao 水平巷道
'shui'wen'guan'ce 水文观测
'ta'xian'she'bei 塌陷设备
'tong'feng'lian'luo'xiao'xiang 通风联络小巷
'tu'li 图例
'tu'rang'liu'shi'xing 土壤流失性
'tui'jin'su'du 推进速度
'tuo'guan 托管
'wa'si'fa'dian 瓦斯发电
'wa'si'pai'fang'liang 瓦斯排放量
'wa'si'tu'chu 瓦斯突出
'xi'chen'zhuang'zhi 吸尘装置
'xiao'kuai'mei 小块煤
'xie'duan'ceng 斜断层
'xie'jing 斜井
'xie'jing'jing'kou 斜井井口
'xie'jing'yang'gong 斜井仰拱
'xie'kong 斜孔
'xie'mian 斜面
'xie'po 斜坡
'xie'zai'chuan'shu'zhuang'zhi 卸载传输装置
'xiu'jia'qi 休假期
'xuan'mei'chang 选煤厂
'yan'xing 岩性
'ye'ya'yan'hu'shi'zhi'jia 液压掩护式支架
'yong'shui'gong'ji 用水供给
'yuan'jing'chu'liang 远景储量
'yun'shu'lu'xian 运输路线
'zao'yan'ji 凿岩机
'zheng'chang'duan'ceng 正常断层
'zheng'ge'gong'zuo'mian'cai'mei 整个工作面采煤
'zhi'ban'shi 值班室
'zhong'kuai 中块
'zhu'ping'xiang 主平巷
'zhu'xian'shu'song'ji 主线输送机
'zhu'xie'jing 主斜井
'zhu'yan 主岩
'zhu'yao'chan'mei'sheng 主要产煤省
'zhuang'pei'yu'liang 装配余量
'zhun'bei'hang'dao 准备巷道
'zi'dong'qing'xie'ka'che 自动倾卸卡车
'zi'jiu'qi 自救器
'zi'ran 自燃
'zong'jue'ji 综掘机
'zong'qie'mian 纵切面
'zong'xiang'ge'feng'qiang 纵向隔风墙
'zuan'ji 钻机
'zuan'kong'kou'bu 钻孔口部
'zuan'tou 钻头
