'bao'guan 报关
'cang'ku 仓库
'chi'cun 尺寸
'chu'chang 出场
'chu'yun 储运
'chuan'ming'hang'ci 船名航次
'fen'mai 分唛
'gang'kou 港口
'ji'gang 集港
'ji'zhuang'xiang 集装箱
'ji'zhuang'xiang'xiang'hao 集装箱箱号
'jiao'huo'di 交货地
'jie'guan 截关
'jin'chu 进出
'kuan'hao 款号
'lei'xing 类型
'luo'kong 落空
'mian'fei'qi'xian 免费期限
'pai'zhao 拍照
'qian'feng'hao 铅封号
'qing'dan 清单
'ti'dan'hao 提单号
'wai'yun 外运
'wu'liu 物流
'xie'gang 卸港
'yun'ying'ren 运营人
'yun'zai 运载
'zhuang'gang 装港
'zhuang'xiang 装箱
