'ai'san'ba 艾三把
'ai'ye'san'liang 艾叶三两
'an'ji'che'gang 按及车缸
'an'qi'shou'zu'shang 按其手足上
'an'shi'liu'bu'ke'duo'shi 安石榴不可多食
'an'zhi'bu'tong'wei'xu 按之不痛为虚
'an'zhi'bu'yi 按之不移
'an'zhi'fan'se 按之反涩
'an'zhi'ji'tong 按之即痛
'an'zhi'jin'ru'xian 按之紧如弦
'an'zhi'luan'jia'zhuan'wan 按之乱加转丸
'an'zhi'mei'zhi 按之没指
'an'zhi'ru 按之濡
'an'zhi'ru'fu'bei 按之如覆杯
'an'zhi'ru'suo'bu'lai 按之如索不来
'an'zhi'ruo'ru'cong'ye 按之弱如葱叶
'an'zhi'xin'xia'man'tong'zhe 按之心下满痛者
'an'zhi'yi'zao'ji'zhe 按之益躁疾者
'an'zhi'ze'yu 按之则愈
'an'zhong'yi'qi 安中益气
'ba'dou'er'mei'qu'pi'xin 巴豆二枚去皮心
'ba'dou'yi'fen'qu'pi'ao 巴豆一分去皮熬
'ba'dou'yi'liang 巴豆一两
'ba'dou'yi'liang'qu'pi'xin 巴豆一两去皮心
'ba'wei'shen'qi'wan'zhu'zhi 八味肾气丸主之
'ba'yue'jiu'yue'wu'shi'jiang 八月九月勿食姜
'bai'bing'jie'ran 百病皆然
'bai'he'bing 百合病
'bai'he'bing'jian'yu'yin'zhe 百合病见于阴者
'bai'he'bing'yi'yue'bu'jie 百合病一月不解
'bai'he'bing'zhe 百合病者
'bai'he'di'huang'tang'fang 百合地黄汤方
'bai'he'di'huang'tang'zhu'zhi 百合地黄汤主之
'bai'he'hu'huo'yin'yang'du'bing'zheng'zhi'san 百合狐惑阴阳毒病证治三
'bai'he'hua'shi'san'fang 百合滑石散方
'bai'he'hua'shi'san'zhu'zhi 百合滑石散主之
'bai'he'ji'zi'tang'fang 百合鸡子汤方
'bai'he'qi'mei'pi 百合七枚劈
'bai'he'xi'fang 百合洗方
'bai'he'xi'fang'zhu'zhi 百合洗方主之
'bai'he'yi'liang'zhi 百合一两炙
'bai'he'zhi'mu'tang'fang 百合知母汤方
'bai'he'zhi'mu'tang'zhu'zhi 百合知母汤主之
'bai'hu'jia'gui'zhi'tang'fang 白虎加桂枝汤方
'bai'hu'jia'gui'zhi'tang'zhu'zhi 白虎加桂枝汤主之
'bai'hu'jia'ren'shen'tang'fang 白虎加人参汤方
'bai'hu'jia'ren'shen'tang'zhu'zhi 白虎加人参汤主之
'bai'hu'jia'ren'shen'tang'zhu'zhi'fang'jian'zhong'ye'zhong 白虎加人参汤主之方见中暍中
'bai'jiang'wu'fen 败酱五分
'bai'jie'teng'tong 百节疼痛
'bai'jiu'qi'sheng 白酒七升
'bai'jiu'yi'dou 白酒一斗
'bai'ju'bu'ke'gong'lao'tong'shi 白苣不可共酪同食
'bai'lian'er'fen 白敛二分
'bai'ma'hei'tou'zhe 白马黑头者
'bai'ma'qing'ti'zhe 白马青蹄者
'bai'mai'yi'zong 百脉一宗
'bai'pi'ge'san'liang 柏皮各三两
'bai'pu'yi'wo'san'cun 败蒲一握三寸
'bai'qian'wu'liang 白前五两
'bai'quan'zi'si 白犬自死
'bai'shi'ying 白石英
'bai'shi'zhi 白石脂
'bai'shu'mi'bu'ke'tong'yi'mi'shi 白黍米不可同饴蜜食
'bai'tou'weng 白头翁
'bai'tou'weng'jia'gan'cao'e'jiao'tang'fang 白头翁加甘草阿胶汤方
'bai'tou'weng'jia'gan'cao'e'jiao'tang'zhu'zhi 白头翁加甘草阿胶汤主之
'bai'wei'yi'fen 白薇一分
'bai'yang'hei'tou 白羊黑头
'bai'ye 柏叶
'bai'ye'tang'fang 柏叶汤方
'bai'ye'tang'zhu'zhi 柏叶汤主之
'bai'yin'fu'fang'cun'bi 白饮服方寸匕
'bai'yu'er'fen 白鱼二分
'bai'zhu 白术
'bai'zhu'ba'fen 白朮八分
'bai'zhu'ba'liang 白术八两
'bai'zhu'ban'jin 白术半斤
'bai'zhu'er'liang 白术二两
'bai'zhu'fu'zi'tang'fang 白术附子汤方
'bai'zhu'ge'san'liang 白术各三两
'bai'zhu'qi'qian'ban 白术七钱半
'bai'zhu'san'fang'jian'wai'tai 白术散方见外台
'bai'zhu'san'fen 白术三分
'bai'zhu'san'liang 白术三两
'bai'zhu'san'zhu'zhi 白术散主之
'bai'zhu'shi'fen 白术十分
'bai'zhu'si'liang 白术四两
'bai'zhu'wu'liang 白术五两
'ban'ri'xu'zai'fu 半日许再服
'ban'xia 半夏
'ban'xia'ban'jin 半夏半斤
'ban'xia'ban'sheng 半夏半升
'ban'xia'ban'sheng'xi 半夏半升洗
'ban'xia'da'zhe'ba'mei'xi'yi'fa'ban'sheng 半夏大者八枚洗一法半升
'ban'xia'er'he'ban 半夏二合半
'ban'xia'er'liang 半夏二两
'ban'xia'ge'ban'sheng 半夏各半升
'ban'xia'hou'po'tang'fang'qian'jin'zuo'xiong'man 半夏厚朴汤方千金作胸满
'ban'xia'hou'po'tang'zhu'zhi 半夏厚朴汤主之
'ban'xia'ma'huang'wan'fang 半夏麻黄丸方
'ban'xia'ma'huang'wan'zhu'zhi 半夏麻黄丸主之
'ban'xia'shi'er'mei'yi'shui'yi'sheng 半夏十二枚以水一升
'ban'xia'si'liang 半夏四两
'ban'xia'si'liang'xi'yi'fang'yong'gui 半夏四两洗一方用桂
'ban'xia'yi'fen'ren'shen'yi'fen 半夏一分人参一分
'ban'xia'yi'sheng 半夏一升
'bao'gan 曝干
'bao'yin'ru 饱饮乳
'bao'ze'fa'fan'tou'xuan 饱则发烦头眩
'bei'bai'wei 倍白薇
'bei'dao'fu'suo'shang 被刀斧所伤
'bei'fan'zhang'zhe 背反张者
'bei'jia'xiong'qiong 倍加芎穷
'bei'mu 贝母
'bei'mu'ge'san'fen 贝母各三分
'bei'qiang 背强
'bei'shang'duo'chen 悲伤多嗔
'bei'shou'ji'fu'di'zhe 北首及伏地者
'bei'tong'che'xin 背痛彻心
'bei'tong'yao'teng 背痛腰疼
'ben'cao'suo'neng'guan 本草所能关
'ben'tun'bing 奔豚病
'ben'tun'qi'bing'mai'zheng'zhi'ba 奔豚气病脉证治八
'ben'tun'qi'shang'chong'xiong 奔豚气上冲胸
'ben'tun'tang'fang 奔豚汤方
'ben'tun'tang'zhu'zhi 奔豚汤主之
'ben'zi'you'han 本自有寒
'ben'zi'you're 本自有热
'beng'shang'nei'nv'bu'zhi 崩伤内衄不止
'bi'bao'chuan'man 必暴喘满
'bi'chi'jie'chi 必齿介齿
'bi'da'han'chu 必大汗出
'bi'duan'qi'er'ji'ye 必短气而极也
'bi'fa'ben'tun 必发奔豚
'bi'fa're'ye 必发热也
'bi'fei'zhong'feng 痹非中风
'bi'feng 避风
'bi'ju'ji 必拘急
'bi'jue 必厥
'bi'ke'zhi 必可治
'bi'se'qing'ti'chu 鼻塞清涕出
'bi'sheng'e'chuang 必生恶疮
'bi'tou'se'qing 鼻头色青
'bi'tou'se'wei'hei'se 鼻头色微黑色
'bi'tu'xie 必吐血
'bi'xia'bei'xing 痹侠背行
'bi'xiao'bian'bu'li 必小便不利
'bi'xiao'chai'hu'tang 必小柴胡汤
'bi'xin'xia'jian 必心下坚
'bi'xuan 必眩
'bi'yi'niao 必遗尿
'bi'you'feng'leng 必有风冷
'bi'you'fu'yin 必有伏饮
'bi'zao 鼻燥
'bi'zhi 必痔
'bi'zhi'tu'xie 必致吐血
'bi'zhi'yong'nong 必致痈脓
'bi'zi'yu 必自愈
'bi'zuo'cun'bai'chong 必作寸白虫
'bian'cha 便差
'bian'chang'gou 便肠垢
'bian'cheng'bai'chong 变成白虫
'bian'cheng'ke'zhe 变成渴者
'bian'dou 扁豆
'bian'fa're'zhe'yi'zuo'fa'han're 变发热者一作发寒热
'bian'ke'yu'zhi 便可与之
'bian'ru'xuan'bei 边如旋杯
'bian'ru'xuan'pan 边如旋盘
'bian'wei'li'jie'ye 便为历节也
'bian'yue 辩曰
'biao'wu'ta'bing 表无他病
'bie'jia'jian'wan'fang 鳖甲煎丸方
'bie'jia'shi'er'fen'zhi 鳖甲十二分炙
'bie'mu'ao'xian'zhe 鳖目凹陷者
'bie'yi'quan'shui'er'sheng 别以泉水二升
'bie'yi'quan'shui'er'sheng'jian'hua'shi'dai'zhe 别以泉水二升煎滑石代赭
'bing'an'qi'fu 并按其腹
'bing'cong'xiao'bian'chu 病从小便出
'bing'dang'zai'hou 病当在后
'bing'fu'jue 病趺蹶
'bing'fu'man 病腹满
'bing'fu'tong'you'chong 病腹痛有虫
'bing'huang'dan 病黄疸
'bing'jie 并解
'bing'jie'neng'shi 病解能食
'bing'jin'chuang 病金疮
'bing'ke'ni 病咳逆
'bing'leng'zhong'shang'qi 并冷肿上气
'bing'li'jie'bu'ke'qu'shen 病历节不可屈伸
'bing'mai'zhong'shi'zhi 并麦中食之
'bing'nue 病疟
'bing'ren'bu'ke'shi'hu'sui'ji'huang'hua'cai 病人不可食胡荽及黄花菜
'bing'ren'chang'yi'shou'zhi'bi'zhong'dong 病人常以手指臂肿动
'bing'ren'chi 冰人齿
'bing'ren'chuan 病人喘
'bing'ren'huo'cong'hu'xi'shang'shi'qi'yan 病人或从呼吸上蚀其咽
'bing'ren'mai'fu'zhe'zai'qian 病人脉浮者在前
'bing'ren'mian'wu'xue'se 病人面无血色
'bing'ren'xiong'man 病人胸满
'bing'ren'you'qi'se'jian'yu'mian'bu 病人有气色见于面部
'bing'ren'yu'sheng'ji'ran'xi'jing'hu'zhe 病人语声寂然喜惊呼者
'bing'sha'ren 并杀人
'bing'shu'xia'jiao 病属下焦
'bing'shui'fu'da 病水腹大
