'a'mu 阿木
'bai'cao'gu 百草谷
'bai'hu 白虎
'ben'lei'jian 奔雷剑
'ben'lei'jian'fa 奔雷剑法
'ben'lei'shan'zhuang 奔雷山庄
'bing'po'jian 冰魄剑
'bing'po'jian'fa 冰魄剑法
'bing'tian'xue'di 冰天雪地
'chang'hong'guan'ri 长虹贯日
'chang'hong'jian 长虹剑
'chang'hong'jian'fa 长虹剑法
'da'ben 大奔
'da'da 达达
'dou'dou 逗逗
'fang'neng 方能
'gai'shi'ying'xiong 盖世英雄
'hei'long'jian 黑龙剑
'hei'xiao'hu 黑小虎
'hei'xin'hu 黑心虎
'hei'xin'sha'zhang 黑心煞掌
'hong'mao 虹猫
'hu'yi'dao 狐一刀
'huang'shi'zhai'liu'qi'ge 黄石寨六奇阁
'huo'wu'xuan'feng 火舞旋风
'ji'shi'yao'dian 济世药典
'jin'bian'xi'ke'zhan 金鞭溪客栈
'jing'ling'zhi'wu 精灵之舞
'jing'shi 晶石
'jiu'zhuan'shen'gong 九转神功
'lan'tu 蓝兔
'ling'er 灵儿
'ling'quan'bao'yu 灵泉宝玉
'ling'shan'men'zhu 灵山门主
'liu'jian'he'bi 六剑合璧
'ma'san'niang 马三娘
'niu'xuan'feng 牛旋风
'qi'jian'he'bi 七剑合璧
'qi'lin 麒麟
'qing'guang'jian 青光剑
'qing'guang'jian'fa 青光剑法
'qing'long 青龙
'ren'jian'he'yi 人剑合一
'san'jian'he'bi 三剑合璧
'sha'li 莎丽
'shen'xian'wan 神仙丸
'shen'xian'zui 神仙罪
'sheng'sheng'bu'xi 生生不息
'shi'li'hua'lang 十里画廊
'shuang'jian'he'bi 双剑合璧
'shun'shi'er'wei 顺势而为
'si'jian'he'bi 四剑合璧
'tian'di'tong'shou 天地同寿
'tian'lang'men 天狼门
'tian'mo'luan'wu 天魔乱舞
'tian'wai'fei'xian 天外飞仙
'tian'wai'yun'shi 天外陨石
'tian'xuan'bai'lian 天悬白练
'tiao'tiao 跳跳
'wu'jian'bu'cui 无坚不摧
'wu'jian'he'bi 五剑合璧
'wu'yu'wu'qiu 无欲无求
'xi'xing'da'fa 吸星大法
'xiao'lu 小鹿
'xin'zhong'wu'wo 心中无我
'xuan'feng'jian 旋风剑
'xuan'feng'jian'fa 旋风剑法
'xuan'wu 玄武
'xue'mo'feng'dian'wan 血魔疯癫丸
'yin'shi'er'qi 因势而起
'yin'shi'li'dao 因势利导
'yu'chan'gong 玉蟾宫
'yu'hua'jian 雨花剑
'yu'hua'jian'fa 雨花剑法
'yu'hua'si'jian 雨花四溅
'yu'tu'xian'zi 玉兔仙子
'zhong'neng 终能
'zhu'que 朱雀
'zi'qi'dong'lai 紫气东来
'zi'yun'jian 紫云剑
'zi'yun'jian'fa 紫云剑法
