'an'juan 案卷
'bao'hu'xian'chang 保护现场
'bao'ren 保人
'bao'shi 保释
'bao'zhang'su'song'can'yu'ren'yi'fa'xiang'you'su'song'quan'li 保障诉讼参与人依法享有诉讼权利
'bei'gao'ren 被告人
'bei'hai'ren 被害人
'ben'su 本诉
'bian'hu 辩护
'bian'hu'ci 辩护词
'bian'hu'quan 辩护权
'bian'hu'ren 辩护人
'bian'hu'shi 辩护士
'bian'hu'zhi'neng 辩护职能
'bian'lun'zhu'yi 辩论主义
'bing'an'guan'xia 并案管辖
'bo'hui'shen'qing'hui'bi'de'jue'ding 驳回申请回避的决定
'bu'chong'jian'ding 补充鉴定
'bu'gao'bu'li 不告不理
'bu'jian'duan'yuan'ze 不间断原则
'bu'li'an'jue'ding 不立案决定
'bu'men'guan'xia 部门管辖
'bu'qi'su 不起诉
'bu'qi'su'jue'ding'shu 不起诉决定书
'cha'feng 查封
'che'hui'qi'su 撤回起诉
'che'hui'su'song 撤回诉讼
'che'hui'zi'su 撤回自诉
'che'su 撤诉
'che'xiao'bu'qi'su'jue'ding'shu 撤销不起诉决定书
'che'xiao'mian'yu'qi'su'jue'ding'shu 撤销免予起诉决定书
'cheng'xu'fa 程序法
'chong'xin'jian'ding 重新鉴定
'chuan'huan 传唤
'chuan'piao 传票
'chuan'xun 传讯
'dai'bu 逮捕
'dai'bu'zheng 逮捕证
'dan'bao'bao'zheng'shu 担保保证书
'dang'shi'ren 当事人
'dang'shi'ren'zhu'yi 当事人主义
'di'qu'guan'xia 地区管辖
'di'yu'guan'xia 地域管辖
'dui'gong'min'zai'shi'yong'fa'lv'shang'yi'lv'ping'deng 对公民在适用法律上一律平等
'duo'shu'bian'hu 多数辩护
'fa'ding'dai'li'ren 法定代理人
'fa'ding'qi'jian 法定期间
'fa'yuan'zhi'jie'shou'li'de'xing'shi'an'jian 法院直接受理的刑事案件
'fan'su 反诉
'fan'yi'ren'yuan 翻译人员
'fei'chang'su'song 非常诉讼
'fei'fa'dai'bu 非法逮捕
'fei'fa'ju'liu 非法拘留
'fen'gong'fu'ze'hu'xiang'pei'he'hu'xiang'zhi'yue 分工负责互相配合互相制约
'fu'dai'min'shi'su'song 附带民事诉讼
'fu'dai'min'shi'su'song'de'dang'shi'ren 附带民事诉讼的当事人
'fu'dai'min'shi'su'song'de'yuan'gao'ren'he'bei'gao'ren 附带民事诉讼的原告人和被告人
'gao'su 告诉
'gao'su'cai'chu'li 告诉才处理
'gao'su'nai'lun 告诉乃论
'geng'huan'jian'ding'ren 更换鉴定人
'gong'an'ji'guan'zhen'cha'de'xing'shi'an'jian 公安机关侦查的刑事案件
'gong'su 公诉
'gong'su'an'jian 公诉案件
'gong'su'ci 公诉词
'gong'su'ji'guan 公诉机关
'gong'su'ren 公诉人
'gong'su'zhi'du 公诉制度
'gong'tong'bian'hu 共同辩护
'guan'xia 管辖
'guan'xia'zheng'yi 管辖争议
'guang'yi'de'xing'shi'su'song'fa 广义的刑事诉讼法
'guo'jia'zhi'quan'zhu'yi 国家职权主义
'guo'jia'zhui'su'zhu'yi 国家追诉主义
'hu'su 互诉
'hui'bi 回避
'hui'bi'jue'ding 回避决定
'hun'he'shi'su'song 混合式诉讼
'ji'bie'guan'xia 级别管辖
'ji'ya 羁押
'ji'ya'shi'xian 羁押时限
'jian'bei'ju'zhu'jue'ding'shu 监被居住决定书
'jian'cha'yuan'zi'xing'zhen'cha'de'xing'shi'an'jian 检察院自行侦查的刑事案件
'jian'ding'ren 鉴定人
'jian'ju 检举
'jian'ju'quan 检举权
'jian'ju'shi'shi 检举失实
'jian'shi'ju'zhu 监视居住
'jian'zheng'ren 见证人
'jing'ji'fan'zui'an'jian 经济犯罪案件
'jiu'wen'shi'su'song 纠问式诉讼
'ju'chuan 拘传
'ju'chuan'piao 拘传票
'ju'jue'bian'hu 拒绝辩护
'ju'liu 拘留
'ju'liu'zheng 拘留证
'ju'ti 拘提
'jue'ding'dai'bu 决定逮捕
'kang'ju'dai'bu 抗拒逮捕
'kong'gao 控告
'kong'su'shi'su'song 控诉式诉讼
'kong'su'zhi'neng 控诉职能
'kou'ya 扣押
'kou'ya'wu'pin'qing'dan 扣押物品清单
'kuai'ji'jian'ding 会计鉴定
'lei'bie'guan'xia 类别管辖
'li'an 立案
'li'an'cai'liao 立案材料
'li'an'cheng'xu 立案程序
'li'an'guan'xia 立案管辖
'li'an'ji'guan 立案机关
'li'an'jue'ding 立案决定
'li'an'tiao'jian 立案条件
'lian'dai'guan'xia 联带管辖
'liang'shen'zhong'shen'zhi 两审终审制
'ling'xing'wei'tuo'bian'hu 另行委托辩护
'liu'zhi'song'da 留置送达
'mian'yu'qi'su 免予起诉
'mian'yu'qi'su'jue'ding'shu 免予起诉决定书
'niu'song 扭送
'pei'shen'zhi'du 陪审制度
'pin'qing'jian'ding 聘请鉴定
'po'an 破案
'pu'tong'cheng'xu 普通程序
'pu'tong'xing'shi'an'jian 普通刑事案件
'qi'jian 期间
'qi'su 起诉
'qi'su'cheng'xu 起诉程序
'qi'su'jue'ding 起诉决定
'qi'su'shu 起诉书
'qi'su'xing'shi 起诉形式
'qian'lian'guan'xia 牵连管辖
'qiang'zhi'cuo'shi 强制措施
'qing'wei'xing'shi'an'jian 轻微刑事案件
'qu'bao'hou'shen 取保候审
'qu'bao'hou'shen'jue'ding'shu 取保候审决定书
'ren'fan 人犯
'ren'shen'jian'cha 人身检查
'ren'shen'sou'cha 人身搜查
'she'wai'guan'xia 涉外管辖
'she'wai'xing'shi'an'jian 涉外刑事案件
'shen'cha'pi'bu 审查批捕
'shen'cha'qi'su 审查起诉
'shen'hui'shi'su'song 审回式诉讼
'shen'ji'guan'xia 审级管辖
'shen'pan'gong'kai 审判公开
'shen'pan'guan'xia 审判管辖
'shen'pan'zhi'neng 审判职能
'shen'qing'fu'yi 申请复议
'shen'qing'hui'bi 申请回避
'shen'qing'hui'bi'quan 申请回避权
'shen'su 申诉
'shen'su'quan 申诉权
'shi'fang 释放
'shi'wu'guan'xia 事物管辖
'shou'an 收案
'si'fa'ji'guan'tong'qun'zhong'xiang'jie'he 司法机关同群众相结合
'si'fa'ju'liu 司法拘留
'si'su 私诉
'song'da 送达
'song'da'dai'shou'ru 送达代收入
'song'da'ji'guan 送达机关
'song'da'qi'jian 送达期间
'song'da'ren 送达人
'song'da'zheng 送达证
'song'gun 讼棍
'song'shi 讼师
'sou'cha 搜查
'sou'cha'zheng 搜查证
'su'song 诉讼
'su'song'cheng'xu 诉讼程序
'su'song'dai'li 诉讼代理
'su'song'dai'li'ren 诉讼代理人
'su'song'di'wei 诉讼地位
'su'song'fa 诉讼法
'su'song'fei'yong 诉讼费用
'su'song'ke'ti 诉讼客体
'su'song'neng'li 诉讼能力
'su'song'quan'li 诉讼权利
'su'song'wen'shu 诉讼文书
'su'song'xing'shi 诉讼形式
'su'song'xing'wei 诉讼行为
'su'song'yi'wu 诉讼义务
'su'song'zhu'ti 诉讼主体
'su'zhuang 诉状
'tan'he'shi'su'song 弹劾式诉讼
'te'shu'cheng'xu 特殊程序
'ti'qi'gong'su 提起公诉
'ti'qi'xing'shi'su'song 提起刑事诉讼
'ti'qing'fu'he 提请复核
'tong'an'bei'gao'ren 同案被告人
'tong'ji 通缉
'tong'ji'ling 通缉令
'tong'zhi'shu 通知书
'tui'hui'bu'chong'zhen'cha 退回补充侦查
'wei'fan'su'song'cheng'xu 违反诉讼程序
'wei'jue'fan 未决犯
'wei'tuo'bian'hu 委托辩护
'wei'tuo'bian'hu'ren 委托辩护人
'wei'tuo'dai'li'ren 委托代理人
'wu'zui'shi'fang 无罪释放
'xia'yi'de'xing'shi'su'song'fa 狭义的刑事诉讼法
'xian'chang'kan'yan 现场勘验
'xing'shi'an'jian 刑事案件
'xing'shi'bei'gao'ren 刑事被告人
'xing'shi'fu'dai'min'shi'su'song 刑事附带民事诉讼
'xing'shi'guan'xia 刑事管辖
'xing'shi'jian'ding 刑事鉴定
'xing'shi'ju'liu 刑事拘留
'xing'shi'su'song 刑事诉讼
'xing'shi'su'song'can'yu'ren 刑事诉讼参与人
'xing'shi'su'song'cheng'xu 刑事诉讼程序
'xing'shi'su'song'fa 刑事诉讼法
'xing'shi'su'song'fa'dian 刑事诉讼法典
'xing'shi'su'song'fa'xue 刑事诉讼法学
'xing'shi'su'song'jie'duan 刑事诉讼阶段
'xing'shi'su'song'ke'ti 刑事诉讼客体
'xing'shi'su'song'zhi'neng 刑事诉讼职能
'xing'shi'su'song'zhu'ti 刑事诉讼主体
'xing'zheng'ju'liu 行政拘留
'xun'wen 讯问
'xun'wen'bi'lu 讯问笔录
'yan'ci'yuan'ze 言词原则
'yi'ju'dai'bu 以拘代捕
'yi'ju'dai'zhen 以拘代侦
'yi'jue'fan 已决犯
'yi'shi'bu'zai'li 一事不再理
'yi'shi'shi'wei'gen'ju'yi'fa'lv'wei'zhun'sheng 以事实为根据以法律为准绳
'yi'song'guan'xia 移送管辖
'yin'si'an'jian 阴私案件
'yong'ben'min'zu'yu'yan'jin'xing'su'song 用本民族语言进行诉讼
'you'li'bei'gao 有利被告
'yu'shen 预审
'yue'juan'bi'lu 阅卷笔录
'ze'fu 责付
'zhe'zhong'shi'su'song 折衷式诉讼
'zhen'cha'cheng'xu 侦查程序
'zhen'cha'cuo'shi 侦查措施
'zhen'cha'shi'yan 侦查实验
'zhen'cha'zhong'jie 侦查终结
'zheng'ren 证人
'zheng'ren'quan'li 证人权利
'zheng'ren'yi'wu 证人义务
'zhi'chi'gong'su 支持公诉
'zhi'ding'bian'hu 指定辩护
'zhi'ding'bian'hu'ren 指定辩护人
'zhi'ding'dai'li'ren 指定代理人
'zhi'ding'guan'xia 指定管辖
'zhi'jie'yuan'ze 直接原则
'zhi'neng'guan'xia 职能管辖
'zhi'pai'jian'ding 指派鉴定
'zhi'qing'bu'ju 知情不举
'zhi'quan'yuan'ze 职权原则
'zhi'wai'fa'quan 治外法权
'zhi'xing'ju'chuan 执行拘传
'zhong'da'xian'yi'ren 重大嫌疑人
'zhu'fa 助法
'zhu'suo'sou'cha 住所搜查
'zhuan'men'guan'xia 专门管辖
'zhui'ji'cuo'shi 追缉措施
'zhui'su 追诉
'zi'su 自诉
'zi'su'an'jian 自诉案件
'zi'su'ren 自诉人
'zi'xing'hui'bi 自行回避
