'a'mu'da'er'ding'lv 阿姆达尔定律
'ci'dai'kong'zhi'qi 磁带控制器
'ci'dai'ku 磁带库
'ci'dai'tou'biao 磁带头标
'ci'dao'ge'shi 磁道格式
'ci'dao'kuan'du 磁道宽度
'ci'fa 词法
'ci'pan'gao'su'huan'cun 磁盘高速缓存
'ci'pan'ji'lu'kuai 磁盘记录块
'ci'pan'jing'xiang 磁盘镜像
'ci'pan'qu'dong'qi 磁盘驱动器
'ci'pan'shi'pei'qi 磁盘适配器
'ci'shi'yong'pin'du 词使用频度
'ci'tou'qi'luo'qu 磁头起落区
'ci'xin 磁心
'ci'yu'qie'fen 词语切分
'cu'cao'ji 粗糙集
'cu'ding'wei 粗定位
'cun'chu'bao'hu 存储保护
'cun'chu'dan'yuan 存储单元
'cun'chu'mo'kuai 存储模块
'cun'chu'qi'ceng'ci 存储器层次
'cun'chu'qi'cun'qu'mo'shi 存储器存取模式
'cun'chu'qi'ting'dun 存储器停顿
'cun'chu'ti'chong'tu 存储体冲突
'cun'chu'xi'tong 存储系统
'cun'chu'xin'pian 存储芯片
'cun'chu'zhan 存储栈
'cun'chu'zhou'qi 存储周期
'cun'qu'fang'fa 存取方法
'cun'qu'tou'ming'xing 存取透明性
'cuo'wu'dai'ma 错误代码
'cuo'wu'hui'fu'guo'cheng 错误恢复过程
'cuo'wu'jian'yan'ma 错误检验码
'cuo'wu'kuo'san 错误扩散
'cuo'wu'lei'bie 错误类别
'cuo'wu'mo'shi 错误模式
'cuo'wu'zhen'duan 错误诊断
'da'xing'ji'suan'ji 大型计算机
'da'yin'ji'tuo'jia 打印机托架
'da'yin'zhi'liang 打印质量
'dai'fu'hao 带符号
'dai'ma'kuo'chong 代码扩充
'dai'ma'yi'dong 代码移动
'dai'ma'zhuan'huan'qi 代码转换器
'dai'tou 带头
'dan'ban'ji'suan'ji 单板计算机
'dan'bo 单播
'dan'bu'fa 单步法
'dan'chun'xing 单纯形
'dan'dian'gu'zhang 单点故障
'dan'diao'qu'lv'luo'xian 单调曲率螺线
'dan'diao'tui'li 单调推理
'dan'ge'di'zhi 单个地址
'dan'ji 单击
'dan'lie'zhi'cha'feng'zhuang 单列直插封装
'dan'lie'zhi'cha'shi'nei'cun'zu'jian 单列直插式内存组件
'dan'pian'xi'tong 单片系统
'dan'se'xian'shi'shi'pei'qi 单色显示适配器
'dan'shi'jian'suo'ding 单事件锁定
'dan'wei 单位
'dan'xiang'zhan'zi'dong'ji 单向栈自动机
'dan'yi'bian'zhi'kong'jian 单一编址空间
'dan'yuan'ce'shi 单元测试
'dan'zhi'ling'liu'duo'shu'ju'liu 单指令流多数据流
'dan'zong'xian 单总线
'dang'an'wen'jian 档案文件
'dang'qian'you'xian'ji 当前优先级
'dao'chu'gui'ze 导出规则
'dao'han 倒焊
'dao'ru'gui'yue 导入规约
'deng'jia'guan'xi 等价关系
'deng'shi'luo'ji 等式逻辑
'deng'zhi'xian'tu 等值线图
'di'dian'ya'zheng'dian'yuan'she'ji'ou'he'luo'ji 低电压正电源射极耦合逻辑
'di'gui'ji'suan 递归计算
'di'gui'yu'yan 递归语言
'di'ji'ge'shi'hua 低级格式化
'di'ji'yu'yan 低级语言
'di'jie'kong'zhi 递阶控制
'di'san'dai'yu'yan 第三代语言
'di'wu'dai'ji'suan'ji 第五代计算机
'di'yi'dai'ji'suan'ji 第一代计算机
'di'zhi'zong'xian 地址总线
'dian'dui'dian'lian'jie 点对点连接
'dian'he'ou'he'cun'chu'qi 电荷耦合存储器
'dian'ji'she'bei 点击设备
'dian'lu'jiao'huan'shu'ju'wang 电路交换数据网
'dian'ping'min'gan'sao'miao'she'ji 电平敏感扫描设计
'dian'rong'shi'chu'mo'ping 电容式触摸屏
'dian'ya'jie'yue 电压阶跃
'dian'yuan'kong'zhi'wei'ma 电源控制微码
'dian'zhen'da'yin'ji 点阵打印机
'dian'zhuo'shi'yin'shua'ji 电灼式印刷机
'dian'zi'biao'ge 电子表格
'dian'zi'mei'ti 电子媒体
'dian'zi'shi'chang 电子市场
'dian'zi'wen'ben 电子文本
'dian'zu'sun'hao 电阻损耗
'diao'du'biao 调度表
'diao'yong'zhe 调用者
'die'pian'shi'ci'tou 叠片式磁头
'ding'dian'shu 定点数
'ding'shi'zha'dan 定时炸弹
'ding'xing'miao'shu 定性描述
'ding'yi'yu 定义域
'dong'jie'biao'ji 冻结标记
'dong'tai'chong'ding'wei 动态重定位
'dong'tai'cuo'wu 动态错误
'dong'tai'di'zhi'zhuan'huan 动态地址转换
'dong'tai'fen'pei 动态分配
'dong'tai'gui'hua'fa 动态规划法
'dong'tai'kong'zhi 动态控制
'dong'tai'niu'xie 动态扭斜
'du'li'cheng'xu 独立程序
'du'liang 度量
'du'xie'ci'tou 读写磁头
'du'xie'kong 读写孔
'du'xie'zhou'qi 读写周期
'du'xin'hao 读信号
'duan'jie'dian'zu'qi 端接电阻器
'duan'xian 短线
'duan'yan 断言
'dui'bi'du'kuo'zhan 对比度扩展
'dui'bi'ling'min'du 对比灵敏度
'dui'chen'shi'duo'chu'li'ji 对称式多处理机
'dui'hua'kong'zhi'kuai 对话控制块
'dui'jiao'xian'ce'shi 对角线测试
'dui'liu 对流
'dui'pai'xu 堆排序
'dui'xiang'jian'mo'ji'shu 对象建模技术
'dui'xiang'lian'jie 对象连接
'duo'ceng'mo'shi 多层模式
'duo'chu'li'qi 多处理器
'duo'di'zhi'ji'suan'ji 多地址计算机
'duo'dian'kong'zhi'qi 多点控制器
'duo'dian'tong'xin 多点通信
'duo'duan'kou'cun'chu'qi 多端口存储器
'duo'fen'bian'lv'fen'xi 多分辨率分析
'duo'gong'xu'shi'ti'zao'xing 多工序实体造型
'duo'gu'zhang 多故障
'duo'hui'lu'kong'zhi 多回路控制
'duo'ji'gao'su'huan'cun 多级高速缓存
'duo'ji'wang'luo 多级网络
'duo'lu'zhuan'huan'tong'dao 多路转换通道
'duo'mei'ti'ji'suan'ji 多媒体计算机
'duo'mei'ti'shu'ju'mo'xing 多媒体数据模型
'duo'mi'nuo'xiao'ying 多米诺效应
'duo'mian'ti'cai'jian 多面体裁剪
'duo'mian'ti'mo'xing 多面体模型
'duo'ren'wu'guan'li 多任务管理
'duo'shu'xing'jue'ce'xi'tong 多属性决策系统
'duo'tou'tu'ling'ji 多头图灵机
'duo'xiang'shi'dui'shu'shi'jian 多项式对数时间
'duo'xiang'shi'ke'gui'yue'de 多项式可归约的
'duo'yong'hu 多用户
'duo'yong'hu'xi'tong 多用户系统
'duo'zhi'luo'ji 多值逻辑
'duo'zhong'ji 多重集
'duo'zhou'qi'shi'xian 多周期实现
'e'ding'fu'zai 额定负载
'er'cha'pai'xu'shu 二叉排序树
'er'cha'pan'ding'tu 二叉判定图
'er'ci'xing'xing'neng'zhi'biao 二次型性能指标
'er'dian'tou'shi 二点透视
'er'ji'gao'su'huan'cun 二级高速缓存
'er'jie'can'shu'lian'xu 二阶参数连续
'er'yuan'guan'xi 二元关系
'fa'she 发射
'fan'bian'yi'cheng'xu 反编译程序
'fan'chong 反冲
'fan'chou 范畴
'fan'chuan'wang'luo 反传网络
'fan'du 反读
'fan'guan'xi 泛关系
'fan'kui'bian'ji'he 反馈边集合
'fan'li 范例
'fan'li'xiu'zheng 范例修正
'fan'she'ti 反射体
'fan'shi 范式
'fan'wei 范围
'fan'xiang'hui'fu 反向恢复
'fan'xiang'ju'yu'wang'xin'dao 反向局域网信道
'fang'bing'du 防病毒
'fang'suo 放缩
'fang'wei'jiao'ci'ji'lu 方位角磁记录
'fang'wen'gong'xiang 访问共享
'fang'zhen 仿真
'fei'ping'bi'shuang'jiao'xian 非屏蔽双绞线
'fei'que'ding'ji'suan 非确定计算
'fei'que'ding'xing'you'qiong'zi'dong'ji 非确定型有穷自动机
'fei'yi'shi'xing'cun'chu'qi 非易失性存储器
'fei'yu'ding'wei'xiu 非预定维修
'fen'bu'deng'dai'tu 分布等待图
'fen'bu'dian'rong 分布电容
'fen'bu'fu'zai 分布负载
'fen'bu'shi'cheng'xu'she'ji 分布式程序设计
'fen'bu'shi'duo'mei'ti 分布式多媒体
'fen'bu'shi'ji'suan'ji 分布式计算机
'fen'bu'shi'kong'zhi 分布式控制
'fen'bu'shi'pai'xu'suan'fa 分布式排序算法
'fen'bu'shi'ren'gong'zhi'neng 分布式人工智能
'fen'bu'shi'shu'ju'ku 分布式数据库
'fen'duan 分段
'fen'ji'wang 分级网
'fen'li'dian'lu 分立电路
'fen'pai 分派
'fen'pian'mo'shi 分片模式
'fen'qing'kuang'yu'ju 分情况语句
'fen'qu'biao 分区表
'fen'san'shi'chu'li 分散式处理
'fen'shi'cao'zuo'xi'tong 分时操作系统
'fen'shi'dong'tai'fen'pei'cheng'xu 分时动态分配程序
'fen'shi'jiu'xu'fang'shi 分时就绪方式
'fen'shi'kong'zhi'ren'wu 分时控制任务
'fen'xi'gong'ji 分析攻击
'fen'xi'jie'duan 分析阶段
'fen'xi'shu'xing 分析属性
'fen'zhi'xian'jie'sou'suo 分支限界搜索
'feng'zhi'jian'ce 峰值检测
'fu'ben 副本
'fu'dong'kuai 浮动块
'fu'du'fen'ge 幅度分割
'fu'hao'fen'xi 符号分析
'fu'hao'luo'ji 符号逻辑
'fu'hao'zhi'neng 符号智能
'fu'hao'zhi'xing 符号执行
'fu'luo'ji'lun 赋逻辑论
'fu'shu'chu'li'qi 附属处理器
'fu'wei 复位
'fu'wu'fa'qi'zhe 服务发起者
'fu'wu'li'cheng 服务例程
'fu'yue'bian 负跃变
'fu'zai 负载
'fu'zhu'fu'ben 辅助副本
'gai'lv'mi'du 概率密度
'gai'nian'mo'xing 概念模型
'gai'nian'tu 概念图
'gai'xie 盖写
'gao'jie'yu'yan 高阶语言
'gao'kuan'bi 高宽比
'gao'mi'du'zu'zhuang 高密度组装
'gao'su'huan'cun 高速缓存
'gao'wei'suo'yin 高维索引
'gao'xing'neng'ji'suan'ji 高性能计算机
'ge'de'er'pei'shu 哥德尔配数
'ge'hang 隔行
'ge'ren'ji'suan'ji 个人计算机
'ge'shi'hua'rong'liang 格式化容量
'ge'xing'biao'ji 个性标记
'ge'yang'ci'dai 铬氧磁带
'geng'xin'shi'wu'chu'li 更新事务处理
'gong'gong'dui'xiang'mo'xing 公共对象模型
'gong'gong'jie'di'dian 公共接地点
'gong'gong'zi'yuan 公共资源
'gong'li'fu'za'xing 公理复杂性
'gong'lv'mi'du 功率密度
'gong'neng'kuai 功能块
'gong'neng'she'ji 功能设计
'gong'ping'wang 公平网
'gong'ping'xing 公平性
'gong'xiang'gao'su'huan'cun 共享高速缓存
'gong'xiang'xu'ni'qu 共享虚拟区
'gong'ye'biao'zhun'ti'xi'jie'gou 工业标准体系结构
'gong'ye'ji'suan'ji 工业计算机
'gong'zheng 公正
'gong'zuo'liu 工作流
'gong'zuo'wen'du 工作温度
'gou'jian'kuai 构件块
'gou'jian'ruan'jian'gong'cheng 构件软件工程
'gou'zao'cheng'xu 构造程序
'gou'zao'xing'zheng'ming 构造性证明
'gu'ding'zi'chang 固定字长
'gu'er'xiao'xi 孤儿消息
'gu'shi'fen'xi 故事分析
'gu'you'duo'yi'xing 固有多义性
'gu'zhang 故障
'gu'zhang'bao'rong 故障包容
'gu'zhang'ce'shi 故障测试
'gu'zhang'deng'xiao 故障等效
'gu'zhang'ding'wei'ce'shi 故障定位测试
'gu'zhang'dong'jie 故障冻结
'gu'zhang'ju'zhen 故障矩阵
'gu'zhang'mo'ni 故障模拟
'gu'zhang'ruo'hua'neng'li 故障弱化能力
'gu'zhang'zhen'duan'cheng'xu 故障诊断程序
'gu'zhang'zhu'ru 故障注入
'gua'qi'shi'jian 挂起时间
'guan'cha'xue'xi 观察学习
'guan'cha'yun'xu'jiao 观察允许角
'guan'li'cheng'xu 管理程序
'guan'li'cheng'xu'diao'yong'zhong'duan 管理程序调用中断
'guan'li'ji'suan'ji 管理计算机
'guan'lian'chu'li'ji 关联处理机
'guan'lian'shi'xiao 关联失效
'guan'xi'luo'ji 关系逻辑
'guan'xi'xi'tong 关系系统
'guan'xing'ju 惯性矩
'guang'die 光碟
'guang'die'du'tou 光碟读头
'guang'die'ta 光碟塔
'guang'ji'lu'jie'zhi 光记录介质
'guang'shan'sao'miao 光栅扫描
'guang'xue'tu'xiang 光学图像
'guang'yi'sui'ji'ju'li'wang 广义随机距离网
'gui'bian'yi'qi 硅编译器
'gui'bing 归并
'gui'fan'ming 规范名
'gui'ge'hua'chu'li 规格化处理
'gui'hua'xi'tong 规划系统
'gui'ling'dao 归零道
'gui'na'gong'li 归纳公理
'gui'na'luo'ji'cheng'xu'she'ji 归纳逻辑程序设计
'gui'yue'ji 归约机
'guo'cheng'tong'bu 过程同步
'guo'jia'xin'xi'ji'chu'she'shi 国家信息基础设施
'guo'kong 过孔
'guo'qi'shu'ju 过期数据
'ha'mi'dun'hui'lu 哈密顿回路
'ha'mi'dun'hui'lu'wen'ti 哈密顿回路问题
'han'ming'ma 汉明码
'han'shu 函数
'han'yu 汉语
'han'yu'sheng'cheng 汉语生成
'han'yu'xin'xi'chu'li 汉语信息处理
'han'yu'yu'yin'shi'bie 汉语语音识别
'han'zi'bian'ma 汉字编码
'han'zi'bian'ma'ji'shu 汉字编码技术
'han'zi'kuo'zhan'nei'ma'gui'fan 汉字扩展内码规范
'han'zi'liu'tong'pin'du 汉字流通频度
'han'zi'pen'mo'yin'shua'ji 汉字喷墨印刷机
'han'zi'zhong'duan 汉字终端
'hang'di'zhi'xuan'tong 行地址选通
'hang'zhu'xiang'liang'cun'chu 行主向量存储
'he'cheng'qi 合成器
'he'cheng'shi'pin 合成视频
'he'qu'fan'shi 合取范式
'he'shi'ci'dai 盒式磁带
'he'shi'ci'pan 盒式磁盘
'he'yi'bu'jian 合一部件
'hei'ban'xie'tiao 黑板协调
'hei'di'ping 黑底屏
'hei'xiang'ce'shi 黑箱测试
'hei'xin'hao 黑信号
'heng'xian'su'du 恒线速度
'heng'xiang'jian'yan 横向检验
'heng'xiang'sao'miao 横向扫描
'hou'bei'ruan'pan 后备软盘
'hou'ceng'ya'ban 厚层压板
'hou'duan'wang 后端网
'hou'jia'an'quan 后加安全
'hou'jin'xian'chu 后进先出
'hou'men 后门
'hou'tai'ren'wu 后台任务
'hou'tong'bu'ma 后同步码
'hu'huan'xing 互换性
'hu'jiao'jin'xing'xin'hao 呼叫进行信号
'hua'fen'suan'fa 划分算法
'hua'yin 话音
'hua'yu'fen'xi 话语分析
'huan'chong'qi 缓冲器
'huan'jing'ying'she 环境映射
'huan'xing 唤醒
'hui'bian'yu'yan 汇编语言
'hui'du'bian'huan 灰度变换
'hui'fu'neng'li 恢复能力
'hui'hua'ceng 会话层
'hui'jiao 回叫
'hui'lu 回路
'hui'sao'shi'jian 回扫时间
'hui'song 回送
'hui'tan'li 回弹力
'hui'tu'ji 绘图机
'hun'he'jie'gou 混合结构
'hun'xi'jiao'huan 混洗交换
'ji'ben'kuai 基本块
'ji'bian 畸变
'ji'cheng'zi'dong'hua 集成自动化
'ji'cun'qi'chang'du 寄存器长度
'ji'da'shi'da'yin'ji 击打式打印机
'ji'da'zao'sheng 击打噪声
'ji'fei 计费
'ji'fen'kong'zhi 积分控制
'ji'guang'yin'shua'ji 激光印刷机
'ji'he'ping'jun 几何平均
'ji'lian 级联
'ji'liang'yu'yan'xue 计量语言学
'ji'qi'fan'yi'ping'jia 机器翻译评价
'ji'qi'lang'fei'shi'jian 机器浪费时间
'ji'qi'ma 机器码
'ji'qi'ren'xue 机器人学
'ji'qi'yun'xing 机器运行
'ji'sheng'dian'rong 寄生电容
'ji'shu'pai'xu 基数排序
'ji'suan'ji'cao'zuo'zhi'dao 计算机操作指导
'ji'suan'ji'fu'zhu'ce'shi 计算机辅助测试
'ji'suan'ji'fu'zhu'gong'cheng'she'ji 计算机辅助工程设计
'ji'suan'ji'fu'zhu'hou'qin'bao'zhang 计算机辅助后勤保障
'ji'suan'ji'fu'zhu'jiao'xue 计算机辅助教学
'ji'suan'ji'ji'shu 计算机技术
'ji'suan'ji'kong'zhi 计算机控制
'ji'suan'ji'li'jie 计算机理解
'ji'suan'ji'ti'xi'jie'gou 计算机体系结构
'ji'suan'ji'xian'shi 计算机显示
'ji'suan'ji'yi'miao 计算机疫苗
'ji'suan'ji'ying'jian 计算机硬件
'ji'suan'ji'ying'yong'ji'shu 计算机应用技术
'ji'suan'ji'zhuan'ye'ci'hui 计算机专业词汇
'ji'xian'you'xian'ji 极限优先级
'ji'xie'xue'xi 机械学习
'ji'yu'dai'jia'de'cha'xun'you'hua 基于代价的查询优化
'ji'yu'lei'xing'li'lun'de'fang'fa 基于类型理论的方法
'ji'yu'yan 迹语言
'ji'yu'zhi'shi'de'tui'li 基于知识的推理
'ji'yu'zhi'shi'de'zi'xun'xi'tong 基于知识的咨询系统
'ji'zhi 机制
'ji'zhong'shi'huan'chong'chi 集中式缓冲池
'ji'zhun'wang'luo 基准网络
'ji'zhun'xian 基准线
'jia'fa'qi 加法器
'jia'mi 加密
'jia'mi'xie'yi 加密协议
'jia'quan'tong'bu'ju'li 加权同步距离
'jia'se 假色
'jia'suo 加锁
'jia'xin'hao 假信号
'jian'bie 鉴别
'jian'bie'xin'xi 鉴别信息
'jian'cha'biao 检查表
'jian'cha'cheng'xu 检查程序
'jian'du'kong'zhi 监督控制
'jian'jie'xing 简洁性
'jian'ma 键码
'jian'rong'xing 兼容性
'jian'shi'qi 监视器
'jian'su'shi'jian 减速时间
'jian'suo 检索
'jian'suo'xing'ye'wu 检索型业务
'jian'wei'bu'ju 键位布局
'jian'yan'ban'ce'shi 检验板测试
'jian'yan'dian'lu 检验电路
'jian'yan'ma 检验码
'jian'yan'wei 检验位
'jian'zhen'qi 减震器
'jiang'ji'yun'xing 降级运行
'jiao'ben 脚本
'jiao'cha'cun'chu'qi 交叉存储器
'jiao'cha'kai'guan 交叉开关
'jiao'cha'lian'jie'wen'jian 交叉链接文件
'jiao'cha'ou'he 交叉耦合
'jiao'du'wei'zhi'chuan'gan'qi 角度位置传感器
'jiao'hu'cuo'wu 交互错误
'jiao'hu'gu'zhang 交互故障
'jiao'hu'shi'cha'zhao 交互式查找
'jiao'hu'shi'pi'chu'li 交互式批处理
'jiao'hu'shi'xie'yi 交互式协议
'jiao'hu'shi'zheng'ming 交互式证明
'jiao'hu'yun'zuo 交互运作
'jiao'huan'pai'lie 交换排列
'jiao'tan'fu'wu 交谈服务
'jie'chu'ya'li 接触压力
'jie'di'xi'tong 接地系统
'jie'dian 结点
'jie'duan'wu'cha 截断误差
'jie'gou 结构
'jie'gou'chong'tu 结构冲突
'jie'gou'fen'ye'xi'tong 结构分页系统
'jie'kou 接口
'jie'kou'fen'xi 接口分析
'jie'mian 截面
'jie'shi'cheng'xu 解释程序
'jin'cheng'cun'chu'qi'kai'guan'biao'shi 进程存储器开关表示
'jin'cheng'tong'bu 进程同步
'jin'ji'duan'dian 紧急断电
'jin'shu'hua'tao'ci'mo'kuai 金属化陶瓷模块
'jin'si'suan'fa 近似算法
'jin'yong'zi'fu 禁用字符
'jin'zhi'dian'lu 禁止电路
'jin'zhi'mai'chong 禁止脉冲
'jin'zhi'zhuang'tai 禁止状态
'jin'zi'ta'jie'gou 金字塔结构
'jing'dian'hui'tu'ji 静电绘图机
'jing'jian'zhi'ling 精简指令
'jing'jian'zhi'ling'ji'ji'suan'ji 精简指令集计算机
'jing'tai'huan'chong'qu'fen'pei 静态缓冲区分配
'jing'tai'mao'xian 静态冒险
'jing'tai'sui'ji'cun'chu'qi 静态随机存储器
'jing'tai'xiang'guan'xing'jian'cha 静态相关性检查
'jing'tai'zi'ci'chong'ma'lv 静态字词重码率
'jing'ti'guan'jing'ti'guan'luo'ji 晶体管晶体管逻辑
'jing'zheng'bian'qian 竞争变迁
'jing'zhi'tu'xiang 静止图像
'jiu'xu 就绪
'ju'ci'bian'zu'tou 巨磁变阻头
'ju'guang 聚光
'ju'ji 聚集
'ju'jue'fu'wu 拒绝服务
'ju'xing 句型
'ju'yu'wang'dan'ge'di'zhi 局域网单个地址
'ju'zi'qi'yi'xiao'chu 句子歧义消除
'juan'hui'hui'fu 卷回恢复
'jue'ce'han'shu 决策函数
'jue'ce'kong'zhi 决策控制
'jue'ce'wen'ti 决策问题
'jue'dui'fen'bian'lv 绝对分辨率
'jun'heng'qi 均衡器
'ka'luo'bian'huan 卡洛变换
'ka'pian'du'ru'ji 卡片读入机
'ka'zhi 卡纸
'kai'fa'jin'zhan 开发进展
'kai'guan'dian'liu 开关电流
'kai'guan'shi'jian 开关时间
'kai'shi'fu'hao 开始符号
'kang'zhen 抗震
'ke'an'zhuang'xing 可安装性
'ke'bian'cheng'luo'ji'zhen'lie 可编程逻辑阵列
'ke'ca'ke'bian'cheng'zhi'du'cun'chu'qi 可擦可编程只读存储器
'ke'chuan'dai'ji'suan'ji 可穿戴计算机
'ke'cun'qu'xing 可存取性
'ke'da'biao'zhi'ji 可达标识集
'ke'da'biao'zhi'tu 可达标识图
'ke'fen'ye'qu'yu 可分页区域
'ke'fu'gai'tu 可覆盖图
'ke'fu'yong'gou'jian 可复用构件
'ke'guan'li'xing 可管理性
'ke'gui'yue'xing 可归约性
'ke'ji'suan'han'shu 可计算函数
'ke'kao'xing'fen'xi 可靠性分析
'ke'kao'xing'gong'cheng 可靠性工程
'ke'kao'xing'shu'ju 可靠性数据
