'a'mu'da'er'ding'lv 阿姆达尔定律
'ke'kao'xing'tong'ji 可靠性统计
'ke'kuo'chong'xing 可扩充性
'ke'kuo'suo'yi'zhi'xing'jie'kou 可扩缩一致性接口
'ke'kuo'zhan'zhi'biao'yu'yan 可扩展置标语言
'ke'shi'bian'cheng'yu'yan 可视编程语言
'ke'wei'hu'xing 可维护性
'ke'xin'du'han'shu 可信度函数
'ke'xin'ji'suan 可信计算
'ke'xiu'gai'xing 可修改性
'kong'ji 空集
'kong'jian 空间
'kong'jian'ju'bu'xing 空间局部性
'kong'jian'xu'yao'liang 空间需要量
'kong'jian'you'jie'tu'ling'ji 空间有界图灵机
'kong'qi'liu 空气流
'kong'zhi'ding'dian 控制顶点
'kong'zhi'gong'cheng 控制工程
'kong'zhi'jing'du 控制精度
'kong'zhi'liu'cheng'tu 控制流程图
'kong'zhi'xi'tong 控制系统
'kong'zhi'xiang 控制箱
'kong'zhi'zi'fu 控制字符
'kou'ling'ju 口令句
'kua'jie 跨接
'kuai'jing'he 块净荷
'kuo'chong'zhuan'yi'wang'luo'yu'fa 扩充转移网络语法
'kuo'zhan'shi'pin'tu'xing'shi'pei'qi 扩展视频图形适配器
'kuo'zhang'gui'ze 扩张规则
'la'pian'ce'shi 拉偏测试
'lao'hua'shi'yan 老化试验
'lei'jia'ji'cun'qi 累加寄存器
'leng'qi'dong 冷启动
'li'cheng 例程
'li'ji'di'zhi 立即地址
'li'san'dui'shu'wen'ti 离散对数问题
'li'san'juan'ji 离散卷积
'li'shi'shu'ju 历史数据
'li'ti'pi'pei 立体匹配
'li'zi'chen'ji'yin'shua'ji 离子沉积印刷机
'lian'guan'xing 连贯性
'lian'he'die'dai'chong'jian'fa 联合迭代重建法
'lian'ji'cun'chu'qi 联机存储器
'lian'ji'zhen'duan 联机诊断
'lian'jie 联结
'lian'jie'biao 链接表
'lian'jie'ji'zhi'shen'jing'wang'luo 连接机制神经网络
'lian'jie'shi'jian 连接时间
'lian'jie'xue'xi 连接学习
'lian'lu'guan'li 链路管理
'lian'lu'kong'zhi'gui'cheng 链路控制规程
'lian'lun'shu'zhi 链轮输纸
'lian'ma'gen'zong 链码跟踪
'lian'shi'lian'jie 链式连接
'lian'shi'wen'jian'fen'pei 链式文件分配
'lian'tong'fen'zhi 连通分支
'lian'xian'biao 连线表
'lian'xiang'shu'ru 联想输入
'lian'xu'mo'ni'yu'yan 连续模拟语言
'liang'hua 量化
'lie'yi'ma 列译码
'lin'jie'biao'jie'gou 邻接表结构
'lin'jie'tong'lu'ce'shi'chan'sheng'fa 临界通路测试产生法
'lin'shi'wen'jian 临时文件
'ling'dian 零点
'ling'yu'gui'yue 领域规约
'ling'yu'jian'mo 领域建模
'ling'yu'zhuan'jia 领域专家
'ling'zhi'shi'jiao'hu'shi'lun'zheng 零知识交互式论证
'ling'zhi'shi'jiao'hu'shi'zheng'ming'xi'tong 零知识交互式证明系统
'liu'cheng'tu 流程图
'liu'guo'shi'jian 流过时间
'liu'shui'xian'chu'li 流水线处理
'liu'shui'xian'ji'suan'ji 流水线计算机
'liu'shui'xian'shu'ju'chong'tu 流水线数据冲突
'lou'mai'chong 漏脉冲
'lu'jing'fen'xi 路径分析
'lu'you'xuan'ze'suan'fa 路由选择算法
'luan'xu'ti'jiao 乱序提交
'lun'yu 论域
'lun'zhuan'fa'diao'du 轮转法调度
'luo'ji'ce'shi'bi 逻辑测试笔
'luo'ji'cheng'xu 逻辑程序
'luo'ji'she'bei 逻辑设备
'luo'ji'she'bei'ming 逻辑设备名
'luo'ji'wen'jian 逻辑文件
'luo'ji'xi'tong 逻辑系统
'luo'ji'yan'zheng'xi'tong 逻辑验证系统
'luo'ji'yi'wei 逻辑移位
'luo'ji'yun'suan 逻辑运算
'lv'se'ji'suan'ji 绿色计算机
'lv'xing'shang'wen'ti 旅行商问题
'mai'chong'bu'jin 脉冲步进
'mai'chong'xiao'ying 脉冲效应
'man'su'you'di 慢速邮递
'mei'ti 媒体
'mei'ti'fang'wen'kong'zhi 媒体访问控制
'mei'ti'fang'wen'kong'zhi'xie'yi 媒体访问控制协议
'mi'ji'xin'xi 密级信息
'mi'li'ji'qi 米利机器
'mi'ma'fen'xi'gong'ji 密码分析攻击
'mi'ma'mu'jian 密码模件
'mi'ma'xue 密码学
'mi'shi'xiao'xi 迷失消息
'mi'yao'liu 密钥流
'mi'yue'jian'li 密钥建立
'mian'ci'fu 面伺服
'mian'xiang'dai'shu'yu'yan 面向代数语言
'mian'xiang'dui'xiang'de'ti'xi'jie'gou 面向对象的体系结构
'mian'xiang'dui'xiang'fen'xi 面向对象分析
'mian'xiang'dui'xiang'shu'ju'ku'yu'yan 面向对象数据库语言
'mian'xiang'guo'cheng'yu'yan 面向过程语言
'mian'xiang'yong'hu'ce'shi 面向用户测试
'min'gan'shu'ju 敏感数据
'min'gan'tu'an 敏感图案
'ming'ling 命令
'ming'ling'huan'chong'qu 命令缓冲区
'ming'ling'kong'zhi'kuai 命令控制块
'ming'ling'kong'zhi'xi'tong 命令控制系统
'ming'ti'luo'ji 命题逻辑
'mo'hu'shu'xue 模糊数学
'mo'ni'shu'chu 模拟输出
'mo'ni'tui'huo 模拟退火
'mo'shu'zhuan'huan'qi 模数转换器
'mo'shui'guan 墨水罐
'mo'sun'shi'xiao 磨损失效
'mo'tai'luo'ji 模态逻辑
'mo'xing 模型
'mo'xing'ding'xing'tui'li 模型定性推理
'mu'ban 母板
'mu'biao'yin'dao'xing'wei 目标引导行为
'mu'biao'yu'yan 目标语言
'nao'ke'xue 脑科学
'nei'bu'ji'cun'qi 内部寄存器
'nei'cun'bao'hu 内存保护
'nei'cun'fen'pei'fu'gai 内存分配覆盖
'nei'he 内核
'nei'he'mo'kuai 内核模块
'nei'jian'han'shu 内建函数
'nei're'zu 内热阻
'nei'xiang'su 内像素
'neng'li'biao 能力表
'ni'bian'qi 逆变器
'ni'bian'qian 逆变迁
'ni'he 拟合
'ni'ming'fu'wu'qi 匿名服务器
'ni'wang 逆网
'ning'ju 凝聚
'ou'he'du 耦合度
'ou'ran'zhong'duan 偶然中断
'pai'dui 排队
'pai'dui'jin'cheng 排队进程
'pai'dui'zhu'ce'qing'qiu 排队注册请求
'pan'pian'zu 盘片组
'pang'lu 旁路
'pei'xian'jia 配线架
'pei'zhi'guan'li 配置管理
'pei'zhi'kong'zhi'wei'yuan'hui 配置控制委员会
'pei'zhi'shen'he 配置审核
'peng'zhuang'jian'ce 碰撞检测
'pi'chu'li 批处理
'pi'zuo'ye 批作业
'pian'yi'dian'ya 偏移电压
'piao'yi'shi'xiao 漂移失效
'piao'yi'wu'cha'bu'chang 漂移误差补偿
'ping'bi 屏蔽
'ping'bi'ji'cun'qi 屏蔽寄存器
'ping'bi'xiang'liang 屏蔽向量
'ping'fang'fei'sheng'yu 平方非剩余
'ping'jun'cun'qu'shi'jian 平均存取时间
'ping'jun'wei'beng'kui'shi'jian 平均未崩溃时间
'ping'mian'xing 平面性
'ping'tai 平台
'pu'fen'xi 谱分析
'qi'jian 器件
'qi'pian 欺骗
'qi'wang'su'lv'yin'zi 期望速率因子
'qi'ye'guo'cheng'zai'gong'cheng 企业过程再工程
'qi'zhi'shi'chuan'shu 起止式传输
'qian'ming'wen'jian 签名文件
'qian'ru'shi'ji'suan'ji 嵌入式计算机
'qian'tai'cao'zuo'fang'shi 前台操作方式
'qian'tai'diao'du'cheng'xu 前台调度程序
'qian'tai'fen'qu 前台分区
'qian'ti 前提
'qian'xiang'chuan'rao 前向串扰
'qian'yan 前沿
'qian'yi'kai'xiao 迁移开销
'qian'zhi'tiao'jian 前置条件
'qian'zhui 前缀
'qiang'du'xue'ruo 强度削弱
'qiao'mu'si'ji'ceng'ci'jie'gou 乔姆斯基层次结构
'qie'ting 窃听
'qing'bao'jian'suo'yu'yan 情报检索语言
'qing'qiu 请求
'qing'qiu'can'shu'biao 请求参数表
'qing'qiu'fen'ye 请求分页
'qing'tai'ji 情态集
'qing'xi'du 清晰度
'qu'dong'cheng'xu 驱动程序
'qu'fen'xu'lie 区分序列
'qu'mian'cha'zhi 曲面插值
'qu'mian'guang'shun 曲面光顺
'qu'mo'hu 去模糊
'qu'wei'ji'lu 区位记录
'qu'yu'miao'shu 区域描述
'quan'gan'rao 全干扰
'quan'han'shu 权函数
'quan'heng 权衡
'quan'jia'qi 全加器
'quan'jian'qi 全减器
'quan'ju'bian'liang 全局变量
'quan'ju'cha'xun'you'hua 全局查询优化
'quan'ju'cun'chu'qi 全局存储器
'quan'ju'zhi'shi 全局知识
'quan'wen'suo'yin 全文索引
'quan'xi'cun'chu'qi 全息存储器
'quan'xiang'lian'gao'su'huan'cun 全相联高速缓存
'quan'xiang'lian'ying'she 全相联映射
'que'bao'cao'zuo 确保操作
'que'ding'he'sui'ji'pei'te'li'wang 确定和随机佩特里网
'que'ding'xing'shang'xia'wen'you'guan'yu'yan 确定型上下文有关语言
'que'shi'sun'shi 缺失损失
'que'ye'pin'lv 缺页频率
're'biao 热表
're'he'jin 热合金
're'liu 热流
're'ti'du 热梯度
'ren'gong'lu'ru 人工录入
'ren'gong'mo'ni 人工模拟
'ren'gong'sheng'ming 人工生命
'ren'ji'dui'hua 人机对话
'ren'ji'huan'jing 人机环境
'ren'ji'huan'jing'xi'tong 人机环境系统
'ren'ji'xiao'xi 人际消息
'ren'wu'guan'li'cheng'xu 任务管理程序
'ren'wu'mo'xing 任务模型
'ren'yi'duo'bian'xing 任意多边形
'rong'liang 容量
'rou'xing'zhi'zao'xi'tong 柔性制造系统
'ruan'gu'zhang 软故障
'ruan'jian 软件
'ruan'jian'bao 软件包
'ruan'jian'du'liang'xue 软件度量学
'ruan'jian'geng'gai'bao'gao 软件更改报告
'ruan'jian'gong'cheng 软件工程
'ruan'jian'gong'cheng'huan'jing 软件工程环境
'ruan'jian'gong'cheng'jing'ji'xue 软件工程经济学
'ruan'jian'kai'fa'guo'cheng 软件开发过程
'ruan'jian'liang'du 软件量度
'ruan'jian'qian'xing'fen'xi 软件潜行分析
'ruan'jian'que'xian 软件缺陷
'ruan'jian'rong'cuo'ce'lue 软件容错策略
'ruan'jian'sheng'chan'lv 软件生产率
'ruan'jian'wei'hu'yuan 软件维护员
'ruan'jian'zi'chan'guan'li'cheng'xu 软件资产管理程序
'ruan'jian'zi'yuan 软件资源
'ruan'pan'tao 软盘套
'ruo'wei 弱位
'ruo'yi'zhi'xing'mo'xing 弱一致性模型
'san're'qi 散热器
'san'wei'chong'jian 三维重建
'sao'miao 扫描
'sao'miao'shu'chu 扫描输出
'sao'miao'xian'suan'fa 扫描线算法
'sao'miao'zhuan'huan 扫描转换
'se'bao'he'du 色饱和度
'se'fen 色粉
'se'pi'pei'han'shu 色匹配函数
'se'ying'she 色映射
'shan'chu'xian'zhi 扇出限制
'shan'chu'yi'chang 删除异常
'shang'de'duo'xie'yi 上的多协议
'shang'xia'wen'qie'huan 上下文切换
'shang'xia'wen'wai'guan'jian'zi 上下文外关键字
'shang'xia'wen'you'guan'yu'yan 上下文有关语言
'she'bei'miao'shu 设备描述
'she'ji'cha'cuo 设计差错
'she'ji'fang'fa'xue 设计方法学
'she'ji'gui'hua 设计规划
'she'shi 设施
'shen'cha 审查
'shen'du'tu 深度图
'shen'fen'yan'zheng 身份验证
'shen'jing'yuan'mo'xing 神经元模型
'shen'jing'yuan'wang'luo 神经元网络
'shen'ru'ce'shi 渗入测试
'sheng'diao 声调
'sheng'ming 声明
'shi'bian'bu'er'han'shu 时变布尔函数
'shi'bie 识别
'shi'can 实参
'shi'cou'sou'suo 试凑搜索
'shi'cun'zhuang'tai 实存状态
'shi'di'zhi 实地址
'shi'jian'chong'die 时间重叠
'shi'jian'ding'yi'yu'yan 事件定义语言
'shi'jian'dong'zuo'yan'jiu 时间动作研究
'shi'jian'dui'lie 事件队列
'shi'jian'jian'ce'qi 事件检测器
'shi'jian'liang'zi 时间量子
'shi'jian'xu'lie'mo'xing 时间序列模型
'shi'jian'yi'lai'xing 事件依赖性
'shi'jian'you'jie'tu'ling'ji 时间有界图灵机
'shi'jie'zuo'biao 世界坐标
'shi'liu'jin'zhi 十六进制
'shi'pei'qi 适配器
'shi'pin'dian'bo 视频点播
'shi'pin'mo'shi 视频模式
'shi'shi'bian'qian 实施变迁
'shi'tan'fa 试探法
'shi'wu'chu'li'xi'tong 事务处理系统
'shi'wu'gu'zhang 事务故障
'shi'xian 实线
'shi'xian'xu'qiu 实现需求
'shi'xiao'fen'bu 失效分布
'shi'xiao'hui'fu 失效恢复
'shi'xiao'jie'dian 失效节点
'shi'yan'dian'lu'ban 实验电路板
'shi'yong'gong'neng 实用功能
'shi'zhong'ji'cun'qi 时钟寄存器
'shi'zhong'mai'chong'fa'sheng'qi 时钟脉冲发生器
'shi'zhong'qu'dong'qi 时钟驱动器
'shi'zhui 视锥
'shou'duan'mu'di'fen'xi 手段目的分析
'shou'heng'xing 守恒性
'shu'chu'te'xing 输出特性
'shu'chu'xia'la'dian'zu 输出下拉电阻
'shu'chu'zi'mu'biao 输出字母表
'shu'ju 数据
'shu'ju'ce'shi 数据测试
'shu'ju'chu'li'xi'tong 数据处理系统
'shu'ju'guan'li'cheng'xu 数据管理程序
'shu'ju'ji'zhong'qi 数据集中器
'shu'ju'jia'mi'suan'fa 数据加密算法
'shu'ju'kong'zhi'yu'yan 数据控制语言
'shu'ju'ku'jian'ma 数据库键码
'shu'ju'pian'xie 数据偏斜
'shu'ju'qu'dong'xing'fen'xi 数据驱动型分析
'shu'ju'shu'zi'yin'pin'ci'dai 数据数字音频磁带
'shu'ju'tong'lu 数据通路
'shu'ju'tong'xin 数据通信
'shu'ju'wang'biao'shi'ma 数据网标识码
'shu'ju'xiang 数据项
'shu'ju'yi'zhi'xing 数据一致性
'shu'ju'yuan 数据源
'shu'lian'jie'yu'fa 树连接语法
'shu'ru'du 输入度
'shu'ru'mai'chong 输入脉冲
'shu'xiang 竖向
'shu'xie'fang'xiang 书写方向
'shu'xing'yu'fa 属性语法
'shu'ya'suo'ji'shu 树压缩技术
'shu'yu'kong'jian 术语空间
'shu'zi'ji'suan'ji 数字计算机
'shu'zi'pei'xian'jia 数字配线架
'shu'zi'qian'ming 数字签名
'shu'zi'ying'die'bo'fang'ji 数字影碟播放机
'shu'zi'zi'fu'ji 数字字符集
'shua'xin 刷新
'shua'xin'ce'shi 刷新测试
'shuang'chong'shu'ju'jia'mi'biao'zhun 双重数据加密标准
'shuang'lian'tong'du 双连通度
'shuang'mu'cheng'xiang 双目成像
'shuang'shu'ju'su'lv 双数据速率
'shuang'wen'chu'fa'dian'lu 双稳触发电路
'shuang'xian'xing'xi'tong 双线性系统
'shuang'xiang'da'yin 双向打印
'shuang'xiang'tong'xin 双向通信
'shuang'yao'mi'ma'xi'tong 双钥密码系统
'shuang'zhan'ji 双栈机
'shun'shi'mao'xian 瞬时冒险
'shun'xu'diao'yong 顺序调用
'shun'xu'jin'cheng 顺序进程
'shun'xu'ju'bu'xing 顺序局部性
'shun'xu'sou'suo 顺序搜索
'shun'xu'suo'yin 顺序索引
'shun'xu'tui'li'ji 顺序推理机
'shuo'hua'ren'que'ren 说话人确认
'si'bian'qian 死变迁
'si'fu'dao'lu'xie'qi 伺服道录写器
'si'wei'ke'xue 思维科学
'si'yao 私钥
'song'san'ou'he'xi'tong 松散耦合系统
'sou'suo'suan'fa 搜索算法
'suan'shu'shang'yi 算术上溢
'sui'ji'cha'cuo 随机差错
'sui'ji'cun'qu'ji'qi 随机存取机器
'sui'ji'gao'ji'zhuang'tai'wang 随机高级状态网
'sui'ji'shi'xiao 随机失效
'sui'ji'shu 随机数
'suo'ding 锁定
'suo'wei'ping'pian 缩微平片
'tan'ce 探测
'tan'cha 探查
'tao'ju'qu'dong'qi 套具驱动器
'te'shu'wang'lun 特殊网论
'te'zheng'mo'xing'zhuan'huan 特征模型转换
'te'zheng'ti'qu 特征提取
'ti'dai'gong'ji 替代攻击
'ti'dai'xuan'ze 替代选择
'ti'ge'tu 梯格图
'ti'jiao'dan'yuan 提交单元
'ti'ju'zhen 体矩阵
'ti'qu'ce'lue 提取策略
'ti'su'gou'zao'biao'shi 体素构造表示
'tiao'jian'luo'ji 条件逻辑
'tiao'jian'tong'bu 条件同步
'tiao'jie 调节
'tiao'ma'yue'du'qi 条码阅读器
'tiao'shi'cheng'xu 调试程序
'tie'yang'ti'bo'mo'ci'pan 铁氧体薄膜磁盘
'tong'bu 同步
'tong'bu'cao'zuo 同步操作
'tong'bu'xu'lie 同步序列
'tong'bu'zong'xian 同步总线
'tong'dao'jie'kou 通道接口
'tong'ji'jue'ce'li'lun 统计决策理论
'tong'ji'shi'fen'fu'yong 统计时分复用
'tong'tai 同态
'tong'xian'fen'bu'shi'shu'ju'jie'kou 铜线分布式数据接口
'tong'xin'mo'xing 通信模型
'tong'xin'zi'wang 通信子网
'tong'yong'duo'ba'wei'bian'ma'zi'fu'ji 通用多八位编码字符集
'tong'yong'ji'suan'ji 通用计算机
'tong'yong'yi'bu'jie'shou'fa'song'she'bei 通用异步接收发送设备
'tong'yong'zhen'lie'luo'ji'dian'lu 通用阵列逻辑电路
'tong'zhou'dian'lan 同轴电缆
'tou'duan'qi 头端器
'tu'ao'xing 凸凹性
'tu'de'fei'tong'gou 图的非同构
'tu'li'cha'xun 图例查询
'tu'ling'ji 图灵机
'tu'xiang'bi'zhen'du 图像逼真度
'tu'xiang'qu'zao 图像去噪
'tu'xiang'shi'bie 图像识别
'tu'xing'bao'zhen 图形保真
'tu'xing'gong'zuo'zhan 图形工作站
'tu'xing'he'xin'xi'tong 图形核心系统
'tui'chi 推迟
'tui'li'jie'dian 推理结点
'tui'li'mo'xing 推理模型
'tun'tu'neng'li 吞吐能力
'tuo'ji'cun'chu'qi 脱机存储器
'tuo'ji'she'bei 脱机设备
'tuo'pu'jian'suo 拓扑检索
'wai'ke'jiao'ben 外壳脚本
'wai'ke'ming'ling 外壳命令
'wai'lu'chang'du 外路长度
'wai'wei'she'bei 外围设备
'wan'quan'wen'ti 完全问题
'wan'zheng'xing 完整性
'wan'zheng'xing'kong'zhi 完整性控制
'wang'bian'huan 网变换
'wang'fu'xun'dao'ce'shi 往复寻道测试
'wang'guan 网关
'wang'ji'xie'yi 网际协议
'wang'luo'dai'kuan 网络带宽
'wang'luo'dan'yuan 网络单元
'wang'luo'di'zhi 网络地址
'wang'luo'jie'dian'jie'kou 网络结点接口
'wang'luo'she'shi 网络设施
'wang'luo'shi'jian'xie'yi 网络时间协议
'wang'luo'wai'wei'she'bei 网络外围设备
'wang'luo'xin'wen 网络新闻
'wang'she 网射
'wang'zhi'ji'suan 网知计算
'wei'cheng'xu 微程序
'wei'chu'li'qi 微处理器
'wei'ci'bian'qian'xi'tong 谓词变迁系统
'wei'ci'yan'suan 谓词演算
'wei'dai'xian 微带线
'wei'hu'mian'ban 维护面板
'wei'hu'xian'jing 维护陷阱
'wei'hu'zhun'bei'shi'jian 维护准备时间
'wei'ma 微码
'wei'mi'du 位密度
'wei'mo'kuai 微模块
'wei'nei'he'cao'zuo'xi'tong 微内核操作系统
'wei'xie'jian'kong 威胁监控
'wei'xiu'ce'lue 维修策略
'wei'zao'jian'ce 伪造检测
'wei'zhang'zhe 违章者
'wei'zhen'duan'zhuang'ru'qi 微诊断装入器
'wei'zhi 位置
'wei'zhong'duan 微中断
'wen'ben'jian'suo 文本检索
'wen'ben'jiao'dui 文本校对
'wen'ben'ku 文本库
'wen'dang'deng'ji 文档等级
'wen'ding'de'pai'xu'suan'fa 稳定的排序算法
'wen'jian 文件
'wen'jian'chuan'song'cun'qu'he'guan'li 文件传送存取和管理
'wen'jian'cun'chu'qi 文件存储器
'wen'jian'fu'wu'qi 文件服务器
'wen'jian'ming'kuo'zhan 文件名扩展
'wen'jian'shi'jian 文件事件
'wen'jian'wei'hu 文件维护
'wen'jian'xi'tong 文件系统
'wen'jian'zu'zhi 文件组织
'wen'ti'chen'shu'yu'yan 问题陈述语言
'wen'ti'chong'gou 问题重构
'wen'ti'gui'yue 问题归约
'wen'ya'dian'yuan 稳压电源
'wen'zhang'sheng'cheng 文章生成
'wu'cuo'yun'xing'qi 无错运行期
'wu'dong'zuo 误动作
'wu'duan'jie'chuan'shu'xian 无端接传输线
'wu'gong'xiang'de'duo'chu'li'qi'xi'tong 无共享的多处理器系统
'wu'li'bu'ju 物理布局
'wu'lian'jie'ye'wu 无连接业务
'wu'si'suo'xing 无死锁性
'wu'xiang'wang 无向网
'wu'yong'xin'xi 无用信息
'wu'yong'xin'xi'qu 无用信息区
'wu'yuan'di'ban'zong'xian 无源底板总线
'xi'li'du 细粒度
'xi'tong'ce'shi'fang'shi 系统测试方式
'xi'tong'fen'xi 系统分析
'xi'tong'gao'an'quan 系统高安全
'xi'tong'huo'dong 系统活动
'xi'tong'jian'rong'xing 系统兼容性
'xi'tong'qi'dong 系统启动
'xi'tong'she'ji'gui'ge'shuo'ming 系统设计规格说明
'xi'tong'sheng'cheng 系统生成
'xi'tong'sheng'cun'zhou'qi 系统生存周期
'xi'tong'sheng'ji 系统升级
'xi'tong'wei'hu 系统维护
'xi'tong'yan'zheng 系统验证
'xi'tong'ye'biao 系统页表
'xi'tong'zhen'duan 系统诊断
'xi'tong'zhong'yang'chu'li'qi'shi'jian 系统中央处理器时间
'xi'tong'zhu'liu'juan 系统驻留卷
'xia'dian 瑕点
'xia'tui'dui'lie 下推队列
'xia'tui'shi'cun'chu'qi 下推式存储器
'xia'tui'zi'dong'ji 下推自动机
'xia'zai 下载
'xian'chang'ke'huan'dan'yuan 现场可换单元
'xian'kuang 线框
'xian'shi'qi 显示器
'xian'shi'wen'jian 显示文件
'xian'xing'gui'hua 线性规划
'xian'xing'jia'su'ding'li 线性加速定理
'xian'xing'jian'ce 线性检测
'xian'xing'liu'shui'xian 线性流水线
'xian'xing'suan'fa 先行算法
'xian'xing'tan'cha 线性探查
'xian'xing'zhi'ling'zhan 先行指令站
'xiang'bian'die 相变碟
'xiang'guan'kong'zhi'bu'jian 相关控制部件
'xiang'guan'qu'dong 相关驱动
'xiang'guan'xing'gu'zhang 相关型故障
'xiang'liang'bian'ma 向量编码
'xiang'liang'liang'hua 向量量化
'xiang'liang'xun'huan'fang'fa 向量循环方法
'xiang'liang'zhi'ling 向量指令
'xiang'qian'ke'da'xing 向前可达性
'xiang'xia'jian'rong 向下兼容
'xiang'ying'chuang'kou 响应窗口
'xiang'ying'fen'xi 响应分析
'xiao'ji'suan'ji'xi'tong'jie'kou 小计算机系统接口
'xiao'xi'chuan'di'ku 消息传递库
'xiao'xi'chuan'song'xi'tong 消息传送系统
'xiao'xi'ri'zhi 消息日志
'xie'fang'wen 写访问
'xie'hui 写回
'xie'shu'ju'xian 写数据线
'xie'tiao'gong'shi 协调公式
'xie'tou'ying 斜投影
'xie'yi'ying'she 协议映射
'xie'zuo 协作
'xin'dao'rong'liang 信道容量
'xin'hao'bai'fu 信号摆幅
'xin'hao'liang 信号量
'xin'hao'xian 信号线
'xin'hao'yuan'zu'kang 信号源阻抗
'xin'ji'shu'shi'chuang'cao'zuo'xi'tong 新技术视窗操作系统
'xin'nian'xiu'zheng 信念修正
'xin'xi'chu'li'xi'tong 信息处理系统
'xin'xi'chu'li'yu'yan 信息处理语言
'xin'xi'gu'ji 信息估计
'xin'xi'ji'shu 信息技术
'xin'xi'liu'xiang'kong'zhi 信息流向控制
'xin'xi'rong'yu 信息冗余
'xin'xi'rong'yu'jian'yan 信息冗余检验
'xin'xi'xi'tong 信息系统
'xin'xi'yin'bi 信息隐蔽
'xin'xi'yuan 信息源
'xin'yuan'hua'jie 信元划界
'xin'zhi'ji'li 心智机理
'xing'neng'bi 性能比
'xing'neng'xu'qiu 性能需求
'xing'shi'yan'suan 形式演算
'xing'tai 性态
'xiu'li 修理
'xu'kua'bu 虚跨步
'xu'ni'an'quan'wang'luo 虚拟安全网络
'xu'ni'chu'li'qi 虚拟处理器
'xu'ni'di'zhi 虚拟地址
'xu'ni'huan'jing 虚拟环境
'xu'ni'qi'ye 虚拟企业
'xu'ni'ruan'pan 虚拟软盘
'xu'ni'tu'shu'guan 虚拟图书馆
'xu'ni'xian'shi 虚拟现实
'xu'ni'xian'shi'jian'mo'yu'yan 虚拟现实建模语言
'xu'ni'xian'shi'jie'mian 虚拟现实界面
'xu'tong'lu 虚通路
'xu'ye 虚页
'xuan'xiang 选项
'xue'xi'li'lun 学习理论
'xun'huan'diao'du 循环调度
'xun'huan'jin'wei 循环进位
'xun'huan'lian'biao 循环链表
'xun'huan'rong'yu'jian'yan 循环冗余检验
'xun'huan'zhan'kai 循环展开
'xun'jing'han'shu 寻径函数
'xun'zhi 寻址
'ya'li'bian'song'qi 压力变送器
'yan'chi'shi'jian 延迟时间
'yan'yi'mo'ni 演绎模拟
'yan'yi'shu'ju'ku 演绎数据库
'yan'yi'shu'xue 演绎数学
'yan'yu'xing'wei'li'lun 言语行为理论
'yang'ben'kong'jian 样本空间
'yang'tiao 样条
'yao'xian 遥现
'ye'jing'xian'shi 液晶显示
'ye'leng 液冷
'ye'mian'shi'xiao 页面失效
'ye'wu'liang'miao'shu'ci 业务量描述词
'yi'bu'shua'xin 异步刷新
'yi'bu'suan'fa 异步算法
'yi'chang 异常
'yi'chu 移出
'yi'chu'jian'cha 溢出检查
'yi'chu'kong'zhi'cheng'xu 溢出控制程序
'yi'chuan'gui'hua'suan'fa 遗传规划算法
'yi'chuan'suan'fa 遗传算法
'yi'dong'ji'qi'ren 移动机器人
'yi'dong'ji'suan'ji 移动计算机
'yi'dong'jing'tou 移动镜头
'yi'dong'zhu'ti 移动主体
'yi'gou'ji'suan 异构计算
'yi'huo'men 异或门
'yi'kai'wen'jian 已开文件
'yi'lai'bian 依赖边
'yi'lai'tu 依赖图
'yi'ti'zi 异体字
'yi'wei'wang 移位网
'yi'wei'zhi'ling 移位指令
'yi'xiang'suo 意向锁
'yi'xiang'xi'tong 意向系统
'yin'jiao'zhen'lie'feng'zhuang 引脚阵列封装
'yin'shi'bing'xing'xing 隐式并行性
'yin'te'wang'jie'ru'ti'gong'zhe 因特网接入提供者
'yin'te'wang'shang'wu'ti'gong'zhe 因特网商务提供者
'yin'te'wang'xin'xi'fu'wu'qi 因特网信息服务器
'yin'te'wang'yan'jiu'zhi'dao'zu 因特网研究指导组
'ying'bian'ji'hua 应变计划
'ying'cuo'wu 硬错误
'ying'die 影碟
'ying'guang'shu'ma'guan 荧光数码管
'ying'ji'zhuan'chu 应急转储
'ying'jian'an'quan 硬件安全
'ying'jian'duo'xian'cheng 硬件多线程
'ying'jian'jian'yan 硬件检验
'ying'jian'she'ji'yu'yan 硬件设计语言
'ying'she 映射
'ying'she'han'shu 映射函数
'ying'ting'ji 硬停机
'ying'yong'fu'wu 应用服务
'ying'yong'ling'yu 应用领域
'yong'hu'jia'mi 用户加密
'yong'hu'qu 用户区
'yong'hu'wen'dang 用户文档
'yong'hu'zao'ci'cheng'xu 用户造词程序
'you'fa'gu'zhang 诱发故障
'you'li'bei'ji'ai'qu'xian 有理贝济埃曲线
'you'li'ju'chai'fen 有理据拆分
'you'qiong'xing'wen'ti 有穷性问题
'you'sun'ya'suo 有损压缩
'you'xian'ji'kong'zhi 优先级控制
'you'xian'ji'xuan'ze 优先级选择
'you'xian'ji'zuo'ye 优先级作业
'you'xian'wang 有限网
'you'xian'xing'wen'fa 右线性文法
'you'xian'zhuang'tai'ji 有限状态机
'you'xiao'xiang 有效项
'you'xiao'zhuang'tai 有效状态
'you'xiao'zi 有效字
'yu'chong'dian 预充电
'yu'fa 语法
'yu'fa'fen'xi 语法分析
'yu'fei'men 与非门
'yu'ji'ce'lue'lu'you'xuan'ze 域际策略路由选择
'yu'ju 语句
