'ai'er'de'she'xian 爱耳德射线
'bu'lin'xian 布林线
'cai'jin'bo'dong 蔡金波动
'fan'yong 返佣
'gui'jin'shu'tou'zi 贵金属投资
'huang'jin 黄金
'huang'jin'fen'ge'xian 黄金分割线
'jia'liang'qu'shi 价量趋势
'jiao'yi'ri 交易日
'jin'cha 金叉
'jin'sha'yin'he 金沙银河
'jin'yin'hui 金银汇
'li'san'zhi'biao 离散指标
'neng'liang'chao 能量潮
'ping'jun'bo'fu'tong'dao 平均波幅通道
'si'cha 死叉
'tao'li 套利
'tao'qi'bao'zhi 套期保值
'tou'cun 头寸
'zi'jin'liu'liang'zhi'shu 资金流量指数
