'an'jing 暗井
'an'quan'ji'shu'cuo'shi 安全技术措施
'bao'an'mei'zhu 保安煤柱
'ben'ke 本科
'bi'zai'lu'xian 避灾路线
'bian'xing 变形
'bian'zhi'cai'jue'gong'zuo'mian'zuo'ye'gui'cheng 编制采掘工作面作业规程
'bo'mei'ceng 薄煤层
'cai'chu'lv 采出率
'cai'kuang'gong'cheng 采矿工程
'cai'mei'fang'fa 采煤方法
'cai'mei'fang'fa'he'hui'cai'gong'yi 采煤方法和回采工艺
'cai'qu'che'chang'she'ji 采区车场设计
'cai'qu'hang'dao'bu'zhi 采区巷道布置
'che'chang 车场
'che'chang'she'ji 车场设计
'che'jia 撤架
'chong'ji'kuang'ya 冲积矿压
'di'ba'zhang 第八章
'di'ban 底板
'di'biao'chen'xian 地表沉陷
'di'er'zhang 第二章
'di'gu 底臌
'di'jiu'zhang 第九章
'di'li'wei'zhi 地理位置
'di'liu'zhang 第六章
'di'qi'zhang 第七章
'di'san'zhang 第三章
'di'si'zhang 第四章
'di'wu'zhang 第五章
'di'xing'te'zheng 地形特征
'di'yi'zhang 第一章
'di'ying'li 地应力
'di'zhi'zai'hai 地质灾害
'dian'dao'lv'cheng'xiang'xi'tong 电导率成像系统
'dian'zu'ying'bian'yi 电阻应变仪
'ding'ban 顶板
'ding'ban'shi'gu 顶板事故
'ding'mei 顶煤
'dong'shi 硐室
'dong'ya 动压
'duan'ceng 断层
'fang'cai'gong'zuo'mian 放采工作面
'fang'sha'mei'zhu 防砂煤柱
'fang'shui'mei'zhu 防水煤柱
'fu'he'ding'ban 复合顶板
'fu'wu'nian'xian 服务年限
'gai'suan'kuang'jing'tong'feng'fei'yong 概算矿井通风费用
'gao'chan'gao'xiao 高产高效
'ge'mei'ji 割煤机
'gong'nong'ye'fa'zhan 工农业发展
'gong'ren'zhi'ye'bing 工人职业病
'gua'ban'ji 刮板机
'han'shui'ceng 含水层
'hang'dao 巷道
'he'li'xing 合理性
'he'liu'hu'po 河流湖泊
'hou'chong'ji'ceng 厚冲积层
'hou'mei'ceng 厚煤层
'hui'feng'xiang 回风巷
'hui'shou'lv 回收率
'huo'cheng'yan 火成岩
'huo'zai'de'cuo'shi 火灾的措施
'ji'cai'gong'zuo'mian 机采工作面
'ji'dian 机电
'ji'dian'shi'gu 机电事故
'ji'xian'ping'heng'qu 极限平衡区
'ji'xie'mei'ceng 急斜煤层
'jiao'che'fang 绞车房
'jiao'dai'shu'song'ji 胶带输送机
'jiao'tong'qing'kuang 交通情况
'jie'fang'ceng 解放层
'jing'di'che'chang 井底车场
'jing'tian 井田
'jing'tian'di'zhi'te'zheng 井田地质特征
'jing'tian'gong'ye'chu'liang 井田工业储量
'jing'tian'jing'jie 井田境界
'jing'tian'jing'jie'he'chu'liang 井田境界和储量
'jing'tian'kai'tuo 井田开拓
'jing'tian'ke'cai'chu'liang 井田可采储量
'jing'tong 井筒
'jing'xia 井下
'kai'cai'chen'xian 开采沉陷
'kai'tuo 开拓
'kan'tan'cheng'du 勘探程度
'ke'kao'xing 可靠性
'ke'xing'xing 可行性
'keng'kou'dian'chang 坑口电厂
'kua'luo'dai 垮落带
'kuang'jing 矿井
'kuang'jing'feng'liang'ji'suan'yu'fen'pei 矿井风量计算与分配
'kuang'jing'gong'zuo'zhi'du 矿井工作制度
'kuang'jing'ji'ben'hang'dao 矿井基本巷道
'kuang'jing'ji'ben'ji'shu'jing'ji'zhi'biao 矿井基本技术经济指标
'kuang'jing'qing'kuang 矿井情况
'kuang'jing'she'ji'sheng'chan'neng'li 矿井设计生产能力
'kuang'jing'tong'feng'she'ji 矿井通风设计
'kuang'jing'tong'feng'xi'tong 矿井通风系统
'kuang'jing'tong'feng'xi'tong'zong'zu'li'de'ji'suan 矿井通风系统总阻力的计算
'kuang'qu 矿区
'kuang'qu'gai'shu 矿区概述
'kuang'shan'ya'li 矿山压力
'kuang'zhen 矿震
'li'jing 立井
'lie'feng'dai 裂缝带
'mai'guan'zhu'dan 埋管注氮
'mao'ding 冒顶
'mei'ceng 煤层
'mei'ceng'di'zhi'te'zheng 煤层地质特征
'mei'ceng'te'zheng 煤层特征
'mei'ceng'zhu'zhuang'tu 煤层柱状图
'mei'chen'bao'zha 煤尘爆炸
'mei'chen'bao'zha'cuo'shi 煤尘爆炸措施
'mei'xiang 煤巷
'mei'zhi 煤质
'pai'hao 牌号
'pao'cai'gong'zuo'mian 炮采工作面
'pen'jiang 喷浆
'pian'bang 片帮
'po'sui'ding'ban 破碎顶板
'qi'hou'tiao'jian 气候条件
'qi'ta'shi'gu'de'yu'fang 其他事故的预防
'qing'xiang 倾向
'qing'xiang'xing 倾向性
'qing'xie'mei'ceng 倾斜煤层
'ren'kou'fen'bu 人口分布
'san'ruan 三软
'shang'fu'yan'ceng 上覆岩层
'she'bei'pei'tao 设备配套
'she'ji'sheng'chan'neng'li 设计生产能力
'shen'tou'xing 渗透性
'sheng'chan'xi'tong 生产系统
'shi'ying'xing 适应性
'shui'wen'di'zhi 水文地质
'song'san'han'shui'ceng 松散含水层
'tiao'dai'kai'cai 条带开采
'tong'feng'ji'suan 通风计算
'tong'feng'she'bei 通风设备
'tong'feng'she'ji 通风设计
'tong'feng'xi'tong 通风系统
'tou'qi'xing 透气性
'tu'shui 突水
'wa'si'bao'zha 瓦斯爆炸
'wei'yan 围岩
'xian'luo'zhu 陷落柱
'xie'jing 斜井
'xuan'xing'she'ji 选型设计
'xuan'ze'kuang'jing'tong'feng'she'bei 选择矿井通风设备
'yan'bao 岩爆
'yan'hu'shi'ye'ya'zhi'jia 掩护式液压支架
'yan'jiang'yan 岩浆岩
'yan'kong'hang'dao 沿空巷道
'yan'xiang 岩巷
'ye'ya'zhi'jia 液压支架
'yi'dong 移动
'yu'fang 预防
'yu'fang'shui'huan 预防水患
'yu'fang'wa'si 预防瓦斯
'yun'shu 运输
'yun'shu'shi'gu 运输事故
'yun'shu'xiang 运输巷
'zhi'cheng'ya'li 支承压力
'zhong'hou'mei'ceng 中厚煤层
'zhu'yao'kai'tuo'hang'dao 主要开拓巷道
'zhuan'ke 专科
'zi'ran 自燃
'zi'ran'xing 自燃性
'zong'cai'gong'zuo'mian 综采工作面
'zou'xiang 走向
