'bao'zhu 宝珠
'bi'luo'kong'ge 碧落空歌
'bu'xu 步虚
'bu'xu'san'ji 步虚三级
'chan'ci 躔次
'chan'qun 躔逡
'chuan'fa'ping'xin 传法凭信
'da'fu'li'tu 大浮黎土
'dan'ding 丹鼎
'dao'jing 道境
'dao'ti 道体
'deng'xuan 登玄
'deng'xuan'san'jie 登玄三阶
'ding'shen'yi 定神意
'fa'ti 法体
'gan'dao'jing 感道境
'ge'yin'ying'jie 歌吟应节
'guang'yao'da'qian 光耀大千
'guang'yi'wu'yin 广亦无垠
'he'wai'tian'ji'hou'bi'lian 合外天机后必炼
'hui'deng 惠灯
'hui'jian 慧剑
'ji'jing'lei'qi 积精累气
'jian'yi'feng'rui 剑意锋锐
'jing'qi 精气
'ju'cheng'fu'di'ling'tian 聚成福地灵田
'jun'tian'chi'heng 钧天持衡
'liang'qian'deng'yu'yi'shi 亮千灯于一室
'ling'feng'zhou'liu 灵风周流
'ling'ji 灵机
'ling'jing 灵境
'ling'shan 灵扇
'ling'tian 灵田
'nei'jing'bu'chu 内境不出
'nei'jing'piao'dang'ruo'you'sheng 内境飘荡若有声
'ning'shen'shi 凝神识
'qi'ning'cheng'chen 气凝成尘
'ru'yan'yue 如焰跃
'san'yu 三域
'shen'jian 神剑
'shen'shi 神识
'sheng'jiang'you'shi 升降有时
'sheng'xuan 升玄
'sheng'xuan'wu'xian 升玄无限
'sheng'xuan'yin 升玄印
'shi'qing'bian'hua 始青变化
'si'qi'tuan 似气团
'si'shan'yue 似山岳
'si'zhu'zhao 似烛照
'tai'chu 太初
'tai'chu'ti 太初体
'tai'chu'yu 太初域
'tai'shi 太始
'tai'shi'ti 太始体
'tai'shi'yu 太始域
'tai'su 太素
'tai'su'ti 太素体
'tai'su'yu 太素域
'te'xing 特性
'tian'dun'shen'jian 天遁神剑
'wai'jing'bu'ru 外境不入
'wu'xian 无弦
'xi'rang 息壤
'xian'zhuan'jie'lv 弦转节律
'xiao'yao'shan 逍遥扇
'xin'deng 心灯
'xin'di 心地
'xing'ming'shuang'xiu 性命双修
'xing'qi 形气
'xing'qi 形炁
'xing'qi'san'guan 形气三关
'xing'ruo'shu'mi 形若黍米
'xing'ti 形体
'xu'hua'fu'li 虚化浮黎
'xu'qin 虚琴
'xuan'chan 玄躔
'xuan'chu 玄初
'xuan'ci 玄次
'xuan'guang 玄光
'xuan'jian 玄鉴
'xuan'jing 玄镜
'yi'deng'chuan'deng 以灯传灯
'yi'mi'zhang 遗秘章
'yi'qi'yang'xing 以炁养形
'yi'xin'yin'xin 以心印心
'yuan'chu 元初
'yuan'ling 元灵
'yuan'shi 元始
'zao'hua'lu 造化炉
'zao'hua'wu'qiong 造化无穷
'ze'dao'qi 择道器
'zhen'jing 真境
'zhen'zai 真宰
'zhu'nei'jing 筑内境
'zhu'tian'jiao'die 诸天交叠
