'ao'ke 澳科
'ao'shi'ke 澳鳾科
'ao'ya'ke 澳鸦科
'ba'se'dong'ke 八色鸫科
'ba'weng'ke 霸鹟科
'bai'ling'ke 百灵科
'ban'shi'mi'niao'ke 斑食蜜鸟科
'bao'ke 鸨科
'bei'ke 鹎科
'bo'lao'ke 伯劳科
'cai'yu'ke 彩鹬科
'cao'xiao'ke 草鸮科
'chang'wei'shan'que'ke 长尾山雀科
'chao'dong'ke 嘲鸫科
'chi'chun'ke 齿鹑科
'chi'xiao'ke 鸱鸮科
'chui'er'ya'ke 垂耳鸦科
'chui'tou'guan'ke 锤头鹳科
'chun'dong'ke 鹑鸫科
'ci'liao'ke 刺鹩科
'ci'wei'dong'ke 刺尾鸫科
'ci'zui'ying'ke 刺嘴莺科
'cong'ju'ke 丛鵙科
'cuan'niao'ke 窜鸟科
'cui'li'ke 翠鴗科
'cui'niao'ke 翠鸟科
'dai'ju'ke 戴菊科
'dai'sheng'ke 戴胜科
'dai'sheng'mu 戴胜目
'di'san'bao'niao'ke 地三宝鸟科
'dong'ke 鸫科
'du'juan'ke 杜鹃科
'duan'wei'li'ke 短尾鴗科
'duan'zui'xuan'mu'que'ke 短嘴旋木雀科
'e'ke 鹗科
'er'miao'ke 鸸鹋科
'fan'zui'yu'ke 反嘴鹬科
'fei'zhou'shi'mi'niao'ke 非洲食蜜鸟科
'feng'guan'zhi'ke 凤冠雉科
'feng'hu'ke 蜂虎科
'feng'niao'ke 蜂鸟科
'feng'niao'mu 蜂鸟目
'feng'tou'ying'wu'ke 凤头鹦鹉科
'feng'tou'yu'yan'ke 凤头雨燕科
'fo'fa'seng'ke 佛法僧科
'fo'fa'seng'mu 佛法僧目
'ge'cao'niao'ke 割草鸟科
'ge'xing'mu 鸽形目
'gou'zui'ju'ke 钩嘴鵙科
'guan'ke 鹳科
'guan'she'niao'ke 管舌鸟科
'guan'xing'mu 鹳形目
'guan'zhuo'guo'niao'ke 冠啄果鸟科
'hai'que'ke 海雀科
'hai'yan'ke 海燕科
'he'ke 鹤科
'he'ping'niao'ke 和平鸟科
'he'tuo'ke 鹤鸵科
'he'tuo'mu 鹤鸵目
'he'wu'ke 河乌科
'he'xing'mu 鹤形目
'heng'ke 鸻科
'heng'xing'mu 鸻形目
'hong'he'ke 红鹤科
'hong'he'mu 红鹤目
'hu'ke 鸌科
'hu'xing'mu 鸌形目
'hua'mei'ke 画眉科
'hua'mi'niao'ke 花蜜鸟科
'huan'ke 鹮科
'huan'zui'yu'ke 鹮嘴鹬科
'huang'li'ke 黄鹂科
'huo'ji'ke 火鸡科
'ji'le'niao'ke 极乐鸟科
'ji'ling'ke 鹡鸰科
'ji'tou'ju'ke 棘头鵙科
'ji'wei'mu 几维目
'ji'xing'mu 鸡形目
'jian'hui'niao'ke 尖喙鸟科
'jian'niao'ke 鲣鸟科
'jian'zui'ou'ke 剪嘴鸥科
'jiao'he'ke 叫鹤科
'jiao'juan'ke 蕉鹃科
'jiao'liao'ke 鹪鹩科
'jiao'weng'ke 娇鹟科
'jiao'ya'ke 叫鸭科
'jing'tou'guan'ke 鲸头鹳科
'jiu'ge'ke 鸠鸽科
'ju'zui'niao'ke 巨嘴鸟科
'juan'san'bao'niao'ke 鹃三宝鸟科
'juan'wei'ke 卷尾科
'juan'xing'mu 鹃形目
'jun'jian'niao'ke 军舰鸟科
'kui'ju'ke 盔鵙科
'kuo'zui'niao'ke 阔嘴鸟科
'la'ba'sheng'he'ke 喇叭声鹤科
'li'yu'ke 蛎鹬科
'lian'que'ke 连雀科
'liang'niao'ke 椋鸟科
'lie'que'ke 鴷雀科
'lie'xing'mu 鴷形目
'lin'chi'ke 林鸱科
'lin'dai'sheng'ke 林戴胜科
'ling'chun'ke 领鹑科
'lu'ci'ke 鸬鹚科
'lu'he'ke 鹭鹤科
'lu'ke 鹭科
'lu'ying'ke 鹭鹰科
'luo'bi'chi'ke 裸鼻鸱科
'luo'bi'que'ke 裸鼻雀科
'luo'mei'dong'ke 裸眉鸫科
'lv'sen'ying'ke 绿森莺科
'ma'kou'chi'ke 蟆口鸱科
'mei'hua'que'ke 梅花雀科
'mei'zhou'jiu'ke 美洲鹫科
'mei'zhou'que'ke 美洲雀科
'mei'zhou'tuo'niao'ke 美洲鸵鸟科
'mei'zhou'tuo'niao'mu 美洲鸵鸟目
'meng'ke 鹲科
'ni'chun'ke 拟鹑科
'ni'li'ke 拟鹂科
'ou'ke 鸥科
'pan'que'ke 攀雀科
'peng'tou'lie'ke 蓬头鴷科
'qi'e'ke 企鹅科
'qi'e'mu 企鹅目
'qian'niao'ke 潜鸟科
'qian'niao'mu 潜鸟目
'qiao'zui'ou'ke 鞘嘴鸥科
'qin'niao'ke 琴鸟科
'qu'weng'ke 鸲鹟科
'qu'zui'sen'ying'ke 曲嘴森莺科
'que'bei'ke 雀鹎科
'que'ke 雀科
'que'liao'ke 鹊鹩科
'que'xing'mu 雀形目
