'ao'tian 鳌天
'bie'jian'san'sheng 别剑三生
'bing'gu'du 病孤髑
'bo'han'xu 泊含虚
'bo'tang 薄棠
'chi'wu'tong 赤梧桐
'chi'yue 魑岳
'da'feng'jian 大风鉴
'dong'shuang'ge 董霜哥
'feng'li'xiang 风离相
'gu'de'yan 古德颜
'gui'de'san'yuan 诡德三元
'guo'ru'da'jiao 蝈汝大觉
'han'dao'yi 韩道衣
'hao'mei'xian'cang 皓眉仙藏
'heng'sha'pu'xian 恒沙普贤
'hou'wu'feng 后无封
'hua'feng'nu 华凤奴
'huan'shi 欢奭
'huo'xi 火屭
'jian'bu'yi 剑布衣
'jian'lv'xing 剑履行
'jing'bao'er 竞豹儿
'ku'chan'yin'ji 枯禅印机
'ku'ma'jing'hong 骷马惊鸿
'liang'ru'ting 亮如霆
'lie'jing'yi 列经衣
'liu'yan'di'bai 六眼地猈
'long'kui'wu'jia 龙夔无甲
'lu'cang'tuo 路藏陀
'lu'zhen'si'sheng 禄真四圣
'mang'xin'pan'gou 蟒信蟠勾
'mo'xiang'ju 魔相俥
'mo'zong'si 墨宗嗣
'pi'li'bing'xian'zhi'wen'ding'tian'xia 霹雳兵燹之问鼎天下
'piao'liang'huo'dao 漂亮活刀
'qi'zi'ran 齐子然
'shang'shan'zhi'de 上善至德
'sheng'xiang'che 圣象车
'shou'fo'wu'liang'shi 寿佛无量识
'shu'kui'qing'sui 蠋魁青岁
'shui'yan'rou 水嫣柔
'si'die'liu'ying 死蝶留影
'sui'han'jie 岁寒嗟
'wen'ding'tian'xia 问鼎天下
'wen'duo'shi 闻多时
'wu'sheng'xie'ni 无生邪尼
'xi'jiu'ding 袭九鼎
'xiao'de'yi 潇德衣
'xiao'yi'he 髐易和
'xing'yan'suo'gui 星魇锁鬼
'xu'xie'tuo 虚邪陀
'xue'lang'yao'sou 血狼妖叟
'yi'fu'wu'zei 螘夫无贼
'yin'kong'tong 印崆峒
'you'huan'shen 忧患深
'you'ren'chang'dao 游刃常道
'yuan'he'wu 元鹤舞
'zou'shan'qi'yi 驺山棋一
'zuo'chang'kun 左常坤
