'chao'ping'mian 超平面
'dui'ou'wen'ti 对偶问题
'er'fen'lei 二分类
'fen'lei 分类
'guang'yi'la'ge'lang'ri'han'shu 广义拉格朗日函数
'guo'ni'he 过拟合
'he'fang'fa 核方法
'he'hua'mu'biao'han'shu 核化目标函数
'hui'gui 回归
'jian'zhi 剪枝
'jue'ce'shu 决策树
'mu'biao'han'shu 目标函数
'qiang'hua'xue'xi 强化学习
'ruan'jian'ge 软间隔
'shi'xing'han'shu 示性函数
'song'chi'bian'liang 松弛变量
'wu'jian'du'xue'xi 无监督学习
'xian'xing'ke'fen 线性可分
'xian'xing'pan'bie'han'shu 线性判别函数
'xin'xi'shang 信息熵
'xin'xi'zeng'yi 信息增益
'you'jian'du'xue'xi 有监督学习
'yu'ce'mo'xing 预测模型
