'ai'li'ou 艾利欧
'da'dao'si'yuan'mei 大道寺园美
'da'dao'si'zhi'shi 大道寺知世
'feng'yin'zhi'shou 封印之兽
'fu'zi 抚子
'ge'fan 歌帆
'guan'yue 观月
'guan'yue'ge'fan 观月歌帆
'guan'yue'lao'shi 观月老师
'jue'dui'mei'wen'ti'de 绝对没问题的
'ke'lu'bei'luo'si 可鲁贝洛斯
'ku'luo 库洛
'ku'luo'li'de 库洛里德
'ku'luo'pai 库洛牌
'ku'luo'pai'pian 库洛牌篇
'li'fei'mei 李绯梅
'li'fu'die 李芙蝶
'li'huang'lian 李黄莲
'li'mei'ling 李莓铃
'li'xiao'lang 李小狼
'li'xue'hua 李雪花
'li'ye'lan 李夜兰
'liu'ze'nai'xu'zi 柳泽奈绪子
'lu'bi'yue 露比月
'meng'zhi'zhang 梦之杖
'mo'dao'shi 魔道士
'mo'fa'shi 魔法师
'mo'ka'shao'nv'ying 魔卡少女樱
'mo'li 魔力
'mo'ni'shang'dian'da'hui 模拟商店大会
'mo'zhang 魔杖
'mu'zhi'ben'fu'zi 木之本抚子
'mu'zhi'ben'tao'shi 木之本桃矢
'mu'zhi'ben'teng'long 木之本藤隆
'mu'zhi'ben'ying 木之本樱
'qiu'yue'nai'jiu'liu 秋月奈久留
'san'yuan'qian'chun 三原千春
'shan'qi'gui'shi 山崎贵史
'shen'pan'zhe'yue 审判者月
'shi'zhi'ben'qiu'sui 诗之本秋穗
'si'bi 斯比
'si'bi'nai'lu 斯比奈鲁
'si'bi'nai'lu'tai'yang 斯比奈鲁太阳
'tan'chi'gui'xiao'ke 贪吃鬼小可
'tao'shi 桃矢
'teng'long 腾隆
'xiao'ke 小可
'xiao'lang 小狼
'xiao'xiong'bu'ou 小熊布偶
'xiao'ying 小樱
'xiao'ying'pai'pian 小樱牌篇
'xue'bi 雪比
'xue'tu 雪兔
'you'zhi'ding 友枝町
'you'zhi'shi 友枝市
'you'zhi'xiao'xue 友枝小学
'yu'zhi'meng 预知梦
'yue'cheng'xue'tu 月城雪兔
'yue'feng'shen'she 月峰神社
'zhan'bu'shi 占卜师
'zhi'shi 知世
'zhong'ze'ai'li'ao 柊沢艾利奥
'zuo'zuo'mu'li'jia 佐佐木利佳
