'a'li 阿狸
'ao'qi'chuan'shuo 奥奇传说
'ao'qi'zhan'ji 奥奇战记
'bu'tou 不透
'cai'ji'fen 彩积分
'guan'li 管理
'jian'du 监督
'ka'bu'xian'zong 卡布仙踪
'meng'meng 萌萌
'mi'gua 蜜瓜
'mo'yi 末义
'mo'yi'gao'guan 末义高管
'mo'yi'jian'du 末义监督
'nan'gua 南瓜
'nan'gua'qun'zhu 南瓜群主
'nan'gua'wan'sui 南瓜万岁
'qian'dao 签到
'suo'luo 所罗
'ti'mo 提莫
'xi'gua 西瓜
'yi'bi 义币
'yi'dou 义豆
