'a'ba'da'ni'yu'nan 阿巴达尼遇难
'a'he 阿褐
'a'mo'xiao'bai 阿嫫晓白
'a'shi'na 阿史那
'a'teng'qi'gen'ma'si'mu 阿腾其根麻斯睦
'a'xiang 阿香
'ba'yue'cha 八月槎
'bai'shi'shen'de'gu'shi 白石神的故事
'bai'shui'su'nv 白水素女
'bai'yu'jiang'lang 白鱼江郎
'bai'yun'ge'ge 白云格格
'bai'ze 白泽
'ban'zhu 斑竹
'bao'xuan 鲍宣
'bi'jian'ren 比肩人
'bi'ting'shen 鼻亭神
'bian'jin 便金
'bo'gu'ke'han'de'chuan'shuo 卜古可汗的传说
'bo'qiu 伯裘
'bo'yi 伯益
'bu'zhou'shan 不周山
'cai'yun 彩云
'cai'zhi 蔡支
'can'cong 蚕丛
'can'jun'ju'yu 参军鐻鹆
'can'ma 蚕马
'can'sang 蚕桑
'chang'e'ben'yue 嫦娥奔月
'chen'xiu'yuan 陈秀远
'cheng'cha'dao'tian'he 乘槎到天河
'cheng'wu'ding 成武丁
'chi'guo 尺郭
'chi'you 蚩尤
'chi'you'yu'huang'di'zhi'zhan 蚩尤与黄帝之战
'chu'long 畜龙
'chuan'xiong'guo 穿胸国
'chuang'shi'de'chuan'shuo 创世的传说
'cui'ji 崔基
'da'ke 大客
'da'peng'dou'nie'long 大鹏斗孽龙
'dai'jun'ting 代郡亭
'dan'qiu'ming 丹丘茗
'dan'zhu 丹朱
'ding'gong'hua'he 丁公化鹤
'ding'gu 丁姑
'dong'fang'shuo 东方朔
'dong'hai'xiao'fu 东海孝妇
'dong'shu'zhan'zheng'ji 东术战争记
'dong'wang'gong 东王公
'dong'yong 董永
'dou'jiao 斗蛟
'du'yu 杜宇
'duo'sha'ao'she 多莎敖社
'er'ri 二日
'fan'shi'zhang'shao 范式张劭
'fei'le'guo 吠勒国
'feng'lin'zhou 凤麟洲
'feng'meng'sha'yi 逢蒙杀羿
'feng'shi'jun 封使君
'fu'jia'bing 腹瘕病
'fu'xi 伏羲
'gan'jiang'mo'ye 干将莫邪
'gao'le'qu 高勒趣
'ge'xuan 葛玄
'gong'ji'qing'tai'yang 公鸡请太阳
'gong'ren'cao 宫人草
'gong'zhu'bao 公主堡
'gu'huo'niao 姑获鸟
'gu'mi'ya 顾米亚
'gu'shao 顾邵
'gu'sheng'tu'cheng'he'heng'ming'su'she'ma 古生土称和亨命素舍玛
'gu'xi'nv'gui'zi 故熙女鬼子
'guan'yue'cha 贯月查
'gui'mu 鬼母
'gui'zi 鬼子
'gun'yu'yu 鲧与禹
'hai'de'dan'sheng 海的诞生
'han'ping'fu'fu 韩凭夫妇
'han'zi 邗子
'he'bo'nv 河伯女
'he'bo'shi'zhe 河伯使者
'he'jian'jun'nan'nv 河间郡男女
'hong'shi 弘氏
'hong'shui'tao'tian 洪水滔天
'hong'zhang'fu 虹丈夫
'hou'ji 后稷
'hou'jue 猴玃
'hou'zhou'nv'zi 后周女子
'hou'zi'bian'ren 猴子变人
'hu'ben'ting 鹄奔亭
'hu'de'gu'shi 虎的故事
'hu'gong 壶公
'hu'mu'ban 胡母班
'hua'min 化民
'hua'tuo 华佗
'huan'qian 桓谦
'huang'chu'ping 黄初平
'huang'he'lou 黄鹤楼
'huang'jin'tan'jin'niu 黄金潭金牛
'huang'miao 黄苗
'huang'yan'zhi'zhan 黄炎之战
'huang'yuan 黄原
'hui'da 慧达
'ji'kang 嵇康
'jia'bi 贾弼
'jia'sa'gan'chuang'shi 迦萨甘创世
'jiang'fei'er'nv 江妃二女
'jiang'huang 江黄
