'a'li'ye 阿唎耶
'a'luo'can 阿罗嘇
'a'mu'qu'ye 阿穆佉耶
'a'po'lu'xi 阿婆卢醯
'a'shi'yun 阿逝孕
'a'xi'tuo'ye 阿悉陀夜
'ba'tuo'ye 跋陀耶
'bo'tuo'mo 波陀摩
'bo'ye'mo'na 波夜摩那
'da'zhi'ta 怛侄他
'di'li'ni 地唎尼
'di'li'se'ni'na 地利瑟尼那
'dou'shu'peng 豆输朋
'du'lu'du'lu 度卢度卢
'duo'luo'ye 哆罗夜
'fa'du'ye'di 罚闍耶帝
'fa'mo'luo 罚摩罗
'fa'sha'fa'can 罚沙罚参
'fo'luo'she'li 佛罗舍利
'fo'luo'she'ye 佛罗舍耶
'he'luo'da'na 喝罗怛那
'hu'lu'hu'lu'mo'luo 呼嚧呼嚧摩罗
'hu'lu'hu'lu'xi'li 呼嚧呼嚧醯利
'jia'luo'di 迦罗帝
'jie'meng 羯蒙
'jie'xi'tuo'ye 羯悉陀夜
'li'tuo'yun'ju'lu'ju'lu 唎驮孕俱卢俱卢
'lu'jia'di 卢迦帝
'man'duo'luo 漫多罗
'mi'di'li'ye 弥帝唎夜
'mo'fa'te'dou 摩罚特豆
'mo'he'fa'du'ye'di 摩诃罚闍耶帝
'mo'he'jia'lu'ni'jia'ye 摩诃迦卢尼迦耶
'mo'he'pu'ti'sa'duo'sa'po'sa'po 摩诃菩提萨埵萨婆萨婆
'mo'he'sa'duo'po'ye 摩诃萨埵婆耶
'mo'he'xi'tuo'ye 摩诃悉陀夜
'mo'luo'mo'luo'mo'xi'mo'xi 摩罗摩罗摩醯摩醯
'mo'luo'na'luo 摩罗那罗
'mo'mo 摩麽
'mo'po'li 摩婆利
'mu'di'li 穆帝隶
'na'luo'jin'chi 那罗谨墀
'na'mo 南无
'na'mo'a'li'ye 南无阿唎耶
'na'mo'he'luo'da'na'duo'luo'ye'ye 南无喝罗怛那哆罗夜耶
'na'mo'po'jia 那摩婆伽
'na'mo'po'sa'duo 那摩婆萨哆
'na'mo'xi'ji'li'duo 南无悉吉栗埵
'po'jia'luo'ye 皤伽罗耶
'po'lu'ji'di 婆卢吉帝
'po'lu'ji'di 婆嚧吉帝
'po'lu'jie'di 婆卢羯帝
'pu'ti'sa'duo'po'ye 菩提萨埵婆耶
'pu'ti'ye 菩提夜
'pu'tuo'ye 菩驮夜
'sa'po'a'ta 萨婆阿他
'sa'po'luo'fa'ye 萨皤罗罚曳
'sa'po'sa'duo 萨婆萨哆
'sheng'jie'luo'ye 胜羯罗夜
'shi'fo'luo'leng'tuo'po 室佛罗愣驮婆
'shi'fo'luo'ye 室佛罗耶
'shi'na'shi'na 室那室那
'shi'po'luo'ye 室皤罗耶
'shu'da'na'da'xie 数怛那怛写
'shuo'bo'luo'ye 烁钵罗耶
'shuo'po'luo'ye 烁皤罗夜
'su'lu'su'lu 苏嚧苏嚧
'suo'luo'suo'luo 娑罗娑罗
'suo'po'he 娑婆诃
'suo'po'mo'he 娑婆摩诃
'tuo'luo'tuo'luo 陀罗陀罗
'xi'dian'dou 悉殿都
'xi'li'mo'he'po'duo'sha'mie 醯利摩诃皤哆沙咩
'xi'li'xi'li 悉唎悉唎
'xi'luo'seng 悉罗僧
'xi'tuo'ye 悉陀夜
'xi'tuo'yu'yi 悉陀喻艺
'yi'meng'a'li'ye 伊蒙阿唎耶
'yi'xi'li 夷醯唎
'yi'xi'yi'xi 伊醯伊醯
'zhe'ji'luo 者吉罗
'zhe'luo'zhe'luo 遮罗遮罗
