'chun'tai 蠢泰
'da'hei 大黑
'dan'ye 弹爷
'guo'guo 果果
'guo'zi 果子
'hao'xi 好细
'hou'bi 厚比
'huang'jin'mang'nei 黄金忙内
'jian'bang'ge 肩膀哥
'jin'ma 劲妈
'jin'nan'jun 金南俊
'jin'shuo'zhen 金硕珍
'jin'tai'heng 金泰亨
'la'meng 拉蒙
'lao'min 老闵
'min'bai'tang 闵白糖
'min'men'qi 闵玧其
'min'wu'li 闵无力
'min'ye 闵爷
'pu'zhi'yan 朴智妟
'si'ci'yuan'tai 四次元泰
'tai'tai 泰泰
'tian'zheng'guo 田怔国
'xi'wang'ge 希望哥
'xiao'gong'ju 小公举
'zheng'hao'xi 郑号锡
