'a'dai 阿代
'a'dan 阿丹
'a'de 阿德
'a'dian'yuan 阿甸园
'a'he'mo'de 阿赫默德
'a'xi'ye 阿西叶
'a'zai'er 阿宰尔
'a'zha'er 阿扎尔
'a'zi'la'yi'lai 阿兹拉伊来
'ai'bu'bo'she'er 艾布伯舍尔
'ai'ha'ge'fu 哀哈格夫
'ai'ha'jia'fu 艾哈戛弗
'ai'ha'mo'de 艾哈默德
'ai'kai 哀凯
'ai'le'ye'sai'er 艾勒叶赛尔
'an'you'bo 安优卜
'ba'er 巴尔
'bai'er'li 白耳利
'bai'xing'jiao'tu 拜星教徒
'bi'le'ji'si 比勒基斯
'bo'la'ge 卜拉格
'cha'lu'te 查鲁特
'cong'lin'de'ju'min 丛林的居民
'da'ou'te 大欧特
'da'wu'de 达伍德
'da'wu'de'de'mi'wu 达伍德的迷误
'deng'xiao 登霄
'dong'zhong'ren 洞中人
'du'wa 杜瓦
'en'lin'yin 恩霖阴
'er'mu'lan 尔母兰
'er'sa 尔撒
'er'sa'de'yu'yan 尔撒的预言
'er'sa'zhi'si 尔撒之死
'fa'lao 法老
'fei'er'dao'si 斐尔道司
'fei'la'ao 匪喇傲
'ga'bi'le 嘎比勒
'ge'lun 葛伦
'ge'lun 戈伦
'ha'bi'le 哈比勒
'ha'lu'te 哈鲁特
'ha'lun 哈伦
'ha'man 哈曼
'ha'zhe'er 哈哲尔
'hao'wa 好娃
'hao'wa 好娲
'he'zi'le 赫资勒
'hei'zhi'er 黑秩尔
'hei'zi'er 黑孜尔
'hu'bo'le 胡伯勒
'hu'dai 扈代
'hu'de 胡德
'huang'niu 黄牛
'ji'bo'li'li 吉卜利里
'ji'bo'te 吉卜特
'jing'ling 精灵
'jing'ni 精尼
'jue'keng'ren 掘坑人
'la'te 拉特
'lai'ji'mu 赖吉姆
'lan'si 兰斯
'lan'si 滥斯
'lu'ge'man 鲁格曼
'lu'mi 鲁密
'lu'mu 鲁姆
'lu'te 鲁特
'lu'tuo 鲁脱
'ma'er'yan 马尔焉
'ma'li'ke 马立克
'ma'li'ke 玛利克
'ma'lu'te 马鲁特
'ma'na'te 马纳特
'ma'zhu'zhe 马朱者
'mai'da'yan 买大严
'mai'de'yan 麦德彦
'mai'er'yan 麦尔彦
'mai'ga'mu'mai'ha'mao'de 麦嘎姆麦哈茂德
'mai'xi'ha 麦希哈
'mai'xi'ha 埋西哈
'meng'ka'er 蒙卡尔
'mi'ka'li 米卡里
'mi'ka'yi'lai 米卡伊来
'mo'na 默那
'mu'sa 母撒
'mu'sa 穆萨
'mu'sa'de'qi'ji 穆萨的奇迹
'mu'sa'de'yue'ding 穆萨的约定
'na'ji'er 纳基尔
'nai'si'er 奈斯尔
'nai'yi'lai 奈伊莱
'nu'ha 努哈
'nu'hai 努海
'ou'sa 欧萨
'ou'zai'er 欧宰尔
'qi'ren'yi'gou 七人一狗
'sa'bi'jiao'tu 萨比教徒
'sa'dan 撒旦
'sa'li'ha 撒立哈
'sa'mi'li 撒米里
'sai'bai 塞白
'sai'bo'yi 赛伯邑
'sai'mo'de 赛莫德
'sai'mu'de 赛母德
'sha'bian'ren 沙便人
'sha'li'ha 沙里哈
'sha'mi'lai'ren 沙迷赖人
'shai'yi'tuo'ni 晒依陀尼
'shi'shi 施师
'shu'a'bo 舒阿卜
'shu'er'bu 书尔布
'shuang'jiao'ren 双角人
'su'lai'man 苏莱曼
'su'lai'man 素赖曼
'su'lai'man'de'zhi'hui 苏莱曼的智慧
'su'wa'er 素瓦尔
'ta'gu'te 塔古特
'ta'lu'te 塔鲁特
'tian'jiang'yan'xi 天降筵席
'tu'bai 图白
'tu'er 图尔
'tu'wa 图哇
'wa'de 瓦德
'wang'de 旺德
'wu'zha 乌札
'xi'zhi'er 希只尔
'xi'zi'er 希兹尔
'xiang'jun 象军
'xin'jin 信禁
'xiu'jian'tian'fang'chuan'shuo 修建天房传说
'ya'fei'si 雅非斯
'ya'zhu'zhe 雅朱者
'ye'er'gu'bai 叶尔孤白
'ye'ha'ya 叶哈雅
'ye'ou'ge 叶欧格
'ye'wu'si 叶巫斯
'ye'xing 夜行
'yi'bu'la'xin 伊布拉欣
'yi'bu'la'xin 易卜拉欣
'yi'bu'la'xin'li'zu'di 易卜拉欣立足地
'yi'bu'lie'si 易卜劣厮
'yi'de'li'shi 一德理师
'yi'de'li'si 易德里斯
'yi'fu'li'te 易夫里特
'yi'lai'mu 伊赖姆
'yi'le'ya'si 易勒雅斯
'yi'luan 伊銮
'yi'mu'lan 仪姆兰
'yi'sai'fu 伊赛夫
'yi'se'lie'de'hou'yi 以色列的后裔
'yi'si'ha'ge 易司哈格
'yi'si'kan'da'er 伊斯坎达尔
'yi'si'la'fei'lai 伊斯拉非来
'yi'si'la'yi 易司拉仪
'yi'si'ma'yi 伊斯玛仪
'yi'si'ma'yi 易司马仪
'yi'zi'la'yi'lai 伊兹拉伊来
'you'nian'de'er'sa 幼年的尔撒
'you'nu'si 优努斯
'you'she'a 优舍阿
'you'su'fu 优素福
'zai'kai'li'ya 宰凯里雅
'zai'luo'qi'fu'li 宰洛祈福礼
'zhai'ke'lin'ya 翟克赁亚
'zhe'bu'le'yi'lai 哲布勒伊来
'zhen'ni 镇尼
'zhi'bu'te 滞布特
'zhu'di 朱迪
'zhu'die 朱迭
'zhu'le'ji'fu'le 助勒基福勒
'zu'li'ge'er'nai'ni 租立格尔乃尼
'zuo'le'gai'er'nai'ying 左勒盖尔奈英
'zuo'nong 左农
