'chuan'song'guo'lai 传送过来
'ci'ke 刺客
'da'bao'ji 打暴击
'da'kong'zhi 打控制
'di'xing 地型
'fa'shi 法师
'fei'guo'lai 飞过来
'gao'di'jia'cheng 高地加成
'gong'jian 弓箭
'gong'shou 弓手
'ji'si 祭祀
'jiu'yi'shou 救一手
'ju'guai 聚怪
'kai'guai 开怪
'kong'zhu 控住
'mo'jia 魔甲
'po'mo'jia 破魔甲
'po'wu'jia 破物甲
'qian'fu'kai'guai 潜伏开怪
'qiang'di'xing 抢地形
'qiang'gao'di 抢高地
'qiang'xian'gong 抢先攻
'qiang'xian'shou 抢先手
'tou'yi'shou 偷一手
'tuo'zhan 脱战
'wei'yi 位移
'wu'jia 物甲
'wu'shi 巫师
'zao'di'xing 造地型
'zhan'shi 战士
