'bang'jia 绑架
'bang'zhu'ta'ren'zi'sha 帮助他人自杀
'bang'zhu'ta'ren'zi'shang 帮助他人自伤
'bei'xin'zui 背信罪
'ben'fan 本犯
'ben'quan'shuo 本权说
'cai'chan'hui'sun'zui 财产毁损罪
'cai'chan'li'yi 财产利益
'cai'chan'zui 财产罪
'cai'wu 财物
'cai'wu'zui 财物罪
'cang'ni'ren'fan'zui 藏匿人犯罪
'cheng'ji'jian'yin'zui 乘机奸淫罪
'cheng'ji'wei'xie'zui 乘机猥亵罪
'cheng'nuo 承诺
'chu'fen'neng'li 处分能力
'chu'fen'xing'wei 处分行为
'chuan'ran'hua'liu'bing'ma'feng'bing'zui 传染花柳病麻疯病罪
'de'cheng'nuo'sha'ren 得承诺杀人
'de'cheng'nuo'shang'ren 得承诺伤人
'du'zhi'tu'li'zui 渎职图利罪
'fa'yi 法益
'fang'hai'gong'gong'wei'sheng'zui 妨害公共卫生罪
'fang'hai'guo'jiao'zui 妨害国交罪
'fang'hai'ju'zhu'zi'you'zui 妨害居住自由罪
'fang'hai'mi'mi'zui 妨害秘密罪
'fang'hai'ming'yu'zui 妨害名誉罪
'fang'hai'shang'biao'shang'hao'zui 妨害商标商号罪
'fang'hai'tou'piao'zui 妨害投票罪
'fang'hai'xin'yu'zui 妨害信誉罪
'fang'hai'you'dian'mi'mi'zui 妨害邮电秘密罪
'fang'hai'zi'ran'fa'yu'zui 妨害自然发育罪
'fei'fa'sou'suo'zui 非法搜索罪
'ge'bie'cai'chan 个别财产
'ge'ren'fa'yi 个人法益
'gong'ran'wei'xie'zui 公然猥亵罪
'guan'li'ke'neng'wu 管理可能物
'guan'li'ke'neng'xing'shuo 管理可能性说
'guang'yi'de'xie'po 广益的胁迫
'guo'jia'fa'yi 国家法益
'guo'shi'shang'hai'zui 过失伤害罪
'guo'shi'zhi'si'zui 过失致死罪
'he'xing'ju'jin'zui 和行拘禁罪
'he'you 和诱
'hui'qi'sun'huai'zui 毁弃损坏罪
'hui'sun'ming'yu 毁损名誉
'jia'gong 加功
'jia'gong'wu 加工物
'jia'gong'zi'sha'zui 加功自杀罪
'jia'gong'zi'shang'zui 加功自伤罪
'jia'zhong'shou'hui'zui 加重受贿罪
'jian'yin'wei'cheng'nian'nv'zi'zui 奸淫未成年女子罪
'jian'yin'zui 奸淫罪
'jiao'suo'ta'ren'zi'sha 教唆他人自杀
'jiao'suo'ta'ren'zi'shang 教唆他人自伤
'ju'zhong'dou'ou'zui 聚众斗殴罪
'kong'he'zui 恐吓罪
'lan'yong'zhi'quan'zui 滥用职权罪
'li'yi'zui 利益罪
'li'yong'quan'shi'jian'yin'zui 利用权势奸淫罪
'li'yong'quan'shi'wei'xie'zui 利用权势猥亵罪
'lu'ren'le'shu'zui 掳人勒赎罪
'luan'lun 乱伦
'lue'you 略诱
'lue'you'fu'nv'zui 略诱妇女罪
'lun'jian'zui 轮奸罪
'nei'luan'zui 内乱罪
'pu'tong'sha'ren'zui 普通杀人罪
'pu'tong'shou'hui'zui 普通受贿罪
'qiang'dao'zui 强盗罪
'qiang'jian'sha'ren'zui 强奸杀人罪
'qiang'zhi'wei'xie'zui 强制猥亵罪
'qiang'zhi'zui 强制罪
'qie'dao'zui 窃盗罪
'qin'fan'ge'ren'fa'yi'de'fan'zui 侵犯个人法益的犯罪
'qin'fan'guo'jia'fa'yi'de'fan'zui 侵犯国家法益的犯罪
'qin'fan'she'hui'fa'yi'de'fan'zui 侵犯社会法益的犯罪
'qin'hai'fen'mu'shi'ti'zui 侵害坟墓尸体罪
'qin'zhan'zui 侵占罪
'qing'shang'zui 轻伤罪
'quan'ti'cai'chan 全体财产
'rou'piao 肉票
'sha'hai'zun'qin'shu'zui 杀害尊亲属罪
'shang'hai'zun'qin'shu'zui 伤害尊亲属罪
'she'hui'fa'yi 社会法益
'sheng'ming'de'jue'dui'bao'hu'yuan'ze 生命的绝对保护原则
'sheng'ming'de'yi'shen'zhuan'shu'xing 生命的一身专属性
'sheng'mu'sha'ying'zui 生母杀婴罪
'shi'qiang'bao'yu'zhi'xi'xue'qin'zun'qin'shu'zui 施强暴于直系血亲尊亲属罪
'shi'ren'wei'nu'zui 使人为奴罪
'shou'zhu'tuo'sha'ren 受嘱托杀人
'shou'zhu'tuo'shang'ren 受嘱托伤人
'si'piao 撕票
'te'bie'shang'hai'zui 特别伤害罪
'wai'huan'zui 外患罪
'wei'bei'zhi'wu'zui 违背职务罪
'wei'hai'jiao'tong'an'quan'zui 危害交通安全罪
'wei'xian'wu'zui 危险物罪
'wei'xie'wei'cheng'nian'nan'nv'zui 猥亵未成年男女罪
'wei'xie'zui 猥亵罪
'wei'zao'du'liang'heng'zui 伪造度量衡罪
'wei'zao'wen'shu'yin'wen'zui 伪造文书印文罪
'xia'yi'de'xie'po 狭义的胁迫
'xie'lou'mi'mi'zui 泄露秘密罪
'xue'qin'xiang'jian'zui 血亲相奸罪
'yan'du'zui 烟毒罪
'yan'mie'zheng'ju'zui 湮灭证据罪
'yi'ban'shang'hai'zui 一般伤害罪
'yi'fen'shang'hai'zui 义愤伤害罪
'you'ti'xing'shuo 有体性说
'zang'wu'zui 赃物罪
'zha'pian'chu'guo'zui 诈骗出国罪
'zha'qi'zui 诈欺罪
'zha'shu'jian'yin'zui 诈术奸淫罪
'zhan'you'shuo 占有说
'zhong'li'zui 重利罪
'zhong'shang'zui 重伤罪
'zhun'qiang'jian'zui 准强奸罪
'zhun'shou'hui'zui 准受贿罪
'zui'xia'yi'de'xie'po 最狭义的胁迫
