'da'lu'xiang 大芦乡
'da'lu'xiang'chang'yuan'cun 大芦乡常塬村
'da'lu'xiang'da'lu'cun 大芦乡大芦村
'da'lu'xiang'da'yuan'cun 大芦乡大塬村
'da'lu'xiang'liu'gou'cun 大芦乡刘沟村
'da'lu'xiang'xiao'lu'cun 大芦乡小芦村
'da'lu'xiang'ye'mi'cun 大芦乡野糜村
'da'lu'xiang'zhong'sha'cun 大芦乡中砂村
'da'lu'xiang'zhou'wan'cun 大芦乡周湾村
'da'lu'xiang'zhuang'kou'cun 大芦乡庄口村
'gao'wan'xiang 高湾乡
'gao'wan'xiang'bai'ya'cun 高湾乡白崖村
'gao'wan'xiang'er'bai'hu'cun 高湾乡二百户村
'gao'wan'xiang'gao'ya'cun 高湾乡高崖村
'gao'wan'xiang'ge'tang'cun 高湾乡葛淌村
'gao'wan'xiang'jia'ya'cun 高湾乡贾崖村
'gao'wan'xiang'li'shan'cun 高湾乡笠山村
'gao'wan'xiang'ma'zhai'cun 高湾乡马寨村
'gao'wan'xiang'san'bai'hu'cun 高湾乡三百户村
'gao'wan'xiang'san'chang'cun 高湾乡三场村
'gao'wan'xiang'sha'he'cun 高湾乡沙河村
'gao'wan'xiang'wen'ya'cun 高湾乡文崖村
'gao'wan'xiang'zhu'zhai'cun 高湾乡住寨村
'jiao'dao'chu 教导处
'jing'yuan'xian'da'lu'xin'yong'she 靖远县大芦信用社
'jing'yuan'xian'da'lu'zhong'xin'xiao'xue 靖远县大芦中心小学
'jing'yuan'xian'da'lu'zhong'xue 靖远县大芦中学
'liu'chuan'xiang 刘川乡
'liu'chuan'xiang'fan'yao'cun 刘川乡范窑村
'liu'chuan'xiang'jin'chuan'cun 刘川乡金川村
'liu'chuan'xiang'lai'yao'cun 刘川乡来窑村
'liu'chuan'xiang'lao'ba'wan'cun 刘川乡涝坝湾村
'liu'chuan'xiang'luo'zhuang'cun 刘川乡罗庄村
'liu'chuan'xiang'nan'chuan'cun 刘川乡南川村
'liu'chuan'xiang'nan'shan'wei'cun 刘川乡南山尾村
'liu'chuan'xiang'ying'zui'cun 刘川乡鹰嘴村
'liu'chuan'xiang'zhang'tan'cun 刘川乡张滩村
'liu'chuan'xiang'zhao'tang'cun 刘川乡赵淌村
'zhao'guang'fa 赵广发
'zhao'ying'xin 赵映新
'zhao'zhong'ju 赵中举
