'an'bao'ya 安包呀
'an'ya 安呀
'an'ying'ba'bi 暗影芭比
'ba'lei'te 巴雷特
'bai'bai'lou 拜拜喽
'bai'hu'wen'shen 白虎纹身
'bai'jin'fen'lan 白金芬兰
'bao'bao'te'zhi'tu'ji'bu'qiang 宝宝特质突击步枪
'bao'fei 包匪
'bao'huo 爆火
'bao'zai'you'bian 包在右边
'bao'zai'zuo'bian 包在左边
'bao'zha 爆炸
'bei'ci'yin'ren 背刺银刃
'bu'chong'de'ti 不冲的踢
'bu'zou'de'ti 不走的踢
'cai'jue'zhe 裁决者
'ce'dao 侧道
'ce'men 侧门
'chai'bao 拆包
'chai'bao'qi 拆包器
'chai'bao'ya 拆包呀
'chao'ji'tiao 超级跳
'che'tui 撤退
'chen'ai'zhi'guang 尘埃之光
'chi'se'hui'xing 赤色彗星
'chong'feng 冲锋
'chong'fu'li'yong 重复利用
'chuan'qiang 穿墙
'chuan'si 穿死
'da'dao 大道
'da'niao 大鸟
'da'pen 大喷
'da'ren'ti 搭人梯
'da'tiao'ju 大跳狙
'dan'pen 单喷
'dan'tiao 单挑
'di'ren 敌人
'dian'she 点射
'ding'ju 定狙
'ding'xia 顶下
'ding'zhu 顶住
'dui'ju 对狙
'dun'tiao 蹲跳
'dun'xia 蹲下
'e'mo'lie'shou 恶魔猎手
'e'mo'zhi'zi 恶魔之子
'er'lou 二楼
'fa'ba'da'niao 发把大鸟
'fa'ba'qiang 发把枪
'fan'kong'jing'ying 反恐精英
'fan'zuo'bi'qi 反作弊器
'fei'jia 匪家
'fei'tou 匪头
'fei'wo 匪窝
'fei'zhuan 匪专
'fen'jin'zhe 焚金者
'fen'lan'zhi'xing 芬兰之星
'feng'bao'zhi'chui 风暴之锤
'gang'cai'de'tu 刚才的图
'gei'ba'qiang 给把枪
'gen'ju 跟狙
'gen'wo'chong 跟我冲
'gen'wo'zou 跟我走
'hei'long'pao 黑龙炮
'heng'yu'hei'xing 恒宇黑星
'heng'yu'hong'xing 恒宇红星
'heng'yu'shuang'xing 恒宇双星
'heng'yu'yin'xing 恒宇银星
'hua'mei 画梅
'huan'ge'di'tu 换个地图
'huan'ge'tu 换个图
'huan'tu 换图
'huang'jin'ti'dao 黄金剃刀
'huang'jin'zhui'ji'zhe 黄金追击者
'huang'mo'jin'ying 荒漠金鹰
'hui'chao 回抄
'hui'fang 回防
'hui'he'chong'zhi 回合重置
'hui'mie'zhe 毁灭者
'huo'jian'pao 火箭炮
'huo'yan'gao'bao'lei 火焰高爆雷
'ji'di 基地
'ji'fang 挤房
'ji'feng'zhi'yi 疾风之翼
'ji'xian'tiao'yue 极限跳跃
'jia'qiang 架枪
'jia'te'lin 加特林
'jia'ti 架梯
'jian'fang 建房
'jian'zhu 建主
'jie'lue'zhe 劫掠者
'jin'hong'shuang'xie 金红双蝎
'jin'hua'ji'yin 进化基因
'jin'long 金龙
'jin'xiao'ju'feng 金哮飓风
'jin'yan'xuan'feng 金焰旋风
