'a'ning 阿宁
'ban'jie'li 半截李
'chang'bai'shan 长白山
'chen'pi'a'si 陈皮阿四
'chen'wen'jin 陈文锦
'da'kui 大奎
'dai'wo'hui'jia 带我回家
'dao'dou 倒斗
'dao'mu'bi'ji 盗墓笔记
'er'yue'hong 二月红
'hai'hou'zi 海猴子
'hei'hua 黑花
'hei'xiao'hua 黑小花
'hei'yan'jing 黑眼镜
'huo'ling 霍玲
'huo'xian'gu 霍仙姑
'huo'xiu'xiu 霍秀秀
'jie'lian'huan 解连环
'jie'yu'hua 解语花
'jie'zi'yang 解子扬
'jin'po 禁婆
'lan'se'lian'mao'shan 蓝色连帽衫
'lao'jiu'men 老九门
'lao'yang 老痒
'liu'jiao'tong'ling 六角铜铃
'lv'dan'dan 驴蛋蛋
'men'you'ping 闷油瓶
'ming'qi 明器
'mo'jin'xiao'wei 摸金校尉
'nan'pai'san'shu 南派三叔
'pan'zi 潘子
'pang'zi 胖子
'ping'xie 瓶邪
'qi'yu 齐羽
'qing'tong'men 青铜门
'qiu'de'kao 裘德考
'ren'mian'niao 人面鸟
'ru'guo'ni'xiao'shi 如果你消失
'san'shu 三叔
'she'mei'tong'yu 蛇眉铜鱼
'si'pang'zi 死胖子
'tian'zhen 天真
'tian'zhen'wu'xie 天真无邪
'wang'cang'hai 汪藏海
'wang'meng 王萌
'wang'meng'meng 王萌萌
'wang'yue'ban 王月半
'wo'yong'yi'sheng'huan'ni'shi'nian'tian'zhen'wu'xie 我用一生换你十年天真无邪
'wu'er'bai 吴二白
'wu'lao'gou 吴老狗
'wu'san'xing 吴三省
'wu'yi'qiong 吴一穷
'xiao'ge 小哥
'xiao'hua 小花
'xiao'san'ye 小三爷
'yi'ye'qi'ci 一夜七次
'yun'cai 云彩
'zhang'a'kun 张阿坤
'zhang'qi'ling 张起灵
'zhang'qi'shan 张启山
'zhang'xiao'xie 张小邪
'zhi'shao'wo'hui'fa'xian 至少我会发现
'zhong'ji 终极
