'bei'ye'si 贝叶斯
'dan'wei'gen 单位根
'duo'chong'gong'xian'xing 多重共线性
'er'jie'duan'zui'xiao'er'cheng 二阶段最小二乘
'fang'cha 方差
'fang'cha'fen'jie 方差分解
'fen'wei'shu 分位数
'gong'ju'bian'liang 工具变量
'gu'ding'xiao'ying 固定效应
'he'mi'du 核密度
'hui'gui 回归
'hun'he'xiao'ying 混合效应
'jian'yan 检验
'jie'gou'fang'cheng 结构方程
'jie'gou'shang 结构熵
'lian'li'fang'cheng 联立方程
'mai'chong'xiang'ying'fen'xi 脉冲响应分析
'mian'ban'shu'ju 面板数据
'pai'xu'xuan'ze'mo'xing 排序选择模型
'sui'ji'xiao'ying 随机效应
'tiao'jian'yi'fang'cha 条件异方差
'tong'ji'liang 统计量
'wu'cha'xiu'zheng'mo'xing 误差修正模型
'xie'zheng 协整
'yin'guo 因果
'yin'zi'fen'xi 因子分析
'zhu'cheng'fen'fen'xi 主成分分析
'zhuang'tai'kong'jian 状态空间
