'a'pa'qi 阿帕契
'a'san'jing'lian'ci 阿散井恋次
'ai'chuan'luo'wu'yuan'qi'fan'dui'dui'zhang 爱川罗武原七番队队长
'ba'fan'dui 八番队
'ba'tou'yan'da'she 八頭炎大蛇
'ba'wen'te 巴温特
'bai'da 白打
'bai'fu 白伏
'bai'le'gang 拜勒岗
'bai'lei 白雷
'bai'lian'shuan 百连闩
'ban'mu'yi'jiao 斑木一角
'ben'jiang'qian'he 本匠千鹤
'ben'ti 本体
'beng'dian 崩点
'beng'yu 崩玉
'bian'cheng'sha'ba'shi'bo 变成沙吧石波
'bing'lun'wan 冰輪丸
'bo'cun'zuo'zhen 狛村左陣
'bu'lu'ba'ai 布鲁巴艾
'cai'hong'yan'ling 彩虹言灵
'cang'huo'zhui 苍火坠
'cao'lu'ba'qian'liu 草鹿八千留
'cha'du'tai'hu 茶渡泰虎
'cha'zhu 侘助
'che'gu'shan'zhi'zhu 车谷善之助
'chi'huo'pao 赤火炮
'chou'wu'yu 紬屋雨
'chu'qu'zhi'beng 初曲止绷
'chu'sen'tao 雛森桃
'chuan'dian 穿点
'chuan'jie'men 穿界门
'chuan'ling'bu 传令部
'da'dao'li'yi 大岛丽一
'da'gong'lian'bing'lun'wan 大紅蓮冰輪丸
'da'lei'yu'zhen'she'yu 大雷雨阵射魚
'da'qian'tian'xi'qian'dai 大前田希千代
'da'xu 大虚
'di'er'hao'hua'he'she'fa'ju'zhi'hua'kai 第二号花鹤射法拘之花开
'di'luo'yi 迪罗伊
'di'tang'chun'xin 荻堂春信
'dong'xian'yao 东仙要
'dong'yun 冻云
'duan'jie 断界
'duo'lu'tuo'ni 多鲁托尼
'er'fan'dui 二番队
'fa'dong'yu 发动语
'fan'gui'xiang'sha 反鬼相杀
'fei'fei'wang'she'wei'wan 狒狒王蛇尾丸
'fei'lian'jiao 飞帘脚
'fei'mei 飛梅
'fei'mei 飞梅
'fei'xiang'shui'ju'tu 飛翔水車突
'fei'yan'lian'ku 飞燕连哭
'feng'qiao'lou'shi'lang 凤桥楼十郎
'feng'shui'fu'zhi 風水縛止
'fu'dao 缚道
'fu'dao'jiu'ji 缚道九撃
'fu'dao'jiu'shi'jiu'di'er'fan'wan'jin 缚道九十九第二番卍禁
'fu'dao'jiu'shi'jiu'jin 缚道九十九禁
'fu'dao'liu'shi'yi'liu'zhang'guang'lao 缚道六十一六杖光牢
'fu'dao'qi'shi'qi'tian'ting'kong'luo 缚道七十七天挺空罗
'fu'dao'yi'sai 缚道一塞
'fu'dao'zhi'ba'shi'yi'duan'kong 縛道之八十一斷空
