'a'er'ni 阿尔尼
'a'fan'ti'qi 阿凡提妻
'a'ji'chi 阿济赤
'a'quan 阿泉
'ai'lao'shan'san'shi'liu'jian 哀牢山三十六剑
'ai'lao'zhe 矮老者
'an'da'niang 安大娘
'an'feng'ri 安奉日
'an'jian'gang 安健刚
'an'jian'qing 安剑清
'an'ran'xiao'hun'zhang 黯然销魂掌
'an'shi'jun 暗噬菌
'an'ti'du 安提督
'an'xiao'hui 安小慧
'ao'biao 敖彪
'ao'kou'duo'zhang 獒口夺杖
'ba'fang'gui'yuan 八方归元
'ba'gua'jin'dao 八卦金刀
'ba'gua'men 八卦门
'ba'gua'you'long'zhang 八卦游龙掌
'ba'gua'you'shen'zhang 八卦游身掌
'ba'ji'men 八极门
'ba'ji'quan 八极拳
'ba'kou'shan'ming 八口山铭
'ba'lang'xing 巴郎星
'ba'shi'yi'lu'san'jie'gun 八十一路三节棍
'ba'shi'yi'lu'wu'hu'dao 八十一路五虎刀
'ba'tai 巴泰
'ba'xian'jian'fa 八仙剑法
'ba'yan'fa'shi 巴颜法师
'ba'zhen'ba'gua'zhang 八阵八卦掌
'bai'a'xiu 白阿绣
'bai'er 白二
'bai'gui'shou 白龟寿
'bai'han'feng 白寒枫
'bai'han'song 白寒松
'bai'hu'tiao'jian 白虎跳涧
'bai'hua'cuo'quan 百花错拳
'bai'lian'ren 白脸人
'bai'ma'xiao'xi'feng 白马啸西风
'bai'mang'bian 白蟒鞭
'bai'mei'shang'ren 白眉上人
'bai'mo'tang 百魔堂
'bai'nian'lian'yu 百年炼狱
'bai'shao'tang 白少堂
'bai'sheng'ruan'bian 百胜软鞭
'bai'shi'jing 白世镜
'bai'tuo'xue'shan'zhang 白驼雪山掌
'bai'wan'jian 白万剑
'bai'yu'jing 白玉京
'bai'yu'mo'gai 白玉魔丐
'bai'yun'chu'xiu 白云出岫
'bai'zhang'fei'pu 百丈飞瀑
'bai'zhen 白振
'bai'zi'zai 白自在
'ban'shu'xian 班淑娴
'bang'da'gou'tou 棒打狗头
'bang'da'shuang'quan 棒打双犬
'bang'hua'fu'liu 傍花拂柳
'bao'can'shi 抱残式
'bao'cheng'xian 鲍承先
'bao'da'chu 鲍大楚
'bao'ling'quan 宝灵拳
'bao'qian'ling 鲍千灵
'bao'shu 宝树
'bao'tui 暴退
'bao'wei'jiao 豹尾脚
'bao'xiang'he'shang 宝象和尚
'bao'zhan'ji 暴战鸡
'bao'zhan'ye'zhu 暴战野猪
'bei'dou'da'zhen 北斗大阵
'bei'dou'feng'mo'zhen 北斗封魔阵
'bei'hai'shi 贝海石
'bei'jin'yi 贝锦仪
'bei'ren'long 贝人龙
'bei'yu'tuo'ba'shi 北渔拓跋氏
'bi'bang 敝帮
'bi'meng 敝盟
'bi'pai 敝派
'bi'tie'shi 笔贴式
'bi'xie'jian'fa 辟邪剑法
'bi'xue'jian 碧血剑
'bi'yuan'teng'jiao 碧渊腾蛟
