'ai'zi'wang 矮子王
'an'di 安弟
'an'you'zhen 安宥真
'ben'tian'ren'mei 本田仁美
'bi'lei'ta 避雷塔
'cai'ying 彩樱
'cao'rou'li 曺柔理
'cui'rui'na 崔叡娜
'gong'xie'xiao'liang 宫脇咲良
'guang'bei 光北
'jiang'hui'yuan 姜惠元
'jiang'jiang 姜酱
'jin'cai'yuan 金彩源
'jin'min'zhou 金珉周
'la'wei'rou'si 辣味肉丝
'li'cai'yan 李彩演
'luo'bo'yao'jing 萝卜妖精
'na'guo 拿锅
'quan'en'fei 权恩妃
'quan'jie 权姐
'quan'nai 权奈
'rou'li 肉粒
'ruan'mei 软妹
'shi'chui'nai'zi 矢吹奈子
'shuang'jin 双金
'tie'xue'nv'bing 铁血女兵
'xiao'cao'mei 小草莓
'xiao'ying'hua 小樱花
'xiao'yuan 小圆
'ye'nai 椰奶
'ye'rou 椰肉
'you'yuan 宥元
'yu'mao 羽毛
'zhang'yuan'ying 张元英
