'a'a'a'wo'wang'ji'le 啊啊啊我忘记了
'a'hong 阿吽
'a'ka'lin 阿卡麟
'a'kong 阿空
'a'lin 阿燐
'a'qiu 阿求
'ai'li 艾丽
'ai'li'si 爱丽丝
'ai'li'si'de'mo'fa'shu 爱丽丝的魔法书
'ai'li'si'ma'ge'te'luo'yi'de 爱丽丝玛格特洛依德
'ai'li'si'meng'you'xian'jing 爱丽丝梦游仙境
'ai'li'si'wei'zhen'tian 爱丽丝威震天
'ai'lian 爱莲
'ai'ta'ni'ti'la'er'wa 爱塔妮缇拉尔瓦
'an'wo'shao'le 庵我烧了
'ao'lian'ji 奥莲姬
'ba'bai'wan'zhi'shen 八百万之神
'ba'ban'shen'nai'zi 八坂神奈子
'ba'fen'xiao 八分咲
'ba'gua'lu 八卦炉
'ba'qiao 八桥
'ba'yi'yong'lin 八意永琳
'ba'yun'lan 八云蓝
'ba'yun'zi 八云紫
'bai'gui'ye'xing 百鬼夜行
'bai'lu'feng'ming 白鹭风茗
'bai'tian'a'qiu 稗田阿求
'bai'wan'gui'ye'xing 百万鬼夜行
'bai'yao'sheng 百药枡
'bai'yu'lou 白玉楼
'ban'bai'ze 半白泽
'ban'tian'he'huan'nai 坂田合欢乃
'bao'bao'ba'shi 宝宝巴士
'bao'tou'dun'fang 抱头蹲防
'bao'zi'xian 包子仙
'ben'ju'xiao'ling 本居小铃
'ben'zi'xian 本子仙
'bi'an 彼岸
'bi'an'gui'hang 彼岸归航
'bi'na'ming'ju'tian'zi 比那名居天子
'bian'bian 弁弁
'bo'li 博丽
'bo'li'da'jie'jie 博丽大结界
'bo'li'jie'jie 博丽结界
'bo'li'ling'meng 博丽灵梦
'bo'li'shen'she 博丽神社
'bo'li'shen'she'li'da'ji 博丽神社例大祭
'bu'dou 布都
'bu'du'du 布嘟嘟
'bu'jia'le'si'te'de'ren'ou'shi 布加勒斯特的人偶师
'bu'ke'si'yi'zhi'guo'de'ai'li'si 不可思议之国的爱丽丝
'bu'ren'shi'de'hai'zi 不认识的孩子
'bu'si'zhi'yan'piao'shang'yue'qiu 不死之烟飘上月球
'bu'xiu'de'man'zhu'sha'hua 不朽的曼珠沙华
'ca'dan 擦弹
'cai'xu'kun 蔡徐坤
'can'ji 残机
'chan'liu'zi 缠流子
'che'che'ren 车车人
'che'wan 车万
'chen'mo'de'shou'ling 沉默的兽灵
'cheng'mei 成美
'chi'man'qi 赤蛮奇
'chong'sheng 重生
'chu'sheng'jie 畜生界
'chu'sheng'men'de'xiu'xi 畜生们的休息
'chuan'you'ling 船幽灵
'chuan'zhang 船长
'chun'hu 纯狐
'chun'ma 纯妈
'chun'qing'huo'po'de'xiao'gu'niang 纯情活泼的小姑娘
'ci'ge'xian 茨歌仙
'ci'mu'hua'shan 茨木华扇
'cong'di'xia'de'gui'huan 从地下的归还
'cui'meng'xiang 萃梦想
'cui'xiang 萃香
'cun'sha'shui'mi 村纱水蜜
'da'e'zi 大蛾子
'da'gen 大根
'da'ha'ma'zhi'chi 大蛤蟆之池
'da'jiang 大酱
'da'jie'jie 大结界
'da'jiu'ling 大鹫灵
'da'li'zi 大狸子
'da'yao'jing 大妖精
'da'yu 大玉
'dan'mu 弹幕
'dan'mu'she'ji 弹幕射击
'dan'mu'xie'tian'gui 弹幕邪天鬼
'dan'mu'zhan 弹幕战
'dao'zhong 道中
'de'dian 得点
'di'di'tong'lu 地底通路
'di'ji 敌机
'di'ling'dian 地灵殿
'di'yu'ya 地狱鸦
'diao'can 掉残
'diao'jie 弔姐
'diao'ping'yao 吊瓶妖
'diao'ye'zong 凋叶棕
'ding'li'tian 丁礼田
'ding'li'tian'wu 丁礼田舞
'dong'fang 东方
'dong'fang'chan'shi'ge 东方蝉时歌
'dong'fang'ci'ge'xian 东方茨歌仙
'dong'fang'cui'meng'xiang 东方萃梦想
'dong'fang'da'pao'dan 东方大炮弹
'dong'fang'da'wang'sheng 东方大往生
'dong'fang'da'zhan'zheng 东方大战争
'dong'fang'di'ling'dian 东方地灵殿
'dong'fang'fei'xiang'tian 东方绯想天
