'ai'zi'zhai 矮子斋
'bai'jia'fei'chang'fen 白家肥肠粉
'bai'mian'guo'kui 白面锅盔
'bo'li'shao'mai 玻璃烧麦
'chen'ma'po'dou'fu 陈麻婆豆腐
'cheng'du'can'ting 成都餐厅
'cheng'du'chao'mian 成都炒面
'cheng'du'dan'dan'mian 成都担担面
'cheng'du'san'hua'mo'li'hua'cha 成都三花茉莉花茶
'cheng'du'you'cha 成都油茶
'chong'zhou'qiao'mian 崇州荞面
'chuan'bei'liang'fen 川北凉粉
'chuan'chuan'xiang 串串香
'chuan'wei'liang'mian 川味凉面
'ci'ba 糍粑
'cui'shao'mian 脆绍面
'dan'hong'gao 蛋烘糕
'deng'ying'niu'rou 灯影牛肉
'dong'gao 冻糕
'dong'zi'kou'zhang'liang'fen 洞子口张凉粉
'dou'fu'lian'zi 豆腐帘子
'dou'hua'mian 豆花面
'dou'tang'fan 豆汤饭
'du'jiang'yan'you'tu'tou 都江堰尤兔头
'er'jie'tu'ding 二姐兔丁
'fei'chang'fen 肥肠粉
'fei'chang'mian 肥肠面
'fu'qi'fei'pian 夫妻肺片
'fu'rong'can'ting 芙蓉餐厅
'gu'yue'hu 古月胡
'gu'yue'hu'san'he'ni 古月胡三合泥
'guai'wei'tu'tou 怪味兔头
'guang'han'chan'si'tu 广汉缠丝兔
'guang'han'jin'si'mian 广汉金丝面
'guo'tang'yuan 郭汤圆
'hai'wei'mian 海味面
'han'bao'zi 韩包子
'hao'zi'dong'zhang'cha'ya 耗子洞樟茶鸭
'he'shui'jiao 贺水饺
'hong'tang'guo'kui 红糖锅盔
'hong'xing'tu'ding 红星兔丁
'hong'you'tu'ding 红油兔丁
'huai'yuan'san'jue 怀远三绝
'hui'min'can'ting 回民餐厅
'hun'tang'guo'kui 混糖锅魁
'ji'si'liang'mian 鸡丝凉面
'ji'za'mian 鸡杂面
'ji'zhi'guo'tie 鸡汁锅贴
'jiao'yan'guo'kui 椒盐锅盔
'jin'cheng'lu'ya 锦城露芽
'jing'cheng'yuan 竟成园
'jun'tun'guo'kui 军屯锅魁
'lai'tang'yuan 赖汤圆
'long'chao'shou 龙抄手
'long'yan'bao'zi 龙眼包子
'lu'rou'guo'kui 卤肉锅盔
'lu'rou'jia'guo'kui 卤肉夹锅魁
'ma'la'tang 麻辣烫
'ma'la'tu'tou 麻辣兔头
'niu'rou'jiao'bing 牛肉焦饼
'nu'li'can 努力餐
'pan'can'shi 盘餐市
'pan'can'shi'lu'rou'jia'guo'kui 盘餐市卤肉夹锅魁
'peng'zhou'jiu'chi'ban'ya 彭州九尺板鸭
'pi'xian'dou'ban 郫县豆瓣
'pu'jiang'mi'hua'tang 蒲江米花糖
'qing'cheng'pao'cai 青城泡菜
'qing'cheng'shan'dong'tian'ru'jiu 青城山洞天乳酒
'qiong'lai'wen'jun'jiu 邛崃文君酒
'rong'le'yuan 荣乐园
'rou'guo'kui 肉锅盔
'san'da'pao 三大炮
'san'he'ni 三合泥
'san'xian'mian 三鲜面
'san'yi'yuan 三義园
'san'yi'yuan'niu'rou'jiao'bing 三義园牛肉焦饼
'shan'zi 闪子
'shang'xin'liang'fen 伤心凉粉
'shi'you'mian 师友面
'shuang'liu'lao'ma'tu'tou 双流老妈兔头
'si'chuan'pao'cai 四川泡菜
'song'sao'mian 宋嫂面
'su'guo'kui 酥锅盔
'su'jiao'za'jiang'mian 素椒杂酱面
'suan'la'dou'hua 酸辣豆花
'suan'la'fen 酸辣粉
'tan'dou'hua 谭豆花
'tang'bing 糖饼
'tang'chang'dou'fu'ru 唐场豆腐乳
'tang'chang'jiang'you 唐昌酱油
'tian'shui'mian 甜水面
'tian'zhu'tang'ji'pian 天主堂鸡片
'tong'jing'xiang'su'mian 铜井巷素面
'wei'zhi'yu 味之臾
'wen'jiang'wan'chun'lu'cai 温江万春卤菜
'wu'xiang'tu'tou 五香兔头
'xi'pu'jiang'you 犀浦酱油
'xi'yuan 熙园
'xiao'long'bao'zi 小笼包子
'xiao'long'zheng'niu'rou 小笼蒸牛肉
'xin'du'gui'hua'gao 新都桂花糕
'xin'du'jiang'tang 新都姜糖
'xuan'zi'guo'kui 旋子锅盔
'yao'hua'xi'can'ting 耀华西餐厅
'ye'er'ba 叶耳粑
'yue'xiang'cun 粤香村
'zhang'cha'ya 樟茶鸭
'zhen'zhu'yuan'zi 珍珠元子
'zheng'zheng'gao 蒸蒸糕
'zhi'de'hao 治德号
'zhi'de'hao'niu'rou 治德号牛肉
'zhi'hu'zi'bao'zi 痔胡子包子
'zhong'shui'jiao 钟水饺
