'ai'bi 艾比
'ai'mi 埃米
'an'li'jie 安莉洁
'an'mei'ma 安没马
'an'mi'xiu 安迷修
'ao'tu'shi'jie 凹凸世界
'ao'tu'wen 凹凸文
'bing'nv 冰女
'chong'zi 虫子
'chun'dei'gen'zhi'jin'yi'yang 蠢得跟只金一样
'chun'sui'de'huai'ren 纯碎的坏人
'dai'mao'a'dai'mao'ni'fa'jiao'hao'gui 呆毛啊呆毛你发胶好贵
'dai'tou'qi'shi 呆头骑士
'e'dang 恶党
'fa'jiao 发胶
'ge'er'rui 嗝儿瑞
'ge'rui 嗝瑞
'ge'rui 格瑞
'ge'rui'a'ge'rui'ni'xiang'ge'lu'hui 格瑞啊格瑞你像个芦荟
'gui'hu 鬼狐
'ha'ha'ha'ha'chui'bao'lei'shi 哈哈哈哈吹爆雷狮
'hai'bu'gou'ge'ne 还不够格呢
'he'le'jia'nai 喝了假奶
'jia'de'luo'si 嘉德罗斯
'jia'jia 嘉嘉
'jia'jiu'sui 嘉九岁
'jiu'she'rui 旧设瑞
'ka'ka 卡卡
'ka'mi'er 卡米尔
'kai'li 凯莉
'kan'lai'wo'zuo'wei'yi'ge 看来我作为一个
'kao'chuan 烤串
'lao'mo 劳模
'lao'shu 老鼠
'lei'an 雷安
'lei'mao'mao 雷猫猫
'lei'mei'chuan 雷没船
'lei'shi 雷狮
'lei'shi'ni'zen'me'zhe'me'shuai'wo'si 雷狮你怎么这么帅我死
'lu'hui 芦荟
'mai'mei 卖煤
'mai'mei'ge 卖煤咯
'mei'ma'qi'shi 没马骑士
'meng'de'zu'ma 蒙德祖玛
'mian'tan'ai'zi 面瘫矮子
'ni'que'bu'xiang'xin'wo 你却不相信我
'ni'xiang'ge'mian'tiao 你像个面条
'ni'xiang'ge'tuo'ba 你像个拖把
'niu'nai 牛奶
'o'he'he'ha'ha'ha'ha'ha'ha 哦呵呵哈哈哈哈哈哈
'pa'luo'si 帕洛斯
'pa'luo'si'a'pa'luo'si 帕洛斯啊帕洛斯
'pei'gou'gou 佩狗狗
'pei'li 佩利
'qi'shi 骑士
'rui'jia 瑞嘉
'su'liao'jie'mei 塑料姐妹
'wo'cheng'xin'cheng'yi'di'pian'ni 我诚心诚意地骗你
'wu'wu'chui'bao'quan'yuan'a 呜呜吹爆全员啊
'xiao'si'ba'da 小斯巴达
'yi'shan'yi'shan'liang'jing'jing 一闪一闪亮晶晶
'yin'jue 银爵
'za'sui 杂碎
'zha'zha 渣渣
'zi'tang'huan 紫堂幻
'zu'ma 祖玛
