'an'mu 暗目
'ba'duan 八段
'ba'gua 八卦
'ba'ji 八级
'bai'pu 摆谱
'bai'shi 败势
'bai'yi 败意
'bai'zhe 败着
'ban'du 扳渡
'ban'duan 扳断
'ban'liu 扳六
'ban'tou 扳头
'ban'xian 半先
'ban'yan 半眼
'bao'chi 抱吃
'bao'shou 包收
'bei'chuo'jiao 背绰角
'bei'dou'qi 北斗七
'ben'sai 本赛
'ben'shen'jie 本身劫
'ben'shou 本手
'ben'zhan 本战
'beng'kui 崩溃
'beng'xing 崩形
'bi'ding 鼻顶
'bian'hua 变化
'bian'zhe 变着
'bing'xing 饼形
'bu'diao 步调
'bu'duan 补断
'bu'ji'sheng 不计胜
'bu'jie 补劫
'bu'jie'cai 补劫材
'bu'ju 布局
'bu'ru 不入
'bu'ru'qi 不入气
'bu'ru'zi 不入子
'bu'wan'zheng'ban'liu 不完整板六
'bu'zhan'sheng 不战胜
'cai'xian 猜先
'cai'zi'fa 猜子法
'can'bai 惨败
'can'ju 残局
'can'kao'tu 参考图
'can'zi 残子
'chai'er 拆二
'chai'er'dan'guan 拆二单关
'chai'er'li'san 拆二立三
'chai'er'xie'fei 拆二斜飞
'chai'qi 拆棋
'chai'san 拆三
'chai'san'li'si 拆三立四
'chan'rao'gong'ji 缠绕攻击
'chan'rao'zhan'shu 缠绕战术
'chang'he 场合
'chang'he'ding'shi 场合定式
'chang'kao 长考
'chang'qi 长气
'chang'qi'da'gua 长期打挂
'chang'sheng 长生
'chang'sheng'jie 长生劫
'chang'xian 常先
'chang'xing 常型
'chao'shi'fu 超时负
'chen'fang'qi'ju 陈方七局
'cheng'tuo 秤砣
'chong'duan 冲断
'chong'fu 重复
'chou'qi 臭棋
'chu'duan 初段
'chu'mu 出目
'chu'pan 初盘
'chu'qi'wu'jie 初棋无劫
'chuan'xiang'yan 穿象眼
'ci'shi'qi'zi 磁石棋子
'ci'xu 次序
'cuo'xiao'mu'bu'ju 错小目布局
'cuo'zhe 错着
'da'chai 大拆
'da'chang 大场
'da'chi 打吃
'da'er'hai'yi 打二还一
'da'fei 大飞
'da'fei'di'jiao 大飞缔角
'da'fei'gua'jiao 大飞挂角
'da'fen 大分
'da'gua 打挂
'da'guan 大关
'da'jiang 打将
'da'jie 打劫
'da'jie'huo 打劫活
'da'jie'sha 打劫杀
'da'ju'gan 大局感
'da'ju'guan 大局观
'da'long 大龙
'da'mu'wai 大目外
'da'mu'yang 大模样
'da'pan 大盘
'da'pu 打谱
'da'qi 大棋
'da'ru 打入
'da'tiao 大跳
'da'tou'gui 大头鬼
'da'xie 大斜
'da'xie'fei 大斜飞
'da'xue'beng 大雪崩
'da'yan 大眼
'da'zhe 大着
'dai'xiang 带响
'dan'guan 单关
'dan'guan 单官
'dan'jie 单劫
'dan'jie 单接
'dao'ba'wu 刀把五
'dao'ban'wu 刀板五
'dao'pu 倒扑
'dao'tuo'xue 倒脱靴
'dao'wu 刀五
'deng'ai'kai'shu'shi 邓艾开蜀势
'di'chai 低拆
'di'duan 低段
'di'gua 低挂
'di'shou 低手
'di'shou 敌手
'di'wei 低位
'di'yi'gan 第一感
'di'zhi'yao'dian'ji'wo'zhi'yao'dian 敌之要点即我之要点
'dian'fang 点方
'dian'jiao 点角
'dian'kong 点空
'dian'mu 点目
'dian'sha 点杀
'dian'yan 点眼
'ding'duan 顶断
'ding'shi 定式
'ding'si 钉四
'ding'si 丁四
'ding'xian 定先
'ding'xing 定型
'dou'fang 斗方
'dou'li 斗力
'dou'li'xing 斗笠形
'du'guo 渡过
'duan'dian 断点
'duan'diao 断掉
'duan'ru 断入
'dui'jiao'xing'bu'ju 对角型布局
'dui'ju 对局
'dui'ju'pu 对局谱
'dui'sha 对杀
'dui'shou 对手
'dui'yi 对弈
'dui'zi'qi 对子棋
'duo'yuan'jie 多元劫
'e'shou 恶手
'er'duan 二段
'er'ji 二级
'er'jian'gao'jia 二间高夹
'er'lian'xing 二连星
'er'lu 二路
'er'shou 二手
'er'shou'jie 二手劫
'er'wu'qin'fen 二五侵分
'er'yi'lu'shang'duo'miao'zhao 二一路上多妙着
'er'zi'tou'bi'ban 二子头必扳
'fan'ban 反扳
'fan'chi 反吃
'fan'da 反打
'fan'jia 反夹
'fan'ti 反提
'fan'zheng 反征
'fang'si 方四
'fang'wei 方位
'fang'xiang 方向
'fang'yuan 方圆
'fei'bu 飞补
'fei'feng 飞封
'fei'gong 飞攻
'fei'jia 飞枷
'fei'qi 废棋
'fei'ya 飞压
'fei'zhao 飞罩
'fei'zhe 废着
'fei'zhen 飞镇
'fei'zi 废子
'fen'duan 分断
'fen'tou 分投
'fen'xian 分先
'feng'duan 封断
'feng'shou 封手
'fu'ju 复局
'fu'pan 复盘
'gan'jue 感觉
'gao'gua 高挂
'gao'shou 高手
'gao'wei 高位
'ge'duan 割断
'ge'er'guan 隔二关
'ge'ren'bi'sai 个人比赛
'gong'bi 攻逼
'gong'huo 公活
'gong'huo 共活
'gong'ji 攻击
