'a'mao 阿毛
'ba'bu'luo'fu 巴布洛夫
'cao'li 曹力
'chen'guan'ning 陈冠宁
'chen'jia'ying 陈佳影
'chen'min'zheng 陈敏正
'chen'ming'zhang 陈明章
'chen'shi'xiong'di 陈氏兄弟
'chen'shu 陈数
'da'dang'jia 大当家
'di'xia'dang'zhan'shi 地下党战士
'ding'zi 钉子
'dou'fu'ren 窦夫人
'dou'shi'xiao 窦仕骁
'er'dang'jia 二当家
'fan'cha'meng 反差萌
'feng'xian'sheng 冯先生
'gao'xiao'ban'lu'lin'hao'han 搞笑版绿林好汉
'guo'qiu'cheng 郭秋成
'hei'xia'zi'ling 黑瞎子岭
'jin'rong'gu'wen 金融顾问
'kong'wei 孔维
'lang'man'nv'zuo'jia 浪漫女作家
'lei'jia'yin 雷佳音
'li'guang'jie 李光洁
'liu'jin'hua 刘金花
'liu'min 刘敏
'lu'dai'ling 陆黛玲
'lu'lin'jie 绿林界
'ma'can'can 马灿灿
'mei'guo'jian'die 美国间谍
'min'jian'ai'guo'zhi'shi 民间爱国志士
'nan'tie'qing'bao'ji'gou 南铁情报机构
'nan'tie'zhu'shi'hui'she 南铁株式会社
'nao'li'nv 脑力女
'nei'er'na 内尔纳
'qi'zhi'ruo'yao 奇智若妖
'qiao'zhi'bai 乔治白
'quan'cai'gao'shou 全才高手
'ri'ben'gao'ji'jun'guan 日本高级军官
'ri'jun'bian'yi'dui 日军便衣队
'ri'xia'bu 日下步
'rui'en 瑞恩
'san'liu'xiao'ming'xing 三流小明星
'shi'yuan'dui'zhang 石原队长
'su'lian'dai'biao 苏联代表
'tang'ling 唐凌
'tao'hui 陶慧
'tie'xue'jing'zhang 铁血警长
'tu'fei'quan'tao'ji'neng 土匪全套技能
'tu'te'chan'fu'fu 土特产夫妇
'wa'lian'di'na 瓦莲蒂娜
'wang'da'ding 王大顶
'wang'lie 王烈
'wang'yue'xi 王玥兮
'wen'jing'xuan 文景轩
'xian'bing'dui'chang'da'zuo'jun'xian 宪兵队长大佐军衔
'xiang'jiu'jiang'jun 香鸠将军
'xin'you'ke'zhang 新佑课长
'xing'wei'hen'ji'fen'xi'zhuan'jia 行为痕迹分析专家
'yan'jun'xi 阎俊希
'yao'hong 姚苰
'yao'nv'shi 姚女士
'ye'jian 野间
'ye'jian'ping'er 野间平二
'zhang'fan 张帆
'zhang'yan 张岩
'zheng'zhi'xian'jin 政治献金
'zhong'gong'di'xia'dang'yuan 中共地下党员
'zuo'teng 佐藤
