'a'yu 阿煜
'ai'er'fa'jin 爱尔法金
'ai'ke'li'li 艾克里里
'ai'li'zha'ti 艾力扎提
'bai'ding 白丁
'bai'lu 白陆
'bao'han 包涵
'cai'fei'yang 蔡飞扬
'cao'yu 草鱼
'cao'yu'xue 曹宇雪
'cao'zi'jun 曹子俊
'chang'hua'sen 常华森
'chen'ding'ding 陈鼎鼎
'chen'jian'yu 陈建宇
'chen'jin'xin 陈金鑫
'chen'jun'hao 陈俊豪
'chen'jun'yu 陈俊宇
'chen'xuan'xiao 陈泫孝
'chen'yu'geng 陈誉庚
'chen'zi'long 陈子龙
'cui'yun'feng 崔云峰
'deng'xiao'ci 邓孝慈
'deng'ze'ming 邓泽鸣
'du'tian'yu 杜天宇
'duan'xing'xing 段星星
'fang'zheng 方政
'feng'chen'si'nan 冯陈思楠
'fu'xue'yan 付雪岩
'gao'yi'bai 高一百
'gong'yi'xing 龚毅星
'han'jing'de 韩竞德
'han'rui'ze 韩瑞泽
'he'de'rui 何德瑞
'hu'xuan'hao 胡轩豪
'huang'he 黄河
'huang'hong'ming 黄泓铭
'huang'jian'xi 黄鉴曦
'jiang'jing'zuo 姜京佐
'jiang'zhi'hao 蒋智豪
'ka'si 卡斯
'ke'er 柯尔
'ke'er'li'jun 苛尔力钧
'kong'xiang'chi 孔祥池
'li'hao'lin 李昊霖
'li'jun'hao 李俊濠
'li'ming'xu 黎明旭
'li'qin 李钦
'li'shuo 李硕
'li'tian'qi 李天琪
'li'tian'yi 李添翼
'li'yuan 李远
'li'zi'chen 李子晨
'lian'huai'wei 连淮伟
'liang'hong'li 梁弘立
'liang'sen 梁森
'lin'yi'ming 麟壹铭
'liu'feng'lei 刘峰磊
'liu'guan'you 刘冠佑
'liu'juan 刘隽
'liu'jun'hao 刘俊昊
'liu'qi 刘琦
'liu'xin 刘欣
'luo'yi'zhou 罗一舟
'ma'si'han 马思涵
'mu'sen 木森
'niu'zai'zai 牛在在
'qi'ha 七哈
'qiao'ben'yu'tai 桥本裕太
'qiu'dan'feng 邱丹枫
'shi'an 时安
'shi'qi 十七
'shi'qi'jun 十七君
'shi'shang 时尚
'sun'yi'hang 孙亦航
'sun'ying'hao 孙滢皓
'tang'jia'qi 唐嘉齐
'tang'jiu'zhou 唐九洲
'wan'yu'chen 万禹辰
'wang'hao'xuan 王浩轩
'wang'jia'chen 汪佳辰
'wang'lin'kai 王琳凯
'wang'nan'jun 王南钧
'wang'zi'ao 王梓澳
'wei'hong'yu 魏宏宇
'wei'xing'cheng 魏星丞
'wu'yue 武悦
'xiao'he 小河
'xiong'yi'wen 熊艺文
'xu'bin 徐滨
'xu'xin'chi 徐新驰
'xu'zhuo'lun 许卓伦
'xu'zi'wei 徐子未
'xuan'hao 宣淏
'yan'xi 彦希
'yang'bo'ni 杨泊尼
'yang'hao'jun 杨皓钧
'yang'hao'ming 杨昊铭
'yang'tao 杨淘
'yang'yang'yang 杨阳洋
'yang'yue'han 杨约翰
'yang'zhi'xiang 杨智翔
'yi'xuan 亿轩
'ying'chen'xi 应晨熙
'yu'jing'tian 余景天
'yu'yan'long 余衍隆
'zhan'zhan 湛展
'zhang'jing'yun 张景昀
'zhang'shuai'bo 张帅博
'zhang'si'yuan 张思源
'zhao'jin'yao 赵瑾尧
'zhao'ming'xuan 赵明轩
'zhe'ye 哲野
'zheng'xing'yuan 郑星源
'zhong'fu'lin 钟福林
'zhong'jun'yi 钟骏一
'zhong'zhuo'rong 钟卓融
'zhou'jun'yu 周峻宇
'zhou'zi'jie 周子杰
'zi'yu 梓渝
