'ai'yue 哀乐
'bai'qiao 白桥
'bing'bao'cai'xiang 冰雹猜想
'chen'ai'de'zun'yan 尘埃的尊严
'chen'hai 陈海
'chen'hong'yu 陈虹羽
'chen'meng 陈梦
'chi'huo 吃祸
'du'ming 杜明
'fa'mu 伐木
'gu'nan 顾南
'jiang'bei 江北
'jiang'cheng'zi 江城子
'li'shen'qiang 李申强
'li'you'bai 李右白
'lin'nan 林南
'liu'yue'han 刘月晗
'lu'xi 陆曦
'lu'yi'feng 陆一峰
'po'sui'pin'tu 破碎拼图
'pu'rong 蒲蓉
'shen'xi'yao 沈希瑶
'shen'xue 沈雪
'shi'zong'de'du'ming 失踪的杜明
'song'an'tian 宋安恬
'su'mu'zhe 苏幕遮
'su'mu'zhe'yu'jiang'cheng'zi 苏幕遮与江城子
'su'xiu 速朽
'wang'jun'jie 王俊杰
'wei'ge 威哥
'wo'men'de'tian'ye 我们的田野
'xiao'yuan'meng'shou 校园猛兽
'xiao'zhu 小竹
'xu'yun 许云
'yang'guang'ming 杨光明
'yang'ke 杨可
'zhang'fan 张凡
'zhang'you'jun 张佑君
'zhao'wen 赵文
'zheng'xing'guo 郑兴国
'zhou'zhe'hao 周哲皓
'zuo'lun'qiang 左轮枪
