'an'xi 安息
'chan'yu 单于
'chang'hui 常惠
'chang'luo'hou 长罗侯
'che'shi 车师
'cheng'zhang 城障
'da'wan 大宛
'da'xia 大夏
'da'yue'shi 大月氏
'dai'jun 代郡
'feng'sui 烽燧
'fu'jian 苻坚
'gu'zang 姑臧
'guan'jun'hou 冠军侯
'han'shi'lang 汉侍郎
'he'cang'cheng 河仓城
'he'xi'han'sai 河西汉塞
'hun'ye'wang 浑耶王
'huo'qu'bing 霍去病
'ju'yan'ze 居延泽
'jun'xu'mi 军须靡
'lai'dan 赖丹
'lei'tai'han'mu 雷台汉墓
'li'jian 骊靬
'lie'jiao'mi 猎骄靡
'lin'song'xie'gu 临松薤谷
'liu'che 刘彻
'lu'hu'wang 卢胡王
'ma'ta'fei'yan 马踏飞燕
'piao'yao'xiao'wei 嫖姚校尉
'ping'yang'gong'zhu 平阳公主
'qi'bing 骑兵
'qiang'ren 羌人
'qiu'ci'wang 龟兹王
'shang'gui 上邽
'shen'du 身毒
'shu'le'he 疏勒河
'tong'qu'yao'dao 通衢要道
'tun'ken 屯垦
'tun'ken'shu'bian 屯垦戍边
'wei'jin'mu 魏晋墓
'wei'qing 卫青
'wei'shao'er 卫少儿
'weng'gui'mi 翁归靡
'wu'lei'cheng 乌垒城
'wu'qiao'ling 乌鞘岭
'wu'sun 乌孙
'wu'wei'shi 武威市
'wu'yuan 坞院
'xi'jun'gong'zhu 细君公主
'xi'rong 西戎
'xiu'tu'wang 休屠王
'xuan'quan 悬泉
'xuan'quan'yi 悬泉驿
'xuan'quan'zhi 悬泉置
'yan'men 雁门
'yan'zhi'shan 焉支山
'you'xian'wang 右贤王
'yu'lin'ying 羽林营
'yu'mi 扜弥
'yu'tian 于阗
'yuan'gui'mi 元贵靡
'yue'zhi 月氏
'zhe'lan'wang 折兰王
'zheng'ji 郑吉
'zhi'se'fu 置啬夫
