'a'kong 阿空
'a'lin 阿磷
'ai'li 艾丽
'ai'li'si 爱丽丝
'ai'li'si'ma'ge'te'luo'yi'de 爱丽丝玛格特罗伊德
'ai'li'si'wei'zhen'tian 爱丽丝威震天
'ai'lian 爱莲
'ai'lin 艾琳
'an'hei'neng'le'ji'xin'qi'lou 暗黑能乐集心绮楼
'an'na'bei'la'er 安娜贝拉尔
'ao'lian'ji 奥莲姬
'ba'bai'wan'zhi'shen 八百万之神
'ba'ban'shen'nai'zi 八坂神奈子
'ba'ban'zhi'shen'feng 八坂之神风
'ba'fang'gui'fu'zhen 八方鬼缚阵
'ba'fang'long'sha'zhen 八方龙杀阵
'ba'gua'lu 八卦炉
'ba'qiao 八桥
'ba'wa'lu'mo'fa'tu'shu'guan 巴瓦鲁魔法图书馆
'ba'yi 八亿
'ba'yi'yong'lin 八意永琳
'ba'yun'lan 八云蓝
'ba'yun'zi 八云紫
'ba'zhi 八咫
'ba'zhi'wu 八咫乌
'bai'li'li 白莉莉
'bai'lou'jian 白楼剑
'bai'qiang'wei 白蔷薇
'bai'tian'a'qiu 稗田阿求
'bai'wan'gui'ye'xing 百万鬼夜行
'bai'yu'lou 白玉楼
'bai'zhou'xin'xing 白昼新星
'ban'ling 半灵
'bao'fu 爆符
'bei'bai'he 北白河
'bei'bai'he'qian'bai'he 北白河千百合
'bei'yun 悲运
'ben'ju'xiao'ling 本居小铃
'ben'wo'de'jie'fang 本我的解放
'bi'an 彼岸
'bi'an'gui'hang 彼岸归航
'bi'chi'se'geng'hong'de'meng 比赤色更红的梦
'bi'hong'geng'xu'huan'de'yong'yuan 比红更虚幻的永远
'bi'na'ming'ju'tian'zi 比那名居天子
'bi'shi'guang'yun 彼世光晕
'bian'bian 弁弁
'bing'zhi'yao'guai 冰之妖怪
'bo'li 博丽
'bo'li'da'jie'jie 博丽大结界
'bo'li'jie'jie 博丽结界
'bo'li'ling'meng 博丽灵梦
'bo'li'shen'she 博丽神社
'bo'li'shen'she'li'da'ji 博丽神社例大祭
'bu'dou 布都
'bu'he'shi'ling'de'die'yu 不合时令的蝶雨
'bu'ke'si'yi'zhi'guo 不可思议之国
'bu'ke'si'yi'zhi'guo'de'ai'li'si 不可思议之国的爱丽丝
'bu'si'niao'fu'ti 不死鸟附体
'bu'xiu'de'dan'mu 不朽的弹幕
'ca'dan 擦弹
'can'ji 残机
'cha'na'ya'kong'xue 刹那亚空穴
'chao'cang'li'xiang'zi 朝仓理香子
'chao'yao'guai'dan'tou 超妖怪弹头
'che'wan 车万
'chen'jing'de'yue'shen 沉静的月神
'chi'man'qi 赤蛮奇
'chong'fu 崇符
'chong'gui'xu'wu 重归虚无
'chong'ji'meng'yan 冲积梦魇
'chong'ling'qi 冲灵气
'chou'shi'can'bai 丑时参拜
'chu'ling 除灵
'chuan'tong'de'huan'xiang'shu'wu 传统的幻想书屋
'chuan'you'ling 船幽灵
'chuang'fu 创符
'chun'feng'zhi'meng 春风之梦
'chun'hu 纯狐
'chun'se'xiao'jing 春色小径
'chun'zhi'jing'du'ren'xing 春之京都人形
'ci'fu 疵符
'ci'ge'xian 茨歌仙
'ci'hua'xian 茨华仙
'ci'mu'hua'shan 茨木华扇
'cou'fu 凑符
'cui'ji 萃集
'cui'meng'xiang 萃梦想
'cui'xiang 萃香
'cun'sha'shui'mi 村纱水蜜
'da'ge'long'yu'xiao'ge'long 大葛笼与小葛笼
'da'guo'zhu 大国主
'da'ha'ma'zhi'chi 大蛤蟆之池
'da'he'huan'mian 大和环面
'da'huo'jin'ri'shen 大祸津日神
'da'jiang 大酱
'da'jiang'shan'gua 大江山颪
'da'jiang'shan'lan 大江山岚
'da'jie'jie 大结界
'da'kong'mo'shu 大空魔术
'da'tu'shu'guan 大图书馆
'da'yao'jing 大妖精
'dai'xiao 待宵
'dai'xiao'fan'she'wei'xing'zhan 待宵反射卫星斩
'dan'mu 弹幕
'dan'mu'de'mo'ji'ce'yan 弹幕的墨迹测验
'dan'mu'jie'jie 弹幕结界
'dan'mu'pian'zhi'zheng 弹幕偏执症
'dan'mu'qi'mei'la 弹幕奇美拉
'dan'mu'she'ying 弹幕摄影
'dan'mu'tian'xie'gui 弹幕天邪鬼
'dan'mu'zhan 弹幕战
'dao'cao'ren'ou'shen'feng'gan'si'dui 稻草人偶神风敢死队
'dao'zhong 道中
'de'dian 得点
'di'di'qiang'wei 地底蔷薇
'di'di'tai'yang 地底太阳
'di'di'tong'lu 地底通路
'di'ling'dian 地灵殿
'di'yu'ya 地狱鸦
'diao'can 掉残
