'a'du'li'yu'fo'shen'tong 阿闍梨与佛身同
'ai'he'jie'chu'sheng'bo'lan 爱河竭处生波澜
'ai'mu'wu'gao'shu 碍目无高树
'ai'qin'lian'jun'yi'he'ru 爱禽怜骏意何如
'ai'shi'shen'you'you 爱石甚悠悠
'ai'xi'ma'yi'hao'yan'se 爱惜麻衣好颜色
'an'bai'xiao'chuang'qiu 案白小窗秋
'an'cao'duan'chang'bian'guo'ke 岸草短长边过客
'an'dan'deng'guang'zhao'er'mao 暗淡灯光照二毛
'an'de'dong'nan'feng 安得东南风
'an'de'liang'gong'miao'tu'huo 安得良工妙图雘
'an'di'cu'ku'sheng 岸荻簇枯声
'an'dian'jing'qi'di'zi'fang 闇点旌旗敌子房
'an'gong'yan'zuo'zong 安公宴坐踪
'an'mai'bang'ying'run'mu'dan 闇脉傍应润牡丹
'an'pai'de'zhu'nan'yi'dong 安排得主难移动
'an'rao'chun'can'shu 岸绕春残树
'an'ren'man'qi'bei 安仁谩起悲
'an'wei'cong'ming'ye'bo'deng 岸苇丛明夜泊灯
'an'xian'si'jiu'xi 安闲似旧溪
'an'yin'lv'wu'chun'yu'xi 岸引绿芜春雨细
'an'yuan'cao'qing'qing 岸远草青青
'an'zhong'qian'hui'ping'ren'gu 暗中潜毁平人骨
'ao'wu'wei'bian'hang 傲兀苇边行
'ba'ge'xiang'gu'zi'xiao'sheng 巴歌相顾自销声
'ba'hang'shu'zha'jun'xiu'wen 八行书札君休问
'ba'jian'rao'can'zun 拔剑绕残樽
'ba'jiang'zhang 巴江涨
'ba'juan'si'gao'xing 把卷思高兴
'ba'long'tou'jiao'rang'shui'xian 八龙头角让谁先
'ba'qu'ming'sheng'lan'cong'zhi 罢趋明圣懒从知
'ba'shi'shang'qing'an 八十尚轻安
'ba'xing'chong'die'wei'han'hui 八行重叠慰寒灰
'ba'yi'chang'song'kan'luo'chuan 把倚长松看洛川
'ba'yuan'yin'duan'yue'chan'juan 巴猿吟断月婵娟
'ba'yue'dong'lin'qu 八月东林去
'ba'yue'jiang'xing'hao 八月江行好
'ba'yue'tian'wei'xing'su'sha 八月天威行肃杀
'bai'bi'shang'ti'shi 白壁上题诗
'bai'bing'jian'shuai'xiu 百病煎衰朽
'bai'cao'rang'wei'ling 百草让为灵
'bai'chi'dian'fen'sui'sang'luan 百尺典坟随丧乱
'bai'chong'sheng'li'zuo 百虫声里坐
'bai'chui'feng'ti'ji'huo'qian 白硾封题寄火前
'bai'dao'yi'yan'leng 白道倚岩棱
'bai'fa'bai'zhong 百发百中
'bai'fa'jiu'yong'zan 白发久慵簪
'bai'fa'lao'seng'ting 白发老僧听
'bai'fa'tian'xin'sui 白发添新岁
'bai'fa'ying'wu'ye 白发应无也
'bai'fu'du'xun'lai 白傅独寻来
'bai'han'ci'shi'liu'zhen'dian 白汗此时流枕簟
'bai'lang'qian'wan'li 白浪千万里
'bai'lang'zi'cheng'dui 白浪自成堆
'bai'le'tian'zhen'zai'ye'me 白乐天真在也么
'bai'lian'bai'cui'shi'ti'chu 百炼百淬始提出
'bai'lian'biao'ta'di'en'shen 白莲标塔帝恩深
'bai'lian'nan'wen'jiu'xiu'xin 白莲难问久修心
'bai'lian'ta'xiang'qing'quan'suo 白莲塔向清泉锁
'bai'lian'xiang'san'zhao'hen'gan 白莲香散沼痕干
'bai'lian'zhai'hou'bian'lai'xi 白莲斋后便来西
'bai'lu'lao'bi'he 白鹿老碧壑
'bai'nian'shuai'xiu'gu 百年衰朽骨
'bai'niao'bei'fei'lai 白鸟背飞来
'bai'ou'hong'he'man'sha'tan 白鸥鸿鹤满沙滩
'bai'ou'hua'qian'jiu'ying'tang 白藕花前旧影堂
'bai'pian'xiang'ai'ji'nan'jing 百篇相爱寄南荆
'bai'ping'hong'liao'bi'jiang'ya 白萍红蓼碧江涯
'bai'qian'juan'shu'yin'ying 百千眷属阴影
'bai'qian'nian'hou'qing 百千年后清
'bai'qian'zhu'fo'zhen'mi'yao 百千诸佛真秘要
'bai'ri'bu'fang'fu'han'zuo 白日不妨扶汉祚
'bai'ri'dang'wu'fang'sheng'kai 白日当午方盛开
'bai'ri'duan'ren'guo 白日断人过
'bai'ri'hai'ru'ci 白日还如此
'bai'ri'niao'ying'guo 白日鸟影过
'bai'ri'shen'chang'yi 白日身长倚
'bai'ri'you'huang'hun 白日又黄昏
'bai'ri'you'yu'xian'song'ke 白日有馀闲送客
'bai'ri'zhuan'shen'zhou 白日转神州
'bai'shan'chu'tuo'jiu'shen'xian 白衫初脱旧神仙
'bai'shi'cong'cong'jian'zi'wei 白石丛丛间紫薇
'bai'shi'lu'chong'chong 白石路重重
'bai'shi'shan'qian'wan'zhang'kong 白石山前万丈空
'bai'shi'tong'shui'zuo 白石同谁坐
'bai'shou'cong'yan'xiang 白首从颜巷
'bai'shou'lai'jiang'guo 白首来江国
'bai'shou'xiang'qiu'feng 白首向秋风
'bai'shou'xiao'tiao'ju'han'pu 白首萧条居汉浦
'bai'shou'yao'nan'gui 白首要难归
'bai'sui'chan'shi'shuo 百岁禅师说
'bai'sui'cui'ren'lao 百岁催人老
'bai'sui'qu'san'fen 百岁去三分
'bai'sui'wu'nai'yao 白虽无耐药
'bai'you'san'jiang'shui 白有三江水
'bai'yuan'zhen'xue'se 白猿真雪色
'bai'yun'chong'die'qi'cang'wu 白云重叠起苍梧
'bai'yun'hong'ye'you'xin'qiu 白云红叶又新秋
'bai'yun'wu'ji'mo'zhui'xun 白云无迹莫追寻
'bai'yun'wu'xian'xiang'song'feng 白云无限向嵩峰
'bai'yun'xiang'dai'gui 白云相待归
'bai'yun'zhong'xu'zai 白云终许在
'bai'zhou'bu'chu'ye'bu'shui 白昼不出夜不睡
'bai'zhou'lao'xing'ye'duan'hun 白昼劳形夜断魂
'bai'zhou'ming'xin'zuo'lan'bi 白昼冥心坐岚壁
