'an'gen'zi 暗根子
'an'gui'xing'qi 按规行棋
'an'shi'bo'zhong 按时拨钟
'an'shi'jia'zhong 按时加钟
'an'zhuo 暗捉
'ba'huang'ma 拔簧马
'ba'jiao'ma 八角马
'ba'ping 八平
'ba'zu 八卒
'bai'ju'xiang'qi'pu 百局象棋谱
'bai'lian'jiang 白脸将
'bai'ma'wo'cao 白马卧槽
'bai'shi 败势
'bai'zhong'pao 摆中炮
'bai'zhuan'yi'xiang 白赚一象
'ban'tu'lie'pao 半途列炮
'ban'tu'shun'pao 半途顺炮
'bao'chao'ru'qin 包抄入侵
'bao'quan'jing'bing 保全精兵
'bei'dou'qi'yuan'xuan'cui 北斗棋苑选粹
'bei'jing'xuan'shou 北京选手
'bei'shi'jiang 背士将
'ben'lun'kai'shi'qian 本轮开始前
'bi'hei 逼黑
'bi'jin'hong'fang'shuai'fu 逼进红方帅府
'bi'shi 逼仕
'bi'shi 避仕
'bi'xu'bian'zhe 必须变着
'bian'er 变二
'bian'li 变例
'bian'ma 边马
'bian'ma'dui'hai'zhong'pao 边马对还中炮
'bian'zu 边卒
'bie'ma'tui 蹩马腿
'bing'ba 兵八
'bing'ba'jin'yi 兵八进一
'bing'ba'ping'jiu 兵八平九
'bing'ba'ping'qi 兵八平七
'bing'er 兵二
'bing'er'jin'yi 兵二进一
'bing'er'ping'san 兵二平三
'bing'er'ping'si 兵二平四
'bing'er'ping'yi 兵二平一
'bing'jiu 兵九
'bing'jiu'jin'yi 兵九进一
'bing'jiu'jin'yi'zu 兵九进一卒
'bing'jiu'ping'ba 兵九平八
'bing'ka'lei 并卡肋
'bing'liu 兵六
'bing'liu'jin'yi 兵六进一
'bing'liu'ping'qi 兵六平七
'bing'liu'ping'wu 兵六平五
'bing'po 兵破
'bing'qi 兵七
'bing'qi'jin'yi 兵七进一
'bing'qi'ping'ba 兵七平八
'bing'qi'ping'liu 兵七平六
'bing'san 兵三
'bing'san'jin'yi 兵三进一
'bing'san'ping'er 兵三平二
'bing'san'ping'si 兵三平四
'bing'san'ping'wu 兵三平五
'bing'si 兵四
'bing'si'jin'yi 兵四进一
'bing'si'jin'yi'shi 兵四进一士
'bing'si'ping'san 兵四平三
'bing'si'ping'wu 兵四平五
'bing'wu 兵五
'bing'wu'jin'yi 兵五进一
'bing'wu'jin'yi'pao 兵五进一炮
'bing'wu'ping'liu 兵五平六
'bing'wu'ping'si 兵五平四
'bing'xing'xian 兵行线
'bing'yi 兵一
'bing'yi'jin'yi 兵一进一
'bing'yi'jin'yi'ma 兵一进一马
'bing'yi'ping'er 兵一平二
'bing'zai'xia'yi'zhao 并在下一着
'bing'zhi'wei 兵之危
'bu'bian'zuo'fu 不变作负
'bu'bian'zuo'he 不变作和
'bu'chi'zi 不吃子
'bu'ju'pian'zhe'yu'dui'ce 布局骗着与对策
'bu'xian'bu'shu 不限步数
'bu'zhun'zai'tong'yi'zhi'xian'shang 不准在同一直线上
'cai'diao'hong'ma 踩掉红马
'cai'hei'bian'zu 踩黑边卒
'cai'pan'yuan'ye 裁判员也
'cai'shuang 踩双
'can'ju'xing'shi 残局形势
'can'qi'ji'yi 残棋技艺
'can'qi'pao'gui'jia 残棋炮归家
'can'qi'sheng'shou 残棋圣手
'cao'yan'lei 曹岩磊
'ce'mian'hu 侧面虎
'chan'jiao'ma 缠角马
'chang'bing'qi 长兵器
'chang'da 长打
'chang'gen 长跟
'chang'jiang 长将
'chang'lan 长拦
'chang'sha 长杀
'chang'xian 长献
'chang'zhuo 长捉
'che'ba'jin 车八进
'che'ba'jin'ba 车八进八
'che'ba'jin'er 车八进二
'che'ba'jin'jiu 车八进九
'che'ba'jin'liu 车八进六
'che'ba'jin'qi 车八进七
'che'ba'jin'san 车八进三
'che'ba'jin'si 车八进四
'che'ba'jin'wu 车八进五
'che'ba'jin'yi 车八进一
'che'ba'ping 车八平
'che'ba'ping'er 车八平二
'che'ba'ping'jiu 车八平九
'che'ba'ping'liu 车八平六
'che'ba'ping'qi 车八平七
'che'ba'ping'san 车八平三
'che'ba'ping'si 车八平四
'che'ba'ping'wu 车八平五
'che'ba'ping'yi 车八平一
'che'ba'tui 车八退
'che'ba'tui'ba 车八退八
'che'ba'tui'er 车八退二
'che'ba'tui'jiu 车八退九
'che'ba'tui'liu 车八退六
'che'ba'tui'qi 车八退七
'che'ba'tui'san 车八退三
'che'ba'tui'si 车八退四
'che'ba'tui'wu 车八退五
'che'ba'tui'yi 车八退一
'che'er'jin 车二进
'che'er'jin'ba 车二进八
'che'er'jin'er 车二进二
'che'er'jin'jiu 车二进九
'che'er'jin'liu 车二进六
'che'er'jin'qi 车二进七
'che'er'jin'san 车二进三
'che'er'jin'si 车二进四
'che'er'jin'wu 车二进五
'che'er'jin'yi 车二进一
'che'er'ping 车二平
