'an'er'ning'ke'li 安儿宁颗粒
'an'shen'wan 安神丸
'ba'wei'chen'xiang'wan 八味沉香丸
'ba'wei'xi'hong'hua'zhi'xue'san 八味西红花止血散
'ba'wei'xiao'bo'pi'jiao'nang 八味小檗皮胶囊
'ba'wei'zhang'ya'cai'wan 八味獐牙菜丸
'cang'jiang'zhi'jiao'nang 藏降脂胶囊
'da'si'ma'bao'wan 达斯玛宝丸
'da'yue'jing'wan 大月晶丸
'er'shi'jiu'wei'neng'xiao'san 二十九味能消散
'er'shi'liu'wei'tong'jing'san 二十六味通经散
'er'shi'wei'chen'xiang'wan 二十味沉香丸
'er'shi'wu'wei'da'tang'wan 二十五味大汤丸
'er'shi'wu'wei'er'cha'wan 二十五味儿茶丸
'er'shi'wu'wei'fei'bing'jiao'nang 二十五味肺病胶囊
'er'shi'wu'wei'fei'bing'wan 二十五味肺病丸
'er'shi'wu'wei'gui'jiu'wan 二十五味鬼臼丸
'er'shi'wu'wei'lv'xue'wan 二十五味驴血丸
'er'shi'wu'wei'shan'hu'wan 二十五味珊瑚丸
'er'shi'wu'wei'song'shi'wan 二十五味松石丸
'er'shi'wu'wei'zhen'zhu'wan 二十五味珍珠丸
'er'shi'wu'wei'zhu'huang'san 二十五味竺黄散
'feng'shi'sai'long'jiao'nang 风湿塞隆胶囊
'fu'fang'shou'can'wan 复方手参丸
'fu'fang'suan'teng'xiao'zhi'jiao'nang 复方酸藤消痔胶囊
'fu'fang'teng'guo'zhi'chuang'shuan 复方藤果痔疮栓
'gou'qi'xiao'ke'jiao'nang 枸杞消渴胶囊
'gu'ben'ming'mu'ke'li 固本明目颗粒
'hong'long'zhen'tong'pian 红龙镇痛片
'hui'sheng'gan'lu'wan 回生甘露丸
'jiang'zhi'hua'zhuo'jiao'nang 降脂化浊胶囊
'jie'bai'wan 洁白丸
'jie'du'jiao'nang 解毒胶囊
'jing'tian'qu'ban'jiao'nang 景天祛斑胶囊
'jiu'wei'niu'huang'wan 九味牛黄丸
'liu'gan'wan 流感丸
'liu'wei'an'xiao'san 六味安消散
'liu'wei'gou'qi'kou'fu'ye 六味枸杞口服液
'liu'wei'ming'mu'wan 六味明目丸
'liu'wei'mu'xiang'wan 六味木香丸
'liu'wei'zhuang'gu'ke'li 六味壮骨颗粒
'pa'zhu'wan 帕朱丸
'qi'shi'wei'song'shi'wan 七十味松石丸
'qi'shi'wei'zhen'zhu'wan 七十味珍珠丸
'qi'wei'di'gu'jiao'nang 七味地骨胶囊
'qi'wei'hong'hua'shu'sheng'wan 七味红花殊胜丸
'qi'wei'tie'xie'wan 七味铁屑丸
'qian'lie'long'bi'tong'jiao'nang 前列癃闭通胶囊
'qian'lie'ning'jiao'nang 前列宁胶囊
'qin'pi'jie'gu'jiao'nang 秦皮接骨胶囊
'qing'fei'zhi'ke'wan 清肺止咳丸
'qing'peng'ruan'gao 青鹏软膏
'ren'qing'chang'jue 仁青常觉
'ren'qing'mang'jue 仁青芒觉
'ru'yi'zhen'bao'jiao'nang 如意珍宝胶囊
'ru'yi'zhen'bao'wan 如意珍宝丸
'sa're'shi'san'wei'peng'niao'wan 萨热十三味鹏鸟丸
'sai'xue'feng'shi'jiao'nang 塞雪风湿胶囊
'san'shi'wu'wei'chen'xiang'wan 三十五味沉香丸
'shi'ba'wei'dang'shen'wan 十八味党参丸
'shi'ba'wei'du'juan'wan 十八味杜鹃丸
'shi'ba'wei'he'zi'li'niao'jiao'nang 十八味诃子利尿胶囊
'shi'ba'wei'he'zi'li'niao'wan 十八味诃子利尿丸
'shi'ba'wei'jiang'xiang'wan 十八味降香丸
'shi'er'wei'yi'shou'san 十二味翼首散
'shi'liu'jian'wei'san 石榴健胃散
'shi'liu'ri'lun'wan 石榴日轮丸
'shi'si'wei'ling'niu'jiao'wan 十四味羚牛角丸
'shi'wei'dou'kou'wan 十味豆蔻丸
'shi'wei'he'zi'wan 十味诃子丸
'shi'wei'hei'bing'pian'wan 十味黑冰片丸
'shi'wei'ru'xiang'wan 十味乳香丸
'shi'wu'wei'chen'xiang'wan 十五味沉香丸
'shi'wu'wei'hei'yao'wan 十五味黑药丸
'shi'wu'wei'long'dan'hua'wan 十五味龙胆花丸
'shi'wu'wei'sai'er'dou'wan 十五味赛尔斗丸
'shi'yi'wei'gan'lu'wan 十一味甘露丸
'shi'yi'wei'jin'se'wan 十一味金色丸
'shi'yi'wei'wei'ming'jiao'nang 十一味维命胶囊
'shou'can'shen'bao'jiao'nang 手参肾宝胶囊
'shu'geng'jiao'nang 舒更胶囊
'shu'xin'an'shen'kou'fu'ye 舒心安神口服液
'shuang'hong'huo'xue'jiao'nang 双红活血胶囊
'wu'gen'san 五根散
'wu'wei'gan'lu'yao'yu'tang'ke'li 五味甘露药浴汤颗粒
'wu'wei'gan'lu'yao'yu'tang'san 五味甘露药浴汤散
'wu'wei'huang'lian'wan 五味黄连丸
'xiong'xiang'tong'mai'di'wan 芎香通脉滴丸
'xue'shan'fu'nuo 雪山肤诺
'yi'gan'huo'xue'ming'mu'wan 益肝活血明目丸
'zhen'bao'jie'du'jiao'nang 珍宝解毒胶囊
'zhen'long'xing'nao'jiao'nang 珍龙醒脑胶囊
'zhi'tuo'jie'bai'wan 智托洁白丸
'zi'dan'yin'xie'jiao'nang 紫丹银屑胶囊
'zuo'zhu'da'xi 坐珠达西
