'ai'di'cha 矮地茶
'ai'ye 艾叶
'an'gong'niu'huang'wan 安宫牛黄丸
'an'xi'xiang 安息香
'ba'dou 巴豆
'ba'dou'shuang 巴豆霜
'ba'feng 八风
'ba'gua 八卦
'ba'ji'tian 巴戟天
'ba'jiao'hui'xiang 八角茴香
'ba'zhen'tang 八珍汤
'ba'zheng'san 八正散
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'du'san 败毒散
'bai'fan 白矾
'bai'fu'zi 白附子
'bai'guo 白果
'bai'he 百合
'bai'he'gu'jin'tang 百合固金汤
'bai'hu'tang 白虎汤
'bai'hua'she'she'cao 白花蛇舌草
'bai'ji 白及
'bai'ji 白芨
'bai'jiang'cao 败酱草
'bai'lian 白蔹
'bai'lu 白露
'bai'mao'gen 白茅根
'bai'qian 白前
'bai'shao 白芍
'bai'tou'weng 白头翁
'bai'tou'weng'tang 白头翁汤
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'ye 柏叶
'bai'zhi 白芷
'bai'zhu 白朮
'bai'zi'ren 柏子仁
'ban'bian'lian 半边莲
'ban'biao'ban'li 半表半里
'ban'lan'gen 板蓝根
'ban'mao 斑蝥
'ban'xia 半夏
'ban'xia'bai'zhu'tian'ma'tang 半夏白朮天麻汤
'ban'xia'hou'po'tang 半夏厚朴汤
'ban'xia'qu 半夏曲
'ban'xia'xie'xin'tang 半夏泻心汤
'ban'zhi'lian 半枝莲
'bao'he'wan 保和丸
'bao'long'wan 抱龙丸
'bei'dou'gen 北豆根
'bei'hua 备化
'bei'jian 卑监
'bei'liu'ji'nu 北刘寄奴
'bei'mu 贝母
'bei'mu'gua'lou'san 贝母瓜蒌散
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cang 闭藏
'bi'cheng'qie 荜澄茄
'bi'xian 萆藓
'bi'xie 萆薢
'bi'xie'fen'qing'yin 萆薢分清饮
'bi'zheng 痹证
'bian'dou'hua 扁豆花
'bian'dou'yi 扁豆衣
'bian'mi 便秘
'bian'xu 萹蓄
'biao'li 表里
'biao'zheng 表证
'bie'jia 鳖甲
'bing'huo 丙火
'bing'lang 槟榔
'bing'pian 冰片
'bo'he 薄荷
'bu'gu'zhi 补骨脂
'bu'ji 不及
'bu'mei 不寐
'bu'tian'da'zao'wan 补天大造丸
'bu'yang'huan'wu'tang 补阳还五汤
'bu'zhong'yi'qi'tang 补中益气汤
'can'sha 蚕沙
'cang'er'cao 苍耳草
'cang'er'zi 苍耳子
'cang'lin 仓廪
'cang'zhu 苍朮
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'jue'ming 草决明
'cao'wu 草乌
'cao'za 嘈杂
'ce'bai'ye 侧柏叶
'chai'ge'jie'ji'tang 柴葛解肌汤
'chai'hu 柴胡
'chai'hu'shu'gan'san 柴胡疏肝散
'chan'pi 蟾皮
'chan'su 蟾酥
'chan'tui 蝉蜕
'chang'mai 长脉
'chang'shan 常山
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'mai 沉脉
'chen'pi 陈皮
'chen'xiang 沉香
'chi'mai 迟脉
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'xiao'dou 赤小豆
'chong'lou 重楼
'chong'wei'zi 茺蔚子
'chong'zheng 虫证
'chou'wu'tong 臭梧桐
'chu'shu 处暑
'chuan'bei'mu 川贝母
'chuan'dao 传道
'chuan'jiao 川椒
'chuan'lian'zi 川楝子
'chuan'mu'tong 川木通
'chuan'mu'xiang 川木香
'chuan'niu'xi 川牛膝
'chuan'shan'jia 穿山甲
'chuan'shan'long 穿山龙
'chuan'wu 川乌
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chuan'xiong'cha'tiao'san 川芎茶调散
'chuan'zheng 喘证
'chui'pen'cao 垂盆草
'chun'fen 春分
'chun'gen'pi 椿根皮
'chun'pi 椿皮
'ci'ji'li 刺蒺藜
'ci'shi 磁石
'ci'wei'pi 刺猬皮
'ci'wu'jia 刺五加
'ci'zhu'wan 磁朱丸
'cong'bai 葱白
'cong'bai'qi'wei'yin 葱白七味饮
'cong'chi'jie'geng'tang 葱豉桔梗汤
'cong'ge 从革
'cou'li 腠理
'cu'mai 促脉
'cun'kou 寸口
'da'bu'yin'wan 大补阴丸
'da'chai'hu'tang 大柴胡汤
'da'cheng'qi'tang 大承气汤
'da'ding'feng'zhu 大定风珠
'da'dou'huang'juan 大豆黄卷
'da'fu'pi 大腹皮
'da'han 大寒
'da'huang 大黄
'da'huang'chong'wan 大黄虫丸
'da'huang'fu'zi'tang 大黄附子汤
'da'huang'mu'dan'tang 大黄牡丹汤
'da'huang'tan 大黄炭
'da'ji 大蓟
'da'jian'zhong'tang 大建中汤
'da'qin'jiao'tang 大秦艽汤
'da'qing'long'tang 大青龙汤
'da'qing'ye 大青叶
'da'shu 大暑
'da'suan 大蒜
'da'xian'xiong'tang 大陷胸汤
'da'xue 大雪
'da'xue'teng 大血藤
'da'ye'zi'zhu 大叶紫珠
'da'yuan'yin 达原饮
'da'zao 大枣
'dai'mai 代脉
'dai'zhe'shi 代赭石
'dan'dou'chi 淡豆豉
'dan'fan 胆矾
'dan'nan'xing 胆南星
'dan'pi 丹皮
'dan'shen 丹参
'dan'zhu'ye 淡竹叶
'dang'gui 当归
'dang'gui'bu'xue'tang 当归补血汤
'dang'gui'liu'huang'tang 当归六黄汤
'dang'gui'nian'tong'tang 当归拈痛汤
'dang'gui'si'ni'tang 当归四逆汤
'dang'gui'wei 当归尾
'dang'shen 党参
'dao'chi'san 导赤散
'dao'dou 刀豆
'dao'han 盗汗
'dao'ya 稻芽
'deng'xin'cao 灯心草
'deng'xin'cao 灯芯草
'di'ba 地八
'di'ding 地丁
'di'er 地二
'di'er'cao 地耳草
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'huang'yin'zi 地黄饮子
'di'jin'cao 地锦草
'di'liu 地六
'di'long 地龙
'di'shi 地十
'di'si 地四
'di'yu 地榆
'dian'kuang 癫狂
'ding'chuan'tang 定喘汤
'ding'gong'teng 丁公藤
'ding'xian'wan 定痫丸
'ding'xiang 丁香
'ding'xiang'shi'di'tang 丁香柿蒂汤
'dong'chong'xia'cao 冬虫夏草
'dong'gua'pi 冬瓜皮
'dong'gua'zi 冬瓜子
'dong'kui'zi 冬葵子
'dong'zhi 冬至
'dou'kou 豆蔻
'dou'kou'ke 豆蔻壳
'du'huo 独活
'du'huo'ji'sheng'tang 独活寄生汤
'du'zhong 杜仲
'du'zhong'ye 杜仲叶
'duan'mai 短脉
'dun'fu 敦阜
'duo'mei 多寐
'e'jiao 阿胶
'e'jiao'ji'zi'huang'tang 阿胶鸡子黄汤
'e'ni 呃逆
'e'zhu 莪朮
'er'cha 儿茶
'er'chen'tang 二陈汤
'er'chou 二丑
'er'di 二地
'er'long 耳聋
'er'miao'san 二妙散
'er'ming 耳鸣
'er'sheng 二盛
'er'yang 二阳
'er'yin 二阴
'fa'ban'xia 法半夏
'fa'chen 发陈
'fa'sheng 发生
'fan'wei 反胃
'fan'xie'ye 番泻叶
'fan'xiu 蕃秀
'fang'feng 防风
'fang'feng'tong'sheng'san 防风通圣散
'fang'ji 防己
'fang'ji'huang'qi'tang 防己黄芪汤
'fei'er'wan 肥儿丸
'fei'lao 肺痨
'fei'shen 肺肾
'fei'wei 肺痿
'fei'wei 肺胃
'fei'yong 肺痈
'fei'zhang 肺胀
'fei'zi 榧子
'feng'fang 蜂房
'feng'jiao 蜂胶
'feng'la 蜂蜡
'feng'mi 蜂蜜
'fo'shou 佛手
'fu'he 敷和
'fu'ling 茯苓
'fu'ling'pi 茯苓皮
'fu'ling'wan 茯苓丸
'fu'mai 浮脉
'fu'ming 伏明
'fu'pen'zi 覆盆子
'fu'ping 浮萍
'fu'shen 茯神
'fu'tong 腹痛
'fu'xiao'mai 浮小麦
'fu'yuan'huo'xue'tang 复元活血汤
'fu'zi 附子
'gan'cao 甘草
'gan'cao'gan'jiang'fu'ling'bai'zhu'tang 甘草干姜茯苓白朮汤
'gan'dan 肝胆
'gan'jiang 干姜
'gan'lu'xiao'du'dan 甘露消毒丹
'gan'mai'da'zao'tang 甘麦大枣汤
'gan'mao 感冒
'gan'shen 肝肾
'gan'song 甘松
'gan'sui 甘遂
'gan'wei 肝胃
'gan'yu'pi'xu 肝郁脾虚
'gao'ben 藁本
'gao'liang'jiang 高良姜
'ge'gen 葛根
'ge'gen'huang'qin'huang'lian'tang 葛根黄芩黄连汤
'ge'hua 葛花
'ge'hua'jie'cheng'tang 葛花解酲汤
'ge'jie 蛤蚧
'ge'mai 革脉
'geng'jin 庚金
'gou'ji 狗脊
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gu'chong'tang 固冲汤
'gu'jing'cao 谷精草
'gu'sui'bu 骨碎补
'gu'ya 谷芽
'gu'yu 谷雨
'gu'zhang 鼓胀
'gua'di'san 瓜蒂散
'gua'lou 瓜蒌
'gua'lou'pi 瓜蒌皮
'gua'lou'ren 瓜蒌仁
'gua'lou'xie'bai'bai'jiu'tang 瓜蒌薤白白酒汤
'gua'lou'zi 瓜蒌子
'guan'bai'fu 关白附
'guan'shu 关枢
'guan'zhe 关蛰
'guan'zhong 贯众
'guang'huo'xiang 广藿香
'guang'jin'qian'cao 广金钱草
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'jian'yu 鬼箭羽
'gui'ling'gan'lu'san 桂苓甘露散
'gui'lu'er'xian'jiao 龟鹿二仙胶
'gui'pi'tang 归脾汤
'gui'shui 癸水
'gui'zhi 桂枝
'gui'zhi'fu'ling'wan 桂枝茯苓丸
'gui'zhi'gan'cao'long'gu'mu'li'tang 桂枝甘草龙骨牡蛎汤
'gun'tan'wan 滚痰丸
'ha'ma'you 哈蟆油
'hai'fei 害蜚
'hai'feng'teng 海风藤
'hai'fu'shi 海浮石
'hai'ge'ke 海蛤壳
'hai'gou'shen 海狗肾
'hai'jian 害肩
'hai'jin'sha 海金沙
'hai'jin'sha'teng 海金沙藤
'hai'long 海龙
'hai'ma 海马
'hai'piao'xiao 海螵蛸
'hai'tong'pi 海桐皮
'hai'zao 海藻
'hai'zao'yu'hu'tang 海藻玉壶汤
'han'lian'cao 旱莲草
'han'lu 寒露
'han're 寒热
'han're'cuo'za 寒热错杂
'han'shui'shi 寒水石
'han'zheng 寒证
'hao'qin'qing'dan'tang 蒿芩清胆汤
'he'cao'ya 鹤草芽
'he'geng 荷梗
'he'huan'hua 合欢花
'he'huan'pi 合欢皮
'he'liu 涸流
'he'mai 和脉
'he'shi 鹤虱
'he'shou'wu 何首乌
'he'tao'ren 核桃仁
'he'xi 赫曦
'he'ye 荷叶
'he'zi 诃子
'hei'dou 黑豆
'hei'ling'zhi 黑灵芝
'hei'zhi'ma 黑芝麻
'hong'da'ji 红大戟
'hong'dou'kou 红豆蔻
'hong'fen 红粉
'hong'hua 红花
'hong'jing'tian 红景天
'hong'qi 红芪
'hong'shen 红参
'hong'teng 红藤
'hou'po'wen'zhong'tang 厚朴温中汤
'hou'pu 厚朴
'hou'pu'hua 厚朴花
'hu'bei'bei'mu 湖北贝母
'hu'huang'lian 胡黄连
'hu'jiao 胡椒
'hu'lu 葫芦
'hu'lu'ba 胡芦巴
'hu'lu'ba 葫芦巴
'hu'po 琥珀
'hu'sui 胡荽
'hu'zhang 虎杖
'hua'chong'wan 化虫丸
'hua'jiao 花椒
'hua'ju'hong 化橘红
'hua'rui'shi 花蕊石
'hua'shi 滑石
'hua'shi'fen 滑石粉
'huai'hua 槐花
'huai'hua'san 槐花散
'huai'jiao 槐角
'huan'mai 缓脉
'huang'bai 黄柏
'huang'dan 黄疸
'huang'gou'shen 黄狗肾
'huang'jing 黄精
'huang'lian 黄连
'huang'lian'e'jiao'tang 黄连阿胶汤
'huang'lian'jie'du'tang 黄连解毒汤
'huang'long'tang 黄龙汤
'huang'qi 黄芪
'huang'qi'gui'zhi'wu'wu'tang 黄芪桂枝五物汤
'huang'qin 黄芩
'huang'qin'tan 黄芩炭
'huang'tu'tang 黄土汤
'huang'yao'zi 黄药子
'hui'jue 蛔厥
'hui'yang'jiu'ji'tang 回阳救急汤
'hun'po 魂魄
'huo'luan 霍乱
'huo'ma'ren 火麻仁
'huo'xiang 藿香
'huo'xiang'zheng'qi'san 藿香正气散
'ji'chuan'jian 济川煎
'ji'gu'cao 鸡骨草
'ji'guan'hua 鸡冠花
'ji'ju 积聚
'ji'nei'jin 鸡内金
'ji'xue'teng 鸡血藤
'jia'jian'wei'rui'tang 加减葳蕤汤
'jia'mu 甲木
'jia'se 稼穑
'jia'wei'wu'yao'tang 加味乌药汤
'jian'cheng 坚成
'jian'pi'wan 健脾丸
'jian'shen'qu 建神曲
'jian'wang 健忘
'jiang'can 僵蚕
'jiang'huang 姜黄
'jiang'xi'jin'qian'cao 江西金钱草
'jiang'xiang 降香
'jiang'yong 僵蛹
'jiao'gu'lan 绞股蓝
'jiao'mu 椒目
'jiao'tai'wan 交泰丸
'jie'geng 桔梗
'jie'mai 结脉
'jie'nue 痎疟
'jie'zi 芥子
'jin'fei'cao 金沸草
'jin'ling'zi'san 金铃子散
'jin'mai 紧脉
'jin'mu 金木
'jin'qian'bai'hua'she 金钱白花蛇
'jin'qian'cao 金钱草
'jin'qiao'mai 金荞麦
'jin'suo'gu'jing'wan 金锁固精丸
'jin'ye 津液
'jin'yin'hua 金银花
'jin'ying'zi 金樱子
'jing'da'ji 京大戟
'jing'jie 荆芥
'jing'jie'sui 荆芥穗
'jing'jie'tan 荆芥炭
'jing'luo 经络
'jing'mai 经脉
'jing'shui 经水
'jing'shun 静顺
'jing'tian'san'qi 景天三七
'jing'wei 精微
'jing'zhe 惊蛰
'jing'zheng 痉证
'jiu'cai'zi 韭菜子
'jiu'gong 九宫
'jiu'ji'xi'xian'san 救急稀涎散
'jiu'jie'chang'pu 九节菖蒲
'jiu'wei'qiang'huo'tang 九味羌活汤
'jiu'xian'san 九仙散
'jiu'xiang'chong 九香虫
'jiu'ye 九野
'ju'he 橘核
'ju'he'wan 橘核丸
'ju'hong 橘红
'ju'hua 菊花
'ju'luo 橘络
'ju'mai 巨麦
'ju'pi'zhu'ru'tang 橘皮竹茹汤
'ju'ye 橘叶
'ju'ye'san'qi 菊叶三七
'jue'du 决渎
'jue'duan 决断
'jue'ming'zi 决明子
'jue'yin 厥阴
'jue'yin'feng'mu 厥阴风木
'jue'zheng 厥证
'ke'sou 咳嗽
'ke'xue'fang 咳血方
'kou'mai 芤脉
'ku'lian'pi 苦楝皮
'ku'shen 苦参
'ku'xing'ren 苦杏仁
'kuan'dong 款冬
'kuan'dong'hua 款冬花
'kun'bu 昆布
'kun'ming'shan'hai'tang 昆明山海棠
'lai'fu'zi 莱菔子
'lang'du 狼毒
'lao'guan'cao 老鹳草
'lei'gong'teng 雷公藤
'lei'wan 雷丸
'li'chun 立春
'li'dong 立冬
'li'ji 痢疾
'li'lu 藜芦
'li'qiu 立秋
'li'xia 立夏
'li'zheng 里证
'li'zhi'he 荔枝核
'li'zhong'wan 理中丸
'lian'fang 莲房
'lian'pu'yin 连朴饮
'lian'qian'cao 连钱草
'lian'qiao 连翘
'lian'xu 莲须
'lian'zi 莲子
'lian'zi'xin 莲子心
'liang'ge'san 凉膈散
'lin'zheng 淋证
'ling'gan'wu'wei'jiang'xin'tang 苓甘五味姜辛汤
'ling'gui'zhu'gan'tang 苓桂朮甘汤
'ling'jiao'gou'teng'tang 羚角钩藤汤
'ling'xiao'hua 凌霄花
'ling'yang'jiao 羚羊角
'ling'zhi 灵芝
'liu'fu 六腑
'liu'huang 硫黄
'liu'ji'nu 刘寄奴
