'a'xiu'luo 阿修罗
'a'xiu'luo'wang'luo'hou 阿修罗王罗候
'an'hun 暗魂
'ao'ling 傲灵
'ao'xue 傲雪
'bai'jing'shui'jin'gang 白净水金刚
'bai'lang 白狼
'bai'yuan 白猿
'chang'an'cheng 长安城
'chi'guo'tian 持国天
'chi'kao'ma'hou 赤尻马猴
'chuang'shi'zhi'huo 创世之火
'da'di'xue'ling 大地血灵
'da'di'zhi'xin 大地之心
'da'fan'tian 大梵天
'dao'de'tian'zun 道德天尊
'di'zang'wang 地藏王
'guang'hun 光魂
'guang'mu'tian 广目天
'guo'zi 果子
'hong'lei'zhan'gu 轰雷战鼓
'hu'ji 虎姬
'hu'tou'tuo 虎头陀
'huang'mei'lao'fo 黄眉老佛
'jia'lou'luo 迦楼罗
'jin'chi'da'peng 金翅大鹏
'jin'gang'ban're'zhang 金刚般若掌
'jiu'quan'yi'xiao 九泉一笑
'jue'xing'zhe 觉醒者
'ling'bao'tian'zun 灵宝天尊
'ling'ming'shi'hou 灵明石猴
'liu'er'mi'hou 六耳猕猴
'mie'shi'si'xiang 灭世四象
'mo'hou'luo'jia 摩侯罗伽
'pi'shi'nu 毗湿奴
'pu'shan'fa'wang 普善法王
'qi'jing 奇经
'qian'shou'fu'tu 千手浮屠
'ri'yue'shen'hou 日月神候
'ru'lai'da'shen 如来大神
'sha'wu'jing 沙悟净
'sha'xin'da'shen 杀心大神
'sha'xin'guan'yin 杀心观音
'shan'xiao 山魈
'shi'po 湿婆
'shi'yan'fen'yang'yin 十焰焚阳印
'shui'yi'chan 睡意禅
'su'yi 素衣
'su'zhi 苏质
'sun'wu'kong 孙悟空
'tai'shan'zhuan'lun'yin 泰山转轮印
'tang'san'zang 唐三藏
'tian'yi'da'shen 天一大神
'tian'yu'long'wang 天羽龙王
'tian'yu'shan 天羽山
'tian'yu'shan'tu'di 天羽山土地
'tian'yu'shou 天羽狩
'tian'yu'zhi 天羽织
'tian'zhu 天诛
'tong'bi'yuan'hou 通臂猿猴
'wu'shang'zu'shi 无上祖师
'xie'shou'zhuan'lun'yin 邪兽转轮印
'yan'luo 阎罗
'yin'ming'wang 阴冥王
'you'an'zhao'ze 幽暗沼泽
'yu'feng'zi 御风子
'yuan'shi'tian'zun 元始天尊
'zeng'zhang'tian 增长天
'zhu'ba'jie 猪八戒
'zi'xian'jin'gang 紫贤金刚
'zi'xian'zhuan'lun'yin 紫贤转轮印
