'a'la'tan'wu'wei'wan 阿拉坦五味丸
'a'na'er'fu'jie'ye 阿娜尔妇洁液
'ai'di'zhu'she'ye 艾迪注射液
'ai'fu'nuan'gong'wan 艾附暖宫丸
'ai'wei'xin'kou'fu'ye 爱维心口服液
'ai'yu'jiao'nang 艾愈胶囊
'an'er'ning'ke'li 安儿宁颗粒
'an'gong'jiang'ya'wan 安宫降压丸
'an'gong'niu'huang'wan 安宫牛黄丸
'an'gong'zhi'xue'ke'li 安宫止血颗粒
'an'kang'xin'jiao'nang 安康欣胶囊
'an'kun'ke'li'pian'jiao'nang 安坤颗粒片胶囊
'an'kun'zan'yu'wan 安坤赞育丸
'an'luo'hua'xian'wan 安络化纤丸
'an'nao'wan'pian 安脑丸片
'an'shen'bu'nao'pian'jiao'nang'ke'li'ye 安神补脑片胶囊颗粒液
'an'shen'bu'xin'liu'wei'wan 安神补心六味丸
'an'shen'bu'xin'wan'pian'jiao'nang'ke'li 安神补心丸片胶囊颗粒
'an'shen'wan 安神丸
'an'ti'ke'jiao'nang 安替可胶囊
'an'wei'yang'jiao'nang 安胃疡胶囊
'ba'bao'dan 八宝丹
'ba'bao'dan'jiao'nang 八宝丹胶囊
'ba'du'gao 拔毒膏
'ba'du'sheng'ji'san 拔毒生肌散
'ba'hen'zhi'yang'ruan'hua'ru'gao'ruan'hua'gao 疤痕止痒软化乳膏软化膏
'ba'te'ri'qi'wei'wan 巴特日七味丸
'ba'wei'chen'xiang'wan 八味沉香丸
'ba'wei'qi'long'ke'li 八味芪龙颗粒
'ba'wei'xi'lei'san 八味锡类散
'ba'zhen'wan'pian'jiao'nang'ke'li 八珍丸片胶囊颗粒
'ba'zhen'yi'mu'gao 八珍益母膏
'ba'zhen'yi'mu'wan'pian'jiao'nang 八珍益母丸片胶囊
'ba'zheng'pian'jiao'nang'ke'li 八正片胶囊颗粒
'bai'bai'kang'lao'ke'li 白百抗痨颗粒
'bai'cao'fu'yan'qing'shuan 百草妇炎清栓
'bai'he'gu'jin'wan'pian'ke'li'kou'fu'ye 百合固金丸片颗粒口服液
'bai'le'mian'jiao'nang 百乐眠胶囊
'bai'ling'jiao'nang 百令胶囊
'bai'ling'pian 百令片
'bai'ling'pian'jiao'nang 白灵片胶囊
'bai'mai'ruan'gao 白脉软膏
'bai'rui'ke'li 百蕊颗粒
'bai'xuan'xia'ta're'pian'jiao'nang 百癣夏塔热片胶囊
'bai'zi'yang'xin'wan'pian'jiao'nang 柏子养心丸片胶囊
'ban'lan'gen'di'yan'ye 板蓝根滴眼液
'ban'lan'gen'ke'li 板蓝根颗粒
'ban'lan'gen'pian'kou'fu'ye 板蓝根片口服液
'ban'tu'wan 斑秃丸
'ban'xia'he'wei'ke'li 半夏和胃颗粒
'ban'xia'tian'ma'wan 半夏天麻丸
'bao'er'kang'san 宝儿康散
'bao'fu'kang'ning'jiao 保妇康凝胶
'bao'fu'kang'shuan 保妇康栓
'bao'gong'zhi'xue'ke'li 葆宫止血颗粒
'bao'he'wan'pian'ke'li 保和丸片颗粒
'bao'ji'wan'kou'fu'ye 保济丸口服液
'bao'long'wan 抱龙丸
'bao'ning'ban'xia'ke'li 保宁半夏颗粒
'bei'dou'gen'jiao'nang 北豆根胶囊
'bi'dou'yan'kou'fu'ye 鼻窦炎口服液
'bi'ling'wei'tong'ke'li 荜铃胃痛颗粒
'bi'ma'you 蓖麻油
'bi'qi'jiao'nang 痹祺胶囊
'bi'wen'san 避瘟散
'bi'xie'fen'qing'wan 萆薢分清丸
'bi'yan'kang'pian 鼻炎康片
'bi'yan'pian 鼻炎片
'bi'yan'qing'du'ke'li'bi'yan'qing'du'ji 鼻咽清毒颗粒鼻咽清毒剂
'bi'yuan'shu'jiao'nang'kou'fu'ye 鼻渊舒胶囊口服液
'bi'yuan'tong'qiao'ke'li 鼻渊通窍颗粒
'bian'tong'pian'jiao'nang 便通片胶囊
'biao'xu'gan'mao'ke'li 表虚感冒颗粒
'biao'zhun'tao'jin'niang'you'chang'rong'jiao'nang 标准桃金娘油肠溶胶囊
'bie'jia'jian'wan 鳖甲煎丸
'bing'huang'fu'le'ruan'gao 冰黄肤乐软膏
'bing'lang'si'xiao'wan'pian 槟榔四消丸片
'bing'lian'di'er'ji 冰连滴耳剂
'bing'peng'san 冰硼散
'bo'yun'tui'yi'wan 拨云退翳丸
'bu'fei'huo'xue'jiao'nang 补肺活血胶囊
'bu'nao'an'shen'pian'jiao'nang 补脑安神片胶囊
'bu'pi'yi'chang'wan 补脾益肠丸
'bu'shen'gu'chi'wan 补肾固齿丸
'bu'shen'tong'lin'ke'li 补肾通淋颗粒
'bu'shen'yi'nao'wan'pian'jiao'nang 补肾益脑丸片胶囊
'bu'xin'qi'kou'fu'ye 补心气口服液
'bu'xu'tong'yu'ke'li 补虚通瘀颗粒
'bu'xue'sheng'ru'ke'li 补血生乳颗粒
'bu'xue'yi'mu'wan'ke'li 补血益母丸颗粒
'bu'zhong'yi'qi'pian'he'ji'kou'fu'ye 补中益气片合剂口服液
'bu'zhong'yi'qi'wan'ke'li 补中益气丸颗粒
'can'bei'gu'chang'jiao'nang 参倍固肠胶囊
'can'dan'san'jie'jiao'nang 参丹散结胶囊
'can'fu'zhu'she'ye 参附注射液
'can'gui'jiao'nang 参桂胶囊
'can'lian'jiao'nang'ke'li 参莲胶囊颗粒
'can'shao'pian'jiao'nang 参芍片胶囊
'can'song'yang'xin'jiao'nang 参松养心胶囊
'can'xian'sheng'mai'kou'fu'ye 参仙升脉口服液
'can'yi'jiao'nang 参一胶囊
'cang'er'zi'bi'yan'di'wan'jiao'nang 苍耳子鼻炎滴丸胶囊
'cang'ling'zhi'xie'kou'fu'ye 苍苓止泻口服液
'chai'hu'kou'fu'ye'di'wan 柴胡口服液滴丸
'chai'hu'shu'gan'wan 柴胡舒肝丸
'chai'hu'zhu'she'ye 柴胡注射液
'chai'huang'pian'ke'li 柴黄片颗粒
'chai'qin'qing'ning'jiao'nang 柴芩清宁胶囊
'chai'shi'tui're'ke'li 柴石退热颗粒
'chai'yin'ke'li'kou'fu'ye 柴银颗粒口服液
'chan'fu'kang'ke'li 产复康颗粒
'chan'hou'zhu'yu'jiao'nang 产后逐瘀胶囊
'chang'song'ba'wei'chen'xiang'san 常松八味沉香散
'chang'wei'shu'jiao'nang 肠胃舒胶囊
'chang'yan'ning'pian'ke'li 肠炎宁片颗粒
'chen'xiang'hua'zhi'wan 沉香化滞丸
'chi'tong'bing'peng'san 齿痛冰硼散
'chong'lou'jie'du'ding 重楼解毒酊
'chu'shi'zhi'yang'ruan'gao 除湿止痒软膏
'chuan'bei'pi'pa'gao'pian'jiao'nang'ke'li'tang'jiang 川贝枇杷膏片胶囊颗粒糖浆
'chuan'ke'zhi'zhu'she'ye 喘可治注射液
'chuan'she'gan'huang'tong'jiao'nang 川射干黄酮胶囊
'chuan'xin'lian'nei'zhi'jiao'nang'di'wan 穿心莲内酯胶囊滴丸
'chuan'xin'lian'pian'jiao'nang 穿心莲片胶囊
'chuan'xiong'cha'tiao'kou'fu'ye 川芎茶调口服液
'chuan'xiong'cha'tiao'wan'san'pian'ke'li 川芎茶调丸散片颗粒
'chuan'xiong'qing'nao'ke'li 川芎清脑颗粒
'chuan'zhi'tong'luo'jiao'nang 川蛭通络胶囊
'chuang'zhuo'gao 创灼膏
'chui'pen'cao'pian'ke'li 垂盆草片颗粒
'chun'ru'ning'jiao 椿乳凝胶
