'ba'biao 靶标
'bai'pa 百帕
'bao'chi 保持
'bei'yong 备用
'bei'yong'sha'che'xuan'ze'huo'men 备用刹车选择活门
'cao'zuo'cheng'xu'gou'xing 操作程序构型
'cao'zuo'ruan'jian 操作软件
'ce'ju'ji 测距机
'ce'ju'she'bei 测距设备
'chai'xia'jian 拆下件
'chong'ya'kong'qi'wo'lun'fa'dian'ji 冲压空气涡轮发电机
'da'qi'shu'ju'guan'xing'ji'zhun'xi'tong 大气数据惯性基准系统
'da'qi'shu'ju'ji'zhun'zu'jian 大气数据基准组件
'da'qi'shu'ju'zu'jian 大气数据组件
'di'su 低速
'di'su 地速
'dian'pei'ping 电配平
'dian'tai'zhi'zhao 电台执照
'dian'zi'fa'dong'ji'kong'zhi'qi 电子发动机控制器
'dian'zi'fei'xing'yi'biao'xi'tong 电子飞行仪表系统
'dian'zi'zhong'yang'fei'ji'jian'kong'xi'tong 电子中央飞机监控系统
'fa'dian'ji'kong'zhi'zu'jian 发电机控制组件
'fa'dong'ji'feng'shan'su'du 发动机风扇速度
'fa'dong'ji'he'xin'su'du 发动机核心速度
'fa'dong'ji'kong'zhi'zu'jian 发动机控制组件
'fa'dong'ji'zhi'shi'xi'tong 发动机指示系统
'fa'dong'ji'zhi'shi'yu'ji'zu'jing'gao'xi'tong 发动机指示与机组警告系统
'fang'bing'jia're 防冰加热
'fang'shi'kong'zhi'ban 方式控制板
'fang'zhi 防滞
'fei'ji'zhuang'tai'jian'kong'xi'tong 飞机状态监控系统
'fei'xin'zhi'yin 飞信指引
'fei'xing'guan'li'ji'suan'ji 飞行管理计算机
'fei'xing'hang'ji'xiang'liang 飞行航迹向量
'fei'xing'kong'zhi'ji'suan'ji 飞行控制计算机
'fei'xing'shu'ju'cai'ji'zu'jian 飞行数据采集组件
'fei'xing'shu'ju'huo'qu'zu'jian 飞行数据获取组件
'fei'xing'zhi'yin'yi 飞行指引仪
'feng'qie'bian 风切变
'feng'yi 缝翼
'fu'fei 复飞
'fu'jia'shi 副驾驶
'fu'shu'zu'jian 附属组件
'fu'yang'pei'ping'xi'tong 俯仰配平系统
'fu'yi 副翼
'fu'zhu'dong'li'zhuang'zhi 辅助动力装置
'gao'han'dao'bi 高涵道比
'gao'qiang'du'fu'she'chang 高强度辐射场
'gong'neng'ce'shi 功能测试
'gong'zhu 汞柱
'gou'xing 构型
'guan'dao 惯导
'guan'xing'ji'zhun 惯性基准
'guan'xing'ji'zhun'xi'tong 惯性基准系统
'guan'xing'ji'zhun'zu'jian 惯性基准组件
'guan'xing'xi'tong'xian'shi'zu'jian 惯性系统显示组件
'guo'ji'deng'ji'zheng 国籍登记证
'hang'xian'ke'geng'huan'jian 航线可更换件
'hang'xian'xin'biao'tai 航线信标台
