'da'yi'jing'cheng 大医精诚
'dan'yi 丹医
'dao'yi 道医
'jiu'miao'feng'zi'yin 九妙丰姿饮
'jiu'miao'ying'run'gao 九妙莹润膏
'jiu'miao'ying'run'yin 九妙莹润饮
'ling'yi 铃医
'liu'miao'yi'meng 六妙怡梦
'liu'miao'yi'meng'tie 六妙怡梦贴
'liu'miao'yi'shen'an'meng'tie 六妙怡神安梦贴
'san'yao'san'fang 三药三方
'shun'he'jing'yuan'gao 顺和净渊膏
'xin'zhi'jing'yuan'gao 辛芷净渊膏
'xin'zhi'shun'he'gao 辛芷顺和膏
'xin'zhi'shun'he'jing'yuan'gao 辛芷顺和净渊膏
'yi'kang'shun'he'jing'yuan'gao 亿康顺和净渊膏
'yi'kang'xin'zhi'shun'he'gao 亿康辛芷顺和膏
'yi'nai'ren'shu 医乃仁术
'zheng'qi'cun'nei'xie'bu'ke'gan 正气存内邪不可干
'zhi'chang'yi'ti'tie 滞畅怡体贴
