'a'duo 阿多
'ai'de 艾德
'ai'de'gong'jue 艾德公爵
'ai'de'mu 艾德穆
'ai'de'shi'ta'ke 艾德史塔克
'ai'de'shi'ta'ke'jia'zu 艾德史塔克家族
'ai'la'li'ya 艾拉莉亚
'ai'li'ya 艾莉亚
'ai'lin'jia'zu 艾林家族
'ai'mi'li'ya 艾米莉亚
'ai'sa'ke 艾萨克
'ao'bo'lun 奥伯伦
'ao'lun'na 奥伦娜
'ba'li'si'tan 巴利斯坦
'ba'long 巴隆
'ba'long'ge'lei'qiao'yi 巴隆葛雷乔伊
'bai'la'xi'en 拜拉席恩
'bai'la'xi'en'jia'zu 拜拉席恩家族
'ban'yang 班扬
'bei'jing 北境
'bei'jing'bu'wang 北境不忘
'bei'jing'shou'wei 北境守卫
'bei'jing'zhi'wang 北境之王
'bei'le'sheng'tang 贝勒圣堂
'ben'lang'de'xue'ye 奔狼的血液
'ben'liu'cheng 奔流城
'bing'yu'de'feng'bao 冰雨的风暴
'bing'yu'huo'zhi'ge 冰与火之歌
'bing'yuan'lang'ming 冰原狼名
'bo'dun 波顿
'bo'dun'jia'zu 波顿家族
'bu'fen'zhe 不焚者
'bu'lan 布兰
'bu'lan'deng 布兰登
'bu'lin'deng 布林登
'bu'sheng'ze'wang 不胜则亡
'cha'li'si 查里斯
'chang'cheng'shou'wei 长城守卫
'cheng'fa'zhi'lu 惩罚之路
'da'qiong'en 大琼恩
'da'sui'liao'kao'zhi'ren 打碎镣铐之人
'dai'fo'si 戴佛斯
'dan'ni 丹妮
'dan'ni'li'si 丹妮莉丝
'dan'ni'li'si 丹尼莉丝
'dan'si 丹斯
'de'rui'ke 德瑞克
'duo'en 多恩
'duo'en'de'hong'du'she 多恩的红毒蛇
'duo'li'ya 多莉亚
'duo'si'la'ke'ren 多斯拉克人
'fan'ren'jie'xu'shi'feng 凡人皆需侍奉
'fan'ren'jie'you'yi'si 凡人皆有一死
'fei'er'li 菲尔利
'feng'bao'jiang'sheng 风暴降生
'feng'bao'zhi'di 风暴之地
'feng'wang 疯王
'fo'lei'jia'zu 佛雷家族
'fo'luo'lun'jia'zu 佛罗伦家族
'ge'lei'guo 格雷果
'ge'lei'qiao'yi 葛雷乔伊
'ge'lei'qiao'yi'da'wang 葛雷乔伊大王
'ge'lei'qiao'yi'jia'zu 葛雷乔伊家族
'ge'li'sen 格里森
'gou'xiong'yu'mei'shao'nv 狗熊与美少女
'gu'di 谷地
'guo'wang'da'dao 国王大道
'ha'ling'dun 哈灵顿
'hai'gu'hua'yuan 骸骨花园
'he'jia'er 赫加尔
'he'jian'di 河间地
'he'lun'bao'you'ling 赫伦堡幽灵
'he'wan'di 河湾地
'hei'bai'zhi'yuan 黑白之院
'hei'se'chi'bang 黑色翅膀
