'a'si'ta'na'ha'la'he'zhuo'hao'mu'bi'hua 阿斯塔那哈拉和卓号墓壁画
'an'yang'song'mu'bi'hua 安阳宋墓壁画
'ba'shan'shu'shui'bi'hua 巴山蜀水壁画
'bai'cheng'ke'zi'er'qian'fo'dong'xin'hao'ku'bi'hua 拜城克孜尔千佛洞新号窟壁画
'bai'cheng'ke'zi'er'shi'ku'bi'hua 拜城克孜尔石窟壁画
'bai'sha'song'mu'bi'hua 白沙宋墓壁画
'bai'she'zhuan'bi'hua 白蛇传壁画
'bai'ta'zi'cun'liao'mu'bi'hua 白塔子村辽墓壁画
'bai'yan'er'deng'liao'mu'bi'hua 白彦尔登辽墓壁画
'bai'yin'ao'bao'liao'mu'bi'hua 白音敖包辽墓壁画
'bei'jing'bai'wan'zhuang'liao'mu'bi'hua 北京百万庄辽墓壁画
'bei'jing'da'hui'si'bi'hua 北京大慧寺壁画
'bei'jing'fa'hai'si'bi'hua 北京法海寺壁画
'bei'jing'guo'ji'ji'chang'bi'hua 北京国际机场壁画
'bei'jing'mi'yun'yuan'mu'bi'hua 北京密云元墓壁画
'bei'jing'qiang'zhi'bi'hua 北京墙纸壁画
'bei'jing'zhai'tang'liao'mu'bi'hua 北京斋堂辽墓壁画
'bei'qi'gao'run'mu'bi'hua 北齐高润墓壁画
'bei'qi'ku'di'hui'luo'mu'bi'hua 北齐库狄回洛墓壁画
'bei'qi'lou'rui'mu'bi'hua 北齐娄睿墓壁画
'bei'san'jia'cun'hao'liao'mu'bi'hua 北三家村号辽墓壁画
'bei'yan'feng'su'fu'mu'bi'hua 北燕冯素弗墓壁画
'bei'zhen'miao'bi'hua 北镇庙壁画
'bei'zhou'du'huan'mu'bi'hua 北周杜欢墓壁画
'bo'hai'zhen'xiao'gong'zhu'mu'bi'hua 渤海贞孝公主墓壁画
'bo'li'xiang'qian'bi'hua 玻璃镶嵌壁画
'chang'zhi'gu'zhang'jin'mu'bi'hua 长治故漳金墓壁画
'chang'zhi'li'cun'gou'jin'mu'bi'hua 长治李村沟金墓壁画
'chao'yuan'xian'zhang'tu 朝元仙仗图
'cheng'de'an'yuan'miao'bi'hua 承德安远庙壁画
'chi'feng'san'yan'bing'cun'yuan'mu'bi'hua 赤峰三眼并村元墓壁画
'chi'feng'yuan'bao'shan'yuan'mu'bi'hua 赤峰元宝山元墓壁画
'da'di'wan'yuan'shi'she'hui'ju'zhi'di'hua 大地湾原始社会居址地画
'da'hu'ting'han'mu'bi'hua 打虎亭汉墓壁画
'da'tong'hua'yan'si'bi'hua 大同华严寺壁画
'da'tong'ma'jia'pu'liao'mu'bi'hua 大同马家堡辽墓壁画
'da'tong'shan'hua'si'bi'hua 大同善化寺壁画
'da'tong'wo'hu'wan'hao'liao'mu'bi'hua 大同卧虎湾号辽墓壁画
'da'tong'xin'tian'bao'hao'liao'mu'bi'hua 大同新添堡号辽墓壁画
'deng'feng'shao'lin'si'bi'hua'dian'tang'bi'hua 登封少林寺壁画殿堂壁画
'ding'xian'hao'song'dai'ta'ji'bi'hua 定县号宋代塔基壁画
'ding'xiang'guan'wang'miao'bi'hua 定襄关王庙壁画
'dong'jin'huo'cheng'si'mu'bi'hua 东晋霍承嗣墓壁画
'dong'shou'mu'bi'hua 冬寿墓壁画
'dong'wei'ru'ru'gong'zhu'mu'bi'hua 东魏茹茹公主墓壁画
'dun'huang'cang'jing'dong'bi'hua 敦煌藏经洞壁画
'dun'huang'jiu'se'lu'wang'ben'sheng'tu'bi'hua 敦煌九色鹿王本生图壁画
'dun'huang'qian'shou'qian'yan'guan'yin'bi'hua 敦煌千手千眼观音壁画
'dun'huang'sa'duo'na'tai'zi'ben'sheng'tu'bi'hua 敦煌萨埵那太子本生图壁画
'dun'huang'shan'zi'ben'sheng'tu'bi'hua 敦煌睒子本生图壁画
'dun'huang'shi'ku'bei'chao'bi'hua 敦煌石窟北朝壁画
'dun'huang'shi'ku'bi'hua 敦煌石窟壁画
'dun'huang'shi'ku'sui'tang'bi'hua 敦煌石窟隋唐壁画
'dun'huang'shi'ku'wu'dai'song'bi'hua 敦煌石窟五代宋壁画
'dun'huang'shi'ku'xi'xia'yuan'dai'bi'hua 敦煌石窟西夏元代壁画
'dun'huang'shi'pi'wang'ben'sheng'tu'bi'hua 敦煌尸毗王本生图壁画
'dun'huang'shou'lie'tu'bi'hua 敦煌狩猎图壁画
'dun'huang'si'pu'sa'bi'hua 敦煌四菩萨壁画
'dun'huang'sui'dai'di'shi'tian'fei'bi'hua 敦煌隋代帝释天妃壁画
'dun'huang'wei'mo'jie'bian'bi'hua 敦煌维摩诘变壁画
'dun'huang'wu'bai'qiang'dao'gu'shi'tu'bi'hua 敦煌五百强盗故事图壁画
'dun'huang'wu'tai'shan'wei'bi'hua 敦煌五台山围壁画
'dun'huang'xi'fang'jing'tu'bian'bi'hua 敦煌西方净土变壁画
'dun'huang'xi'qian'fo'dong'bi'hua 敦煌西千佛洞壁画
'dun'huang'xu'bi'hua'tai'zi'ben'sheng'tu'bi'hua 敦煌须壁画太子本生图壁画
'dun'huang'zhang'yi'chao'chu'xing'tu'bi'hua 敦煌张议潮出行图壁画
'fa'ku'ye'mao'tai'liao'mu'bi'mian 法库叶茂台辽墓壁面
'fan'shi'yan'shan'si'bi'hua 繁峙岩山寺壁画
'fen'yang'sheng'mu'miao'bi'hua 汾阳圣母庙壁画
'gao'chang'gu'cheng'yi'zhi'bi'hua 高昌故城遗址壁画
'gao'ping'kai'hua'si'bi'hua 高平开化寺壁画
'gao'ping'sheng'gu'miao'bi'hua 高平圣姑庙壁画
'gong'xian'shao'chai'cun'song'mu'bi'hua 巩县稍柴村宋墓壁画
'gu'ge'wang'guo'yi'zhi'bi'hua 古格王国遗址壁画
'guang'han'long'ju'si'bi'hua 广汉龙居寺壁画
'han'bu'qian'qiu'mu'bi'hua 汉卜千秋墓壁画
'han'mu'bi'hua 汉墓壁画
'han'zhi'nan'bei'chao'si'guan'bi'hua 汉至南北朝寺观壁画
'he'lin'ge'er'han'mu'bi'hua 和林格尔汉墓壁画
'he'lin'ge'er'tu'cheng'zi'gu'mu'bi'hua 和林格尔土城子古墓壁画
'he'tian'da'de'li'cheng'yi'zhi'si'yuan'bi'hua 和田达德力城遗址寺院壁画
'he'xi'wei'jin'mu'bi'hua 河西魏晋墓壁画
'hong'tong'guang'sheng'si'bi'hua 洪洞广胜寺壁画
'hou'ma'song'mu'bi'hua 侯马宋墓壁画
'hou'shu'meng'zhi'xiang'mu'bi'hua 后蜀孟知祥墓壁画
'hu'lin'guan'di'miao'bi'hua 虎林关帝庙壁画
'hua'shan'ya'bi'hua 花山崖壁画
'huai'an'song'yang'gong'zuo'mu'bi'hua 淮安宋杨公佐墓壁画
'huang'zhong'ta'er'si'bi'hua 湟中塔尔寺壁画
'hun'yuan'yong'an'si'bi'hua 浑源永安寺壁画
'ji'an'chang'chuan'hao'feng'tu'mu'bi'hua 集安长川号封土墓壁画
'ji'an'chang'chuan'hao'mu'bi'hua 集安长川号墓壁画
'ji'an'dong'gou'hao'mu'bi'hua 集安洞沟号墓壁画
'ji'an'gao'gou'li'gu'mu'bi'hua 集安高句丽古墓壁画
'ji'an'jiao'di'mu'bi'hua 集安角抵墓壁画
'ji'an'ma'xian'gou'hao'mu'bi'hua 集安麻线沟号墓壁画
'ji'an'san'shi'mu'bi'hua 集安三室墓壁画
'ji'an'si'shen'mu'bi'hua 集安四神墓壁画
'ji'an'wu'kui'fen'hao'mu'bi'hua 集安五盔坟号墓壁画
'ji'an'wu'yong'mu'bi'hua 集安舞踊墓壁画
'ji'an'yu'shan'xia'hao'mu'bi'hua 集安禹山下号墓壁画
'ji'nan'jin'mu'bi'hua 济南金墓壁画
'ji'nan'yuan'mu'bi'hua 济南元墓壁画
'ji'shan'qing'long'si'bi'hua 稷山青龙寺壁画
'ji'xi'cao'shi'zhi'ci'tai'ping'tian'guo'bi'hua 绩溪曹氏支祠太平天国壁画
'ji'xian'guan'yin'ge'bi'hua 蓟县观音阁壁画
'jia'shan'ming'mu'bi'hua 嘉善明墓壁画
'jia'xian'bai'yun'shan'miao'bi'hua 佳县白云山庙壁画
'jia'xiang'ying'shan'fei'hao'sui'mu'bi'hua 嘉祥英山飞号隋墓壁画
'jia'yu'guan'pai'fang'liang'wei'jin'mu'bi'hua 嘉峪关牌坊梁魏晋墓壁画
'jia'yu'guan'wei'jin'mu'bi'hua 嘉峪关魏晋墓壁画
'jian'ge'jue'yuan'si'bi'hua 剑阁觉苑寺壁画
'jian'ping'liao'mu'bi'hua 建平辽墓壁画
'jiang'ning'fang'shan'tai'ping'tian'guo'bi'hua 江宁方山太平天国壁画
'jiang'xian'jin'mu'bi'hua 绛县金墓壁画
'jiang'zi'bai'ju'si'bi'hua 江孜白居寺壁画
'jiao'zuo'lao'wan'zhuang'jin'mu'bi'hua 焦作老万庄金墓壁画
'jie'fang'ying'zi'liao'mu'bi'hua 解放营子辽墓壁画
'jin'dai'yu'yin'mu'bi'hua 金代虞寅墓壁画
'jin'hua'tai'ping'tian'guo'shi'wang'fu'bi'hua 金华太平天国侍王府壁画
'jin'tan'tai'ping'tian'guo'jian'zhu'cai'hui'xi'wen'hua 金坛太平天国建筑彩绘戏文画
'jiu'quan'ding'jia'zha'jin'mu'bi'hua 酒泉丁家闸晋墓壁画
'jiu'quan'shi'miao'zi'tan'wei'jin'mu'bi'hua 酒泉石庙子滩魏晋墓壁画
'jiu'quan'wen'shu'shan'shi'ku'bi'hua 酒泉文殊山石窟壁画
'jiu'quan'xia'he'qing'hao'han'mu'bi'hua 酒泉下河清号汉墓壁画
'jiu'quan'xia'he'qing'wu'ba'he'wei'jin'mu'bi'hua'zhuan 酒泉下河清五坝河魏晋墓壁画砖
'ka'shi'san'xian'dong'bi'hua 喀什三仙洞壁画
'kang'ying'zi'liao'mu'bi'hua 康营子辽墓壁画
'ke'xue'de'chun'tian'bi'hua 科学的春天壁画
'ku'che'ke'zi'er'duo'ha'qian'fo'dong'bi'hua 库车克孜尔朵哈千佛洞壁画
'ku'che'ke'zi'ka'la'han'shi'ku'bi'hua 库车克子喀拉罕石窟壁画
'ku'che'ku'mu'tu'la'shi'ku'bi'hua 库车库木吐喇石窟壁画
'ku'che'ma'zha'bo'ha'qian'fo'dong'bi'hua 库车玛扎伯哈千佛洞壁画
'ku'che'sen'mu'sai'mu'shi'ku'bi'hua 库车森木塞姆石窟壁画
'ku'che'su'ba'shi'fo'si'bi'hua 库车苏巴什佛寺壁画
'ku'lun'hao'liao'mu'bi'hua 库伦号辽墓壁画
'la'sa'bu'da'la'gong'bi'hua 拉萨布达拉宫壁画
'la'sa'da'zhao'si'bi'hua 拉萨大昭寺壁画
'la'sa'xiao'zhao'si'bi'hua 拉萨小昭寺壁画
'le'du'qu'tan'si'bi'hua 乐都瞿昙寺壁画
'li'guang'xiu'dan'mo'shan'shui'bi'hua 黎广修淡墨山水壁画
'li'jiang'bi'hua 丽江壁画
'li'jiang'da'bao'ji'gong'bi'hua 丽江大宝积宫壁画
'liang'shan'han'mu'bi'hua 梁山汉墓壁画
'liao'chen'guo'gong'zhu'mu'bi'hua 辽陈国公主墓壁画
'liao'han'yi'mu'bi'hua 辽韩佚墓壁画
'liao'mu'bi'hua 辽墓壁画
'liao'qing'ling'bi'hua 辽庆陵壁画
'liao'yang'bang'tai'zi'han'mu'bi'hua 辽阳棒台子汉墓壁画
'liao'yang'bang'tai'zi'hao'mu'bi'hua 辽阳棒台子号墓壁画
'liao'yang'bei'yuan'han'mu'bi'hua 辽阳北园汉墓壁画
'liao'yang'bei'yuan'hao'mu'bi'hua 辽阳北园号墓壁画
'liao'yang'e'fang'cun'hao'mu'bi'hua 辽阳鹅房村号墓壁画
'liao'yang'han'mu'bi'hua 辽阳汉墓壁画
'liao'yang'nan'xue'mei'cun'hao'mu'bi'hua 辽阳南雪梅村号墓壁画
'liao'yang'san'dao'hao'han'mu'bi'hua 辽阳三道壕汉墓壁画
'liao'yang'san'dao'hao'hao'mu'bi'hua 辽阳三道壕号墓壁画
'liao'yang'wei'jin'mu'bi'hua 辽阳魏晋墓壁画
'liao'yang'yao'chang'han'mu'bi'hua 辽阳窑厂汉墓壁画
'liao'zhao'de'jun'mu'bi'hua 辽赵德钧墓壁画
'ling'bao'jin'mu'bi'hua 灵宝晋墓壁画
'ling'shi'zi'shou'si'bi'hua 灵石资寿寺壁画
'luo'yang'ba'li'tai'han'mu'bi'hua 洛阳八里台汉墓壁画
'luo'yang'bei'wei'mu'bi'hua 洛阳北魏墓壁画
'luo'yang'xi'han'mu'bi'hua 洛阳西汉墓壁画
'ming'dai'si'guan'bi'hua 明代寺观壁画
'mu'shi'bi'hua 墓室壁画
'nai'dong'chang'zhu'si'bi'hua 乃东昌珠寺壁画
'nai'dong'zan'tang'si'bi'hua 乃东赞塘寺壁画
'nai'dong'ze'cuo'ba'si'bi'hua 乃东则错巴寺壁画
'nan'jing'ru'yi'li'tai'ping'tian'guo'bi'hua 南京如意里太平天国壁画
'nan'jing'tang'zi'jie'tai'ping'tian'guo'bi'hua 南京堂子街太平天国壁画
'nan'liang'jian'kang'yi'cheng'si'ao'tu'fa'bi'hua 南梁建康一乘寺凹凸法壁画
'nan'tang'qin'ling'bi'hua 南唐钦陵壁画
'nan'yang'gong'zhu'ci'bi'hua 南阳公主祠壁画
'ne'zha'nao'hai'bi'hua 哪吒闹海壁画
'nong'an'wan'jin'ta'ji'bi'hua 农安万金塔基壁画
'peng'xi'bao'fan'si'bi'hua 蓬溪宝梵寺壁画
'ping'ding'yuan'mu'bi'hua 平定元墓壁画
'ping'lu'zao'yuan'han'mu'bi'hua 平陆枣园汉墓壁画
'ping'shun'da'yun'yuan'bi'hua 平顺大云院壁画
