'a'hui 阿辉
'bai'guang 白光
'bi'han'wen 毕涵文
'bu'xi'deng'de'you'le'chang 不熄灯的游乐场
'cai'cai 菜菜
'ceng'jing'wei'yi 曾经唯一
'ceng'jing'wo'zhui'sui'ni'mu'guang 曾经我追随你目光
'chen'dao'ming 陈道明
'chen'fu 陈父
'chen'guan'ning 陈冠宁
'chen'jun'sheng 陈俊生
'chen'mu 陈母
'cheng'hong 程宏
'chuo'ni 啜妮
'cong'shen'me'shi'hou'kai'shi 从什么时候开始
'cui'bao'jian 崔宝剑
'duan'xiao'tian 段晓天
'er'jin'ni'tiao'wang'xiang'yuan'fang 而今你眺望向远方
'fan'mang'che'zhen'li 繁忙车阵里
'guan'xue'ying 关雪盈
'guo'tong'tong 郭彤彤
'hai'pa'ci'ke'de'xin'ji 害怕此刻的心悸
'he'han 贺涵
'hou'yan'song 侯岩松
'huang'jing 黄靖
'huang'lan 黄澜
'hui'qing'yi'bei'ni'kan'chuan 会轻易被你看穿
'jin'dong 靳东
'kan'ni'ben'xiang'wo'de'shen'ying 看你奔向我的身影
'kan'zhe'ni'li'qu'de'shen'ying 看着你离去的身影
'kan'zhe'ni'xiang'wo'ben'lai'wo'bu'neng'zi'ji 看着你向我奔来我不能自己
'kong'wei 孔维
'lao'jin 老金
'lei'jia'yin 雷佳音
'leng'jia'qing 冷佳清
'li'hong'lei 李宏磊
'li'lv'shi 李律师
'li'rui 李睿
'li'ruo'xi 李若溪
'ling'ling 凌玲
'lu'ling 陆玲
'luan'yuan'hui 栾元晖
'luo'luo 洛洛
'luo'ping 罗平
'luo'zi'jun 罗子君
'luo'zi'qun 罗子群
'ma'yi'li 马伊琍
'mei'ting 梅婷
'min'tian'hao 闵天浩
'ni'de'dian'hua'hao'ma'zong'hui'shi'shi'da'lai 你的电话号码总会适时打来
'ni'de'lian'wei'shen'me'hai'shi'na'me'qing'xi 你的脸为什么还是那么清晰
'ni'de'mu'guang 你的目光
'ni'de'suo'you'fu'yu'wo'cun'zai'de'rong'guang 你的所有赋予我存在的荣光
'ni'de'xiao 你的笑
'ni'hui'wei'wo'zhao'guo'lai 你会为我找过来
'pang'niu 胖妞
'pang'tuo'da'yu'li 滂沱大雨里
'ping'er 平儿
'qu'ling'zi 曲凌子
'ren'dong'lin 任东霖
'ren'ji'min 任济敏
'ru'tian 茹天
'shi'an 是安
'shi'chang'bu'jing'li 市场部经理
'shi'da'xin'di'fa'chu'de'leng'dan 是打心底发出的冷淡
'shi'wo'tai'tou'yang'wang'de'wei'yi'yang'guang 是我抬头仰望的唯一阳光
'shi'wo'yan'zhong'xing'fu'de'wei'yi'xing'zhuang 是我眼中幸福的唯一形状
'shui'jing'qiu'po'lie'na'ke 水晶球破裂那刻
'song'yun'hao 宋允皓
'su'man'shu 苏曼殊
'sun'yu'han 孙语涵
'tan'kai 谭凯
'tang'jing 唐晶
'wang'tian'ze 王天泽
'wei'shen'me'wo'de'xin'you'yi'xie'you'yi 为什么我的心有一些游移
'wei'wei'an 薇薇安
'wei'zhi'hao 魏之皓
'wo'bing'zhu'hu'xi 我屏住呼吸
'wo'de'xin'jiang'wo'chu'mai 我的心将我出卖
'wo'de'xin'you'xie'you'yi 我的心有些游移
'wo'gai'shi'xiang'he'fang 我该驶向何方
'wo'ling'zeng'wo'de'ren'shi'wang'le 我令憎我的人失望了
'wu'jun'mei 邬君梅
'wu'yue 吴越
'xi'guan'you'ni'zai 习惯有你在
'xiao'dong 小董
'xiao'xin'yi'yi 小心翼翼
'xu'cai'gen 徐才根
'xu'di 许娣
'xu'sheng 徐晟
'xuan'ze'le'yi'wang 选择了遗忘
'xue'zhen'zhu 薛甄珠
'ya'qin 亚琴
'yang'mei 杨梅
'yi'ni'wei'fang'xiang 依你为方向
'yi'shu 亦舒
'yin'wei'wo'huo'de'zhe'yang'hao 因为我活的这样好
'ying'ying 莺莺
'you'yi'si'si'qi'dai 有一丝丝期待
'yu'ming'jia 于明加
'yuan'quan 袁泉
'zhang'lan 张兰
'zhang'ling'xin 张龄心
'zhang'yan'yan 张棪琰
'zhang'yi 张衣
'zheng'luo'qian 郑罗茜
'zhuo'jian'qing 卓渐清
'zui'jia'de'bao'fu'bu'shi'chou'hen 最佳的报复不是仇恨
