'a'da'li'yan'nian 阿大李延年
'ai'cai'ci 爱菜词
'ba'bi'xi'feng'wu'xian'qing 把臂西风无限情
'ba'jiu'dui'yue'ge 把酒对月歌
'ba'kou'qi'nu'bing'gao'ji 八口妻孥并告饥
'ba'ling'fang'cao'meng'zhong'yan 灞陵芳草梦中烟
'ba'nu'zhong'chang'su'yi'bian 把奴衷肠诉一遍
'ba'ren'jing'jue 把人惊觉
'bai'ban'men'fei'hong'jin'li 白板门扉红槿篱
'bai'chi'song'shan'tie'di'qing 百尺松杉贴地青
'bai'fa 白发
'bai'fa'ying'yu'ji 白发映鱼矶
'bai'ge'luo'ri'shai'ke'yi 白舸落日晒客衣
'bai'hui'xie'fen'fang 百卉谢芬芳
'bai'le'tian'tu 白乐天图
'bai'lu'ling'man'cao 白露零蔓草
'bai'nian'zhang'yan'shu'qian'juan 百年障眼书千卷
'bai'ri'zhao'chun'yang 白日照春阳
'bai'wen'you'si'yi're'qian 百文游丝易惹牵
'ban'jing'xiang'dui'yu'lao'lao 班荆相对语劳劳
'ban'qu'xing'guan'yu'xia'pei 办取星冠与霞帔
'ban'xing'ban'zui'ri'fu'ri 半醒半醉日复日
'ban'zhu'qiu'xian'tu 版筑求贤图
'bao'dao'zhuang'bi'beng 宝刀装韠琫
'bao'se'yi'duan'feng'huang'yin 宝瑟已断凤皇吟
'bei'feng'zhe'mian'gua'qi'shuang 北风着面刮起霜
'ben'zi'dang'chan'mian 本自当缠绵
'ben'zou'shi'nian'cai'xie'jiao 奔走十年才歇脚
'bi'jing'kong'liu'mi'lu'yin 碧井空留麋鹿饮
'bi'lin'e'ya'dui'qi'er 比邻鹅鸭对妻儿
'bi'shang'xing'lian'ying 壁上形怜影
'bi'yan'sheng'ya'ku'shi'jian 笔砚生涯苦食艰
'bie'hou'xiang'si'shi'ji'shi 别后相思是几时
'bie'ren'xiao'wo'tei'feng'dian 别人笑我忒疯癫
'bing'gu'xiao'tiao'jiu'zhan'shu 病骨萧条酒盏疏
'bing'shuang'sui'yu'mu 冰霜岁聿暮
'bing'xian'yi'ru'zhi 冰霰义如至
'bing'zhu'ye'you 秉烛夜游
'bo'hu'ban'qi'er'zuo'shi'pian'jiu 伯虎扮乞儿作诗骗酒
'bo'mu'shan'chi'feng'ri'he 薄暮山池风日和
'bo'tao'bu'zuo'wu'yuan'xin 波涛不作无怨心
'bo'xing'bu'lai 薄幸不来
'bu'dao'da'hai'bu'hui'tou 不到大海不回头
'bu'fang'di'shang'you'wei'bing 不妨地上有微冰
'bu'jian'gu'ren'ai'gu'wu 不见古人爱古物
'bu'jian'wu'ling'hao'jie'mu 不见五陵豪杰墓
'bu'jiao'shen'ting'ling'lin'yu 不教审听铃淋雨
'bu'qi'zhu'chuang'tou'si'xue 不起竹床头似雪
'bu'ru'lu'hua'shui'qing'qian 不如芦花水清浅
'bu'ru'ping'yuan'cai'duan'xin 不如平原采短薪
'bu'shao'gao'zhu'zhao'fang'zun 不烧高烛照芳樽
'bu'xin'si'hua'sheng'huo'ren 不信死花胜活人
'bu'xu'chao'guan'yin'qi'lai 不许朝官引骑来
'bu'yi'na'na'fa'xing'xing 布衣衲衲发星星
'bu'you'ren'bu'ru'dai'si'chi 不由人不如呆似痴
'bu'yuan'ju'gong'che'ma'qian 不愿鞠躬车马前
'bu'zai'chao'ting'zai'ye'ren 不在朝廷在野人
'bu'zhi'xie'ri'luo'ping'chuan 不知斜日落平川
'bu'zui'ge'wu'fan 不醉歌毋返
'cai'feng'gu'fei'cai'feng'gu'qi 彩凤孤飞彩凤孤栖
'cai'xi'xi'qian'yi 彩戏膝前衣
'cai'zhi'wei'xi'bu'ke'qing 菜之味兮不可轻
'can'chun'xie'wa'shi'dong'guo 残春鞋袜试东郭
'can'dian'an'ma'ta'xie'xun 骖驔鞍马踏斜曛
'cang'lang'die'chang'fang'kou'xian 沧浪迭唱仿扣舷
'cao'li'gao'di'duo'shao'fen 草里高低多少坟
'cao'wu'chai'men'wu'dian'chen 草屋柴门无点尘
'ceng'ba'liu'li'chen'ming'zhu 曾把流离陈明主
'ceng'zhao'wu'wang'xi'zi'yan 曾照吴王西子颜
'chai'chui'bao'ji'shen'jiao'xiu 钗垂宝髻甚娇羞
'chai'men'liu'shui'sheng'chan'yuan 柴门流水声潺湲
'chai'men'shen'yan'xue'yang'yang 柴门深掩雪洋洋
'chang'chang'ci 怅怅词
'chang'chang'mo'guai'shao'shi'nian 怅怅莫怪少时年
'chang'xia'shan'cun'shi'xing'you 长夏山村诗兴幽
'chang'you'you 长悠悠
'chang'zhou'yuan'nei'rao'chun'se 长洲苑内饶春色
'chao'li'guan'duo'zuo'bu'liao 朝里官多做不了
'che'chen'ma'zu'fu'zhe'qu 车尘马足富者趣
'che'zhi'ma'bu'xuan 车窒马不旋
'chen'dan'duo'zai'bi'quan'tou 趁淡多在碧泉头
'chen'shui'ning'yan'deng'tu'yan 沉水凝烟灯吐焰
'chi'yi'yi'qu'jing'qian'nian 鸱夷一去经千年
'chong'lou'fu'ge'hui'jin'bi 重楼复阁辉金碧
