'duan'xing'cheng 短行程
'fei'yuan'xing'kong'heng'mo 非圆形孔珩磨
'heng'mo'tou 珩磨头
'heng'mo'ye 珩磨液
'jiao'heng 铰珩
'jing'xiang'zhang'kai 径向涨开
'kong'yun'xing 空运行
'li'shou'kong 力受控
'qi'dong'ce'liang 气动测量
'sha'tiao 砂条
'sha'tiao'zuo 砂条座
'shang'huan'xiang'dian 上换向点
'shua'heng'mo 刷珩磨
'tie'kao 贴靠
'wei'shou'kong 位受控
'xia'huan'xiang'dian 下换向点
'yi'jing'kong'heng'mo 异径孔珩磨
'zai'xian'ce'liang 在线测量
