'ba'bai 捌佰
'ba'bai'wan 捌佰万
'ba'fen 捌分
'ba'jiao 捌角
'ba'jiao'zheng 捌角整
'ba'qian 捌仟
'ba'qian'wan 捌仟万
'ba'shi 捌拾
'ba'shi'wan 捌拾万
'ba'wan 捌万
'ba'yuan 捌元
'er'bai 贰佰
'er'bai'wan 贰佰万
'er'fen 贰分
'er'jiao 贰角
'er'jiao'zheng 贰角整
'er'qian 贰仟
'er'qian'wan 贰仟万
'er'shi 贰拾
'er'shi'wan 贰拾万
'er'wan 贰万
'er'yuan 贰元
'jiu'bai 玖佰
'jiu'bai'wan 玖佰万
'jiu'fen 玖分
'jiu'jiao 玖角
'jiu'jiao'zheng 玖角整
'jiu'qian 玖仟
'jiu'qian'wan 玖仟万
'jiu'shi 玖拾
'jiu'shi'wan 玖拾万
'jiu'wan 玖万
'jiu'yuan 玖元
'ling'ba'bai 零捌佰
'ling'ba'shi 零捌拾
'ling'ba'yuan 零捌元
'ling'er'bai 零贰佰
'ling'er'shi 零贰拾
'ling'er'yuan 零贰元
'ling'jiu'bai 零玖佰
'ling'jiu'shi 零玖拾
'ling'jiu'yuan 零玖元
'ling'liu'bai 零陆佰
'ling'liu'shi 零陆拾
'ling'lu'yuan 零陆元
'ling'qi'bai 零柒佰
'ling'qi'shi 零柒拾
'ling'qi'yuan 零柒元
'ling'san'bai 零叁佰
'ling'san'shi 零叁拾
'ling'san'yuan 零叁元
'ling'si'bai 零肆佰
'ling'si'shi 零肆拾
'ling'si'yuan 零肆元
'ling'wu'bai 零伍佰
'ling'wu'shi 零伍拾
'ling'wu'yuan 零伍元
'ling'yi'bai 零壹佰
'ling'yi'shi 零壹拾
'ling'yi'yuan 零壹元
'liu'bai 陆佰
'liu'bai'wan 陆佰万
'liu'qian 陆仟
'liu'qian'wan 陆仟万
'liu'shi 陆拾
'liu'shi'wan 陆拾万
'liu'wan 陆万
'lu'fen 陆分
'lu'jiao 陆角
'lu'jiao'zheng 陆角整
'lu'yuan 陆元
'qi'bai 柒佰
'qi'bai'wan 柒佰万
'qi'fen 柒分
'qi'jiao 柒角
'qi'jiao'zheng 柒角整
'qi'qian 柒仟
'qi'qian'wan 柒仟万
'qi'shi 柒拾
'qi'shi'wan 柒拾万
'qi'wan 柒万
'qi'yuan 柒元
'san'bai 叁佰
'san'bai'wan 叁佰万
'san'fen 叁分
'san'jiao 叁角
'san'jiao'zheng 叁角整
'san'qian 叁仟
'san'qian'wan 叁仟万
'san'shi 叁拾
'san'shi'wan 叁拾万
'san'wan 叁万
'san'yuan 叁元
'si'bai 肆佰
'si'bai'wan 肆佰万
'si'fen 肆分
'si'jiao 肆角
'si'jiao'zheng 肆角整
'si'qian 肆仟
'si'qian'wan 肆仟万
'si'shi 肆拾
'si'shi'wan 肆拾万
'si'wan 肆万
'si'yuan 肆元
'wu'bai 伍佰
'wu'bai'wan 伍佰万
'wu'fen 伍分
'wu'jiao 伍角
'wu'jiao'zheng 伍角整
'wu'qian 伍仟
'wu'qian'wan 伍仟万
'wu'shi 伍拾
'wu'shi'wan 伍拾万
'wu'wan 伍万
'wu'yuan 伍元
'yi'bai 壹佰
'yi'bai'wan 壹佰万
'yi'fen 壹分
'yi'jiao 壹角
'yi'jiao'zheng 壹角整
'yi'qian 壹仟
'yi'qian'wan 壹仟万
'yi'shi 壹拾
'yi'shi'wan 壹拾万
'yi'wan 壹万
'yi'yuan 壹元
