'an'leng'tie 暗冷铁
'an'mao'kou 暗冒口
'ao'shi'ti'zhu'gang 奥氏体铸钢
'ao'shi'ti'zhu'tie 奥氏体铸铁
'ba'shi'he'jin 巴氏合金
'ba'zha 扒渣
'bai'bian'guo'hou 白边过厚
'bai'kou'zhu'tie 白口铸铁
'bai'ni 白泥
'bai'xin'ke'duan'zhu'tie 白心可锻铸铁
'bai'zha 白渣
'ban'feng'bi'shi'jiao'zhu'xi'tong 半封闭式浇注系统
'ban'gu'tai'zhu'zao 半固态铸造
'bao'cun'xing'xing'sha 保存性型砂
'bao'hu'qi'fen'jiao'zhu 保护气氛浇注
'bao'wen'lu 保温炉
'bao'wen'mao'kou 保温冒口
'bao'ya'shi'jian 保压时间
'bao'ya'ya'li 保压压力
'bei'sha 背砂
'bei'shao 焙烧
'bei'shi'ti'bai'kou'zhu'tie 贝氏体白口铸铁
'bei'shi'ti'qiu'mo'zhu'tie 贝氏体球墨铸铁
'bei'shi'ti'zhu'tie 贝氏体铸铁
'ben'ti'shi'yang 本体试样
'bi'jiao'zhu'su'du 比浇注速度
'bian'zhi 变质
'bian'zhi'ji 变质剂
'biao'mian'an'ding'xing 表面安定性
'biao'mian'cu'cao 表面粗糙
'biao'mian'hong'gan'xing 表面烘干型
'biao'mian'que'xian 表面缺陷
'biao'mian'tuo'tan 表面脱碳
'biao'mian'zhen'kong 表面针孔
'biao'zhun'sha 标准砂
'bu'lu 补炉
'bu'ping'fen'xing'mian 不平分型面
'bu'suo 补缩
'bu'suo'tong'dao 补缩通道
'bu'tie 补贴
'bu'xin'gao 补芯膏
'bu'xiu'gang 不锈钢
'bu'yang'hua'rong'lian'fa 不氧化熔炼法
'bu'zhu 补注
'ca'xi'sha 擦洗砂
'cai'hua'tou 菜花头
'can'liu'qiang'du 残留强度
'can'liu'ying'li 残留应力
'can'que'lei'que'xian 残缺类缺陷
'can'yu'ying'li 残余应力
'ce'mao'kou 侧冒口
'ceng'jiao 层焦
'cha're'fen'xi 差热分析
'cha'ya'zhu'zao 差压铸造
'chang'xiao'bian'zhi'ji 长效变质剂
'chao'gao'qiang'du'zhu'gang 超高强度铸钢
'chao'su'ning'gu 超速凝固
'chao'zhong 超重
'chen'jiang'fen'xuan 沉降分选
'chen'zha 沉渣
'cheng'fen'guo'leng 成分过冷
'cheng'fen'zu'zhi'ji'xing'neng'bu'he'ge'lei'que'xian 成分组织及性能不合格类缺陷
'cheng'xing'xing 成型性
'chi'cun'bu'he'ge 尺寸不合格
'chi'sha'liang 吃砂量
'chong'sha 冲砂
'chong'sha 舂砂
'chong'shi'xing 舂实性
'chong'tian'lu 冲天炉
'chong'tian'lu'jia'liao'ji 冲天炉加料机
'chong'tian'lu'jian'kong'yi 冲天炉检控仪
'chong'tian'lu'lu'qian'kong'zhi 冲天炉炉前控制
'chong'tian'lu'te'xing'qu'xian 冲天炉特性曲线
