'bian'zou'qu'shi 变奏曲式
'dan'er'bu 单二部
'dan'san'bu 单三部
'duo'chong'fu'yue'duan 多重复乐段
'fang'zheng'xing'jie'gou 方整性结构
'fu'er'bu 复二部
'fu'san'bu 复三部
'fu'yue'duan 复乐段
'hui'xuan'qu'shi 回旋曲式
'hui'xuan'zou'ming'qu'shi 回旋奏鸣曲式
'shu'tiao 属调
'tao'qu'qu'shi 套曲曲式
'yue'duan 乐段
'yue'jie 乐节
'yue'ju 乐句
'zhong'zhi'shi 终止式
'zhu'diao 主调
'zou'ming'qu'shi 奏鸣曲式
