'an'shi'zhi'luan 安史之乱
'bai'di 白堤
'bai'liu'li 白琉璃
'bai'ma'si 白马寺
'bao'mi'hua 爆米花
'bu'bing'xiao'wei 步兵校尉
'bu'nian'tu 步辇图
'bu'she'zhe'shuo 捕蛇者说
'bu'xie 布鞋
'cai'hong 彩虹
'cao'cao 曹操
'cao'hai'dan 草还丹
'cen'shen 岑参
'chang'an 长安
'chang'hen'ge 长恨歌
'chen'xuan'zang 陈玄奘
'cheng'zhi'jie 程知节
'chui'niu'wang 吹牛王
'chun'jiang'shui'nuan'ya'xian'zhi 春江水暖鸭先知
'chun'jie 春节
'chun'wang 春望
'chun'xiao'yi'ke'zhi'qian'jin 春宵一刻值千金
'ci'hen'mian'mian'wu'jue'qi 此恨绵绵无绝期
'ci'wei 刺猬
'da'bian'fu 大蝙蝠
'da'cheng'fo'fa 大乘佛法
'da'tang'xi'yu'ji 大唐西域记
'da'zao'ji'qiao 打造技巧
'di'ren'jie 狄仁杰
'du'fu 杜甫
'du'gong'bu 杜工部
'du'kang 杜康
'du'mu 杜牧
'du'ru'hui 杜如晦
'duo'a'meng 哆啦梦
'duo'shan 躲闪
'fang'cun'shan 方寸山
'fang'xuan'ling 房玄龄
'fen'zhong 分钟
'guang'ling'san 广陵散
'gui'cheng'xiang 龟丞相
'guo'se'tian'xiang 国色天香
'guo'zi'yi 郭子仪
'hai'xiao 海啸
'han'yu 韩愈
'hao'fang'pai 豪放派
'hao'ran 浩然
'hua'dian 花钿
'huai'su 怀素
'huang'chao 黄巢
'huang'he'zhi'shui'tian'shang'lai 黄河之水天上来
'huang'li 黄历
'jia'dao 贾岛
'jian'guan'ying'yu'hua'di'hua 间关莺语花底滑
'jian'shen'shu 健身术
'jian'zhen 鉴真
'jiang'nan'chun 江南春
'jiao'hua 狡猾
'jiao'shi 教师
'jin'gang'jing 金刚经
'jue'ju 绝句
'jun'bu'jian 君不见
'lai'jun'chen 来俊臣
'lan'tian'ri'nuan'yu'sheng'yan 蓝田日暖玉生烟
'lang'tao'feng'bo'zi'tian'ya 浪淘风簸自天涯
'li'bai 李白
'li'chun'feng 李淳风
'li'ji 李绩
'li'lin'fu 李林甫
'li'long'ji 李隆基
'li'mao 李瑁
'li'mi 厘米
'li'shang'yin 李商隐
'li'yuan 李渊
'lian'jin'shu 炼金术
'ling'yan'ge 凌烟阁
'liu'gong'quan 柳公权
'liu'shu 柳树
'liu'yong 柳永
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'lu'dong'zan 禄东赞
'lu'shan 庐山
'luo'bin'wang 骆宾王
'luo'yang 洛阳
'ma'fang 马芳
'mei'ge'yue 每个月
'mi'lu 麋鹿
'miao'bi 妙笔
'mo'li'hua 茉莉花
'mo'wang'zhai 魔王寨
'ni'shang'yu'yi'qu 霓裳羽衣曲
'ni'ye'lai'le 你也来了
'pi'shuang 砒霜
'pian'wen 骈文
'ping'xing'xian 平行线
'pu'bu 瀑布
'pu'sa'man 菩萨蛮
'pu'tuo'shan 普陀山
'qi'yan 七言
'qian'gu'yi'di 千古一帝
'qian'li'jiang'ling'yi'ri'huan 千里江陵一日还
'qiang'shen'shu 强身术
'qiao'ke'li'bang 巧克力棒
'qin'qiong 秦琼
'qin'wang 秦王
