'gui'meng'ji'wu'qiang 归梦寄吴樯
'gui'zhi'ning'wu'wu'mu'yuan 归志宁无五亩园
'han'gong'chun 汉宫春
'he'fang'ke'hua'shen'qian'yi 何方可化身千亿
'he'kuang'jin'zhao'qiu'se'li 何况今朝秋色里
'he'rong'zhao'xia'shi'wu'nian 和戎诏下十五年
'he'shi'you'zuo'nan'lai 何事又作南来
'hong'su'shou 红酥手
'hu'er'gan'zuo'qian'nian'ji 胡儿敢作千年计
'hu'shan'sheng'chu'fang'weng'jia 湖山胜处放翁家
'hu'wei'mie 胡未灭
'hua'bin'xing'xing 华鬓星星
'hua'deng'zong'bo 华灯纵博
'hua'fa'cang'yan'xiu'zi'zhao 华发苍颜羞自照
'hua'shi'wan'ren'le'chu 花时万人乐处
'huai'liu'yin'zhong'ye'jing'xie 槐柳阴中野径斜
'huan'jin'jiu'ren 换尽旧人
'huan'qing'bo 欢情薄
'huang'jin'cuo'dao'bai'yu'zhuang 黄金错刀白玉装
'huang'teng'jiu 黄縢酒
'ji'ba'li'zun 几把离尊
'ji'chu'jin'xiao'chui'lei'hen 几处今宵垂泪痕
'ji'mo'kai'wu'zhu 寂寞开无主
'ji'nian'li'suo 几年离索
'ji'qu'jiang'hu'bo'chuan'chu 记取江湖泊船处
'jia'chu'piao'miao'zhu'wei'lou 佳处缥缈著危楼
'jia'ji'wu'wang'gao'nai'weng 家祭无忘告乃翁
'jia'lu'sang'ma'xing'bu'jin 夹路桑麻行不尽
'jia'rui'tian'jiao'ji'sui'chu 嘉瑞天教及岁除
'jia'zai'diao'tai'xi'zhu 家在钓台西住
'jia'zhu'cang'yan'luo'zhao'jian 家住苍烟落照间
'jian'men'dao'zhong'yu'wei'yu 剑门道中遇微雨
'jiang'bian'yu'fu 江边渔父
'jiang'hu'lang'ji'yi'sha'ou 江湖浪迹一沙鸥
'jiang'hu'shang 江湖上
'jiang'jun'bu'zhan'kong'lin'bian 将军不战空临边
'jiang'tou'ri'mu'tong'yin 江头日暮痛饮
'jiang'tou'yue'di 江头月底
'jiang'wo'gu'cun'bu'zi'ai 僵卧孤村不自哀
'jiang'zuo'zhan'xing'sheng 江左占形胜
'jiao'qin'san'luo'ru'yun 交亲散落如云
'jie'duan'yan'jin 截断烟津
'jie'hu'ping'chuan 截虎平川
'jie'you'jin'hao'ying 结友尽豪英
'jin'cuo'dao'xing 金错刀行
'jin'dao'jin'li'fan'hua 尽道锦里繁华
'jin'nian'cui'tui'zui'kan'xiao 今年摧颓最堪笑
'jin'shu'nan'tuo 锦书难托
'jin'zhao'yi'sui'da'jia'tian 今朝一岁大家添
'jing'can'gu'meng 惊残孤梦
'jing'hu'yuan'zi'shu'xian'ren 镜湖元自属闲人
'jing'hua'jie'jiao'jin'qi'shi 京华结交尽奇士
'jing'li'liu'nian'liang'bin'can 镜里流年两鬓残
'jing'li'zhu'yan 镜里朱颜
'jing'wu'yao'luo'gu'yuan'qiu 井梧摇落故园秋
'jing'zhuang'zhi'cheng'xu 惊壮志成虚
'jiu'ma'fei'si'gong'duan'xian 厩马肥死弓断弦
'jiu'ru'qing'lu'zha'ru'hua 酒如清露鲊如花
'jiu'she'diao'ling 旧社凋零
'jiu'su'fang'chu'yao 旧俗方储药
'jiu'tu'yi'ban'qu'feng'hou 酒徒一半取封侯
'juan'ba'huang'ting'wo'kan'shan 卷罢黄庭卧看山
'jue'zhi'ci'shi'yao'gong'xing 绝知此事要躬行
'jun'en'ci'yu 君恩赐与
'kan'chong'yang'yao'shi 看重阳药市
'kan'long'she'fei'luo'man'jian 看龙蛇飞落蛮笺
'kan'xiao'yu'gong'bu'zi'liang 堪笑愚公不自量
'kong'chang'wang 空怅望
'kuai'mei'gu'xiang 鲙美菰香
'kuang'ban'shi 况半世
'kuang'ken'dao'hong'chen'shen'chu 况肯到红尘深处
'la'feng'ye'ban'chuan'xi 蜡封夜半传檄
'lan'xiang'qing'men'xue'zhong'gua 懒向青门学种瓜
'lang'feng'ye'ju 狼烽夜举
'lang'tao'sha 浪淘沙
'lao'qu'xing'rong'sui'bian'gai 老去形容虽变改
'lao'que'ying'xiong'si'deng'xian 老却英雄似等闲
'lao'zi'you'kan'jue'da'mo 老子犹堪绝大漠
'lei'hen'hong'yi'jiao'xiao'tou 泪痕红浥鲛绡透
'lei'kong'liu 泪空流
'lei'qu'yi'dian'dan 羸躯亦点丹
'li'yu'qu'ren'wan'huo'niu 利欲驱人万火牛
'lian'shan'ru'hua 连山如画
'lie'sheng'ren'en'shen'yu'lu 列圣仁恩深雨露
'lin'an'chun'yu'chu'ji 临安春雨初霁
'lin'li'zui'mo 淋漓醉墨
'lin'ying'chao'yan'zong'wu'sheng 林莺巢燕总无声
'ling'luo'cheng'ni'nian'zuo'chen 零落成泥碾作尘
'liu'an'hua'ming'you'yi'cun 柳暗花明又一村
'liu'hua'hu'yi'fan 榴花忽已繁
'liu'nian'gai 流年改
'lou'sheng'duan 漏声断
'lu'ou'ya 舻呕哑
'lu'zhan'cao 露沾草
'lv'shu'an'chang'ting 绿树暗长亭
'lv'yun'dui'yi'zhen 绿云堆一枕
'mai'yu'sheng'pa'jin'cheng'men 卖鱼生怕近城门
'man'bei'ge 漫悲歌
'man'cheng'chun'se'gong'qiang'liu 满城春色宫墙柳
'mang'mang'meng'jing 茫茫梦境
'mao'yan'ren'jing 茅檐人静
'mei'hua'jue'ju 梅花绝句
'meng'duan'gu'guo'shan'chuan 梦断故国山川
'meng'duan'xiang'xiao'si'shi'nian 梦断香消四十年
'meng'po'nan'lou 梦破南楼
'ming'chao'zeng'fu'kong 明朝甑复空
'ming'yu'han'jiang'liu 名与汉江流
'mo'mie'you'ren'wu'shu 磨灭游人无数
'mo'nian'shen'shi'ji'nong'sang 莫年身世寄农桑
'mo'xiao'nong'jia'la'jiu'hun 莫笑农家腊酒浑
'mu'bi'you'kai'di'yi'hua 木笔犹开第一花
'mu'lan'hua 木兰花
'mu'yan'qian'zhang 暮烟千嶂
'mu'zi'xiang'chi'ku 母子相持哭
'nan'lin'geng'ke'nian 南邻更可念
'nan'shan'xiao'xue'yu'lin'xun 南山晓雪玉嶙峋
'nan'wang'wang'shi'you'yi'nian 南望王师又一年
'nan'xiang'zi 南乡子
'ni'hu'wei'mie'xin'wei'ping 逆胡未灭心未平
'nian'ci'ji 念此际
'nian'lei'lei'ku'zhong 念累累枯冢
'nian'nian'zi'fen'zhe'hua'chi 年年自分着花迟
'peng'chuang'deng'an 蓬窗灯暗
'pi'ma'shu'liang'zhou 匹马戍梁州
'pian'pian'qing'ou'luo'wan'sha 片片轻鸥落晚沙
'piao'ran'ji'lv 飘然羁旅
'ping'gao'lei'jiu 凭高酹酒
'ping'zhang'feng'yue 平章风月
'po'jin'qing'shan'chen'man'mao 破尽青衫尘满帽
'po'yi'meng'hui'deng'yu'si 破驿梦回灯欲死
'qi'lv'liang'jiao'yu'dao'di 骑驴两脚欲到地
'qi'mao'chui'bian 欹帽垂鞭
'qi'wei'zhang'gou'xi 岂惟涨沟溪
'qi'you'ni'hu'chuan'zi'sun 岂有逆胡传子孙
'qi'you'tang'tang'zhong'guo'kong'wu'ren 岂有堂堂中国空无人
'qian'li'yao'ge'jia 千里曜戈甲
'qian'nian'kuai'jing'dong'hai'shang 前年脍鲸东海上
'qian'nian'shi'ce'chi'wu'ming 千年史册耻无名
'qian'ou'hai'cong'fu'lao'geng 千耦还从父老耕
'qin'yuan'chun 沁园春
'qing'chou'zi'zui 清愁自醉
'qing'chuang'xi'ru'xi'fen'cha 晴窗细乳戏分茶
'qing'hai'ji 青海际
'qing'lei'yi'luo'jin 清泪浥罗巾
'qing'men'jun'you'shui'ji 青门俊游谁记
'qing'shan'chu'ru'jiu'chong'cheng 青衫初入九重城
'qing'shang'yuan 清商怨
'qing'zhou'ba'chi 轻舟八尺
'qiu'bo'mei 秋波媚
'qiu'dao'bian'cheng'jiao'sheng'ai 秋到边城角声哀
'qiu'feng'you'qi 秋风又起
'qiu'si 秋思
'qiu'ye'jiang'xiao'chu'li'men'ying'liang'you'gan'er'shou 秋夜将晓出篱门迎凉有感二首
'qu'jiang'chi'guan 曲江池馆
'qu'nian'she'hu'nan'shan'qiu 去年射虎南山秋
'que'fan'pian'zhou'wu'chu 却泛扁舟吴楚
'que'kong'ta'xiang'sheng'gu'xiang 却恐他乡胜故乡
'que'qiao'xian 鹊桥仙
'ran'jin'hu'bian'shu 染尽湖边树
'ran'ran'nian'hua'liu'bu'zhu 冉冉年华留不住
'ren'kong'shou 人空瘦
'ren'shi'chun'feng'bu'guan 任是春风不管
'ren'shuai'can 任衰残
'ren'wu'xu 人误许
'ri'chang'si'sui'xian'fang'jue 日长似岁闲方觉
'ri'xie'wu'shi'bi 日斜吾事毕
'san'dong'zan'jiu'ru'sheng'xue 三冬暂就儒生学
'san'nian'liu'luo'ba'shan'dao 三年流落巴山道
'san'shi'cong'jun'jin'bai'fa 三十从军今白发
'san'wan'li'he'dong'ru'hai 三万里河东入海
'san'yue'shi'qi'ri'ye'zui'zhong'zuo 三月十七日夜醉中作
'sha'tou'kong'zhao'zheng'ren'gu 沙头空照征人骨
'shan'chong'shui'fu'yi'wu'lu 山重水复疑无路
'shan'meng'sui'zai 山盟虽在
'shan'yi'qi'liang 山驿凄凉
'shang'huai'diao'gu 伤怀吊古
'shang'shi'shi'liu'ti'zun'qian 尚时时流涕尊前
'shang'si'wei'guo'shu'lun'tai 尚思为国戍轮台
'shang'xin'qiao'xia'chun'bo'lv 伤心桥下春波绿
'shao'du'shi'shu'lou'han'tang 少读诗书陋汉唐
'shao'zhuang'gong'fu'lao'shi'cheng 少壮工夫老始成
'shen'lao'cang'zhou 身老沧洲
'shen'ru'xi'rang'du'tou'yun 身如西瀼渡头云
'shen'shi'xing'ren 身是行人
'shen'xian'xu'shi'xian'ren'zuo 神仙须是闲人做
'shen'xiang'ming'chao'mai'xing'hua 深巷明朝卖杏花
'shen'yuan'er'shou 沈园二首
'shen'yuan'fei'fu'jiu'chi'tai 沈园非复旧池台
'shen'yuan'liu'lao'bu'chui'mian 沈园柳老不吹绵
'shi'da'ru'tian'zui'yi'xiu 事大如天醉亦休
'shi'dai'yin'fan'pan'zui'dao 试戴银旛判醉倒
'shi'er 示儿
'shi'fen'leng'dan'xin'chang 十分冷淡心肠
'shi'jun'hong'fang 使君宏放
'shi'qing'jiang'lue 诗情将略
'shi'ren'cuo'ba'bi'yan'guang 时人错把比严光
'shi'wei'nian'lai'bo'si'sha 世味年来薄似纱
'shi'yi'juan'ping'lu 势已卷平陆
'shi'yi'shi 时易失
'shi'yi'yue'si'ri'feng'yu'da'zuo'er'shou 十一月四日风雨大作二首
'shi'yue'er'shi'ba'ri'feng'yu'da'zuo 十月二十八日风雨大作
'shi'zhi'shen'shi'tai'ping'ren 始知身是太平人
'shi'zi'cu'kan'gong'fu'yi 识字粗堪供赋役
'shu'fen'er'shou 书愤二首
'shu'fen'wu'shou 书愤五首
'shu'lou'diao'dou'cui'luo'yue 戍楼刁斗催落月
'shu'zi'du'qian'zai 叔子独千载
'shuai'chi'ba'shi'rong'yi'zhai 衰迟罢试戎衣窄
'shuang'bin'xiang'ren'wu'zai'qing 双鬓向人无再青
'shuang'shuang'xin'yan'fei'chun'an 双双新燕飞春岸
'shuang'tou'lian 双头莲
'shui'diao'ge'tou 水调歌头
'shui'ji'dang'nian'hao'ju 谁记当年豪举
'shui'jiao'han'deng'li 睡觉寒灯里
'shui'lai'shui'gong'wu'ou'cha 睡来谁共午瓯茶
'shui'liao'ru'jin'xiu'shou'kan 谁料如今袖手看
'shui'ling'qi'ma'ke'jing'hua 谁令骑马客京华
'shui'man'you'shi'guan'xia'lu 水满有时观下鹭
'shui'yi'jiang'cheng'qu'lu'chang 水驿江程去路长
'shui'zhi'de'jiu'shang'neng'kuang 谁知得酒尚能狂
'si'hao'chen'shi'bu'xiang'guan 丝毫尘事不相关
'si'qu'you'neng'zuo'gui'xiong 死去犹能作鬼雄
'si'qu'yuan'zhi'wan'shi'kong 死去元知万事空
'si'shan'sheng'zuo'hai'tao'fan 四山声作海涛翻
'su'yi'mo'qi'feng'chen'tan 素衣莫起风尘叹
'su'zhong'qing 诉衷情
'sui'fang'qiu 岁方秋
'suo'wang'ming'nian'shu 所望明年熟
'ta'shi'xiang'yu'zhi'he'chu 他时相遇知何处
'tai'hang'wang'wu'he'you'dong 太行王屋何由动
'tai'xi'yan'ran'wei'le'ming 太息燕然未勒铭
'tan'guan'xian'zhou'yong 叹官闲昼永
'tan'liu'nian 叹流年
'tan'wang'shi 叹往事
'tan'wei'yao'dai'sheng 叹围腰带剩
'tan'xi'lao'lai'jiao'jiu'jin 叹息老来交旧尽
'tan'xiao'ao 贪啸傲
'tan'xiao'xi'jin'gu'jin'chou 谈笑洗尽古今愁
'tan'ya'jiang'shan 弹压江山
'tao'hua'luo 桃花落
'te'di'mu'yun'kai 特地暮云开
'ti'dao'du'li'gu'ba'huang 提刀独立顾八荒
'tian'yi'ning'zhi'yi'ri'hui 天意宁知一日回
'tiao'tiao'tian'han'xi'nan'luo 迢迢天汉西南落
'tie'ma'bing'he'ru'meng'lai 铁马冰河入梦来
'tie'qi'wu'sheng'wang'si'shui 铁骑无声望似水
'tui'yuan'ye'yue'luo'yang'gong 颓垣夜月洛阳宫
'tuo'long'yi'guo'tou'fan'sun 箨龙已过头番笋
'tuo'mao'xiang'ren'shi'da'jiao 脱帽向人时大叫
'wan'zao'su'pi'xiu 万灶宿貔貅
'wang'hou'lou'yi 王侯蝼蚁
'wang'qin'guan'he'chu 望秦关何处
'wang'shi'bei'ding'zhong'yuan'ri 王师北定中原日
'wang'shi'yi'sun'liu 往事忆孙刘
'wen'dao'mei'hua'che'xiao'feng 闻道梅花坼晓风
'wen'ge'gan'jiu 闻歌感旧
