'an'bing 岸冰
'bai'shuang 白霜
'beng'tan 崩坍
'bian'bing 边冰
'bing'ba 冰坝
'bing'beng 冰崩
'bing'ceng'yong'shui 冰层涌水
'bing'chuan 冰川
'bing'chuan'bing 冰川冰
'bing'chuan'hong'shui 冰川洪水
'bing'chuan'jing'ping'heng 冰川净平衡
'bing'chuan'lie'xi 冰川裂隙
'bing'chuan'ping'heng'xian 冰川平衡线
'bing'chuan'xue 冰川雪
'bing'chuan'xue 冰川学
'bing'de'sheng'hua 冰的升华
'bing'dong'xue 冰冻学
'bing'feng 冰封
'bing'gai 冰盖
'bing'gou 冰沟
'bing'gu 冰谷
'bing'guan 冰冠
'bing'he'shi'dai 冰河时代
'bing'hua 冰花
'bing'jiao 冰礁
'bing'ku'long 冰窟窿
'bing'lei 冰垒
'bing'li 冰粒
'bing'lie 冰裂
'bing'long'xing'cheng 冰垅形成
'bing'qi 冰期
'bing'qing'jie'duan 冰情阶段
'bing'qing'yu'bao 冰情预报
'bing'shan 冰山
'bing'shang'bing 冰上冰
'bing'wan 冰丸
'bing'xi 冰隙
'bing'xie 冰屑
'bing'xue 冰穴
'bing'xue'quan 冰雪圈
'bing'xue'shui'wen'xue 冰雪水文学
'bing'zhuang'bing 饼状冰
'bing'zu 冰阻
'bo'bing'mo 薄冰膜
'bo'hen 波痕
'bo'wen 波纹
'ce'xue'ban 测雪板
'ce'xue'chi 测雪尺
'ce'xue'dian 测雪垫
'ce'xue'ji 测雪计
'ce'xue'lu'xian 测雪路线
'chen'xue 陈雪
'chui'xue'dui 吹雪堆
'dao'hang'xian 导航线
'deng'xue'shen'xian 等雪深线
'di'bing 底冰
'dong'jie 冻结
'dui'ji 堆积
'fen'mo'xue 粉末雪
'feng'bing 封冰
'feng'dong 封冻
'feng'dong'qi 封冻期
'feng'wo'bing 峰窝冰
'fu'bing'qun 浮冰群
'he'gu'bing'chuan 河谷冰川
'hong'fan 洪泛
'hu'bing 湖冰
'ji'xing'bing 脊形冰
'ji'xue 积雪
'ji'xue'chan'shui'liang 积雪产水量
'ji'xue'chang 积雪场
'ji'xue'diao'cha 积雪调查
'ji'xue'fu'gai'ceng 积雪覆盖层
'ji'xue'mi'du 积雪密度
'ji'xue'shui'dang'liang 积雪水当量
'ji'ya'bing 挤压冰
'jian'bing 坚冰
'jiang'xue 降雪
'jiang'xue'liang 降雪量
'jie'bing 解冰
'jie'dong 解冻
'jiu'xue 旧雪
'kai'dong 开冻
'kai'he 开河
'lan'bing 烂冰
'lei'ji 累积
'li'xue 粒雪
'li'zhuang'bing 粒状冰
'liang'xue'ji 量雪计
'ling'xing'xue'dui 零星雪堆
'liu'bing 流冰
'nei'lu'bing'yuan 内陆冰原
'piao'bing 漂冰
'qi'fu'bing 起伏冰
'qian'bing 潜冰
'qu'xue'guan 取雪管
'rong'hua 融化
'rong'xue 融雪
'rong'xue'hong'shui 融雪洪水
'shui'keng 水坑
'shui'nei'bing 水内冰
'tang'bing 淌冰
'tang'ling 淌凌
'tong'qu'xue'yang'qi 同取雪样器
'wan'nian'xue 万年雪
'wan'quan'dong'jie 完全冻结
'wei'bo 微波
'wu'song 雾淞
'xiao'rong 消融
'xie'bing 屑冰
'xin'jiang'xue 新降雪
'xin'xue 新雪
'xiu'bing 朽冰
'xue'bei 雪被
'xue'beng 雪崩
'xue'bing 雪冰
'xue'chi 雪尺
'xue'dui 雪堆
'xue'fu'gai'lv 雪覆盖率
'xue'gai 雪盖
'xue'hua 雪花
'xue'jiang 雪浆
'xue'pian 雪片
'xue'shen 雪深
'xue'shui 雪水
'xue'shui'dang'liang 雪水当量
'xue'xian 雪线
'ye'bing 页冰
'yong'jiu'bing'xue 永久冰雪
'yong'jiu'ji'xue 永久积雪
'yong'jiu'xue'jie 永久雪界
'yuan'bian'bing 圆扁冰
