'an'he 按喝
'ba'die'xi 八叠戏
'ba'he 拔禾
'ba'la 八蜡
'ba'yu'xi 巴渝戏
'bai'xi 百戏
'bai'xing'yi'ban'shou'wu'liang'ku 百姓一般受无量苦
'bang'lao 邦老
'bao'lao 鲍老
'bao'luo 抱锣
'bo'mei'xi'zi'ci 薄媚西子词
'bo'tou 钵头
'bo'tou 拨头
'bu'er 卜儿
'bu'ji'duo'jian 不及垛箭
'bu'tou 部头
'can'jun'se 参军色
'can'jun'xi 参军戏
'chen'jiao'gu'er'yuan'ben 衬交鼓儿院本
'chi'you'xi 蚩尤戏
'chong'zhuang'yin'shou 冲撞引首
'chuan'za'ju 川杂剧
'ci'jing 次净
'ci'lin'shuo'tong 词林说统
'ci'mo 次末
'ci'yu 词舆
'cuan'nong 爨弄
'cuo'li'shen 错立身
'da'bian 大遍
'da'lue'shuan'chu 打略拴搐
'da'mian 大面
'da'qi 打砌
'da'qu 大曲
'da'san'jiao 打三教
'da'ye'he 打野呵
'da'ye'hu 打野胡
'da'ye'hu 打夜胡
'dai'mian 代面
'dian'qi 点砌
'dong'hai'huang'gong 东海黄公
'dou'zi 都子
'duan'song 断送
'dui'xi 队戏
'er'lang'shen 二郎神
'er'sheng'huan 二圣镮
'fa'qu 法曲
'fan'kuai'pai'jun'nan 樊哙排君难
'fan'kuai'pai'ta 樊哙排闼
'fang'xiang'shi 方相氏
'feng'gui'yun 凤归云
'fu'jing 副靖
'fu'jing 副净
'fu'mo 副末
'ge'lou'ge 歌楼格
'ge'wu'xi 歌舞戏
'ge'xi 歌戏
'gong'ren 宫人
'gou'lan 勾栏
'gou'lan 构栏
'gu'ban 鼓板
'gu'jia'bu 鼓架部
'gu'ju 古剧
'gu'yuan'cao 古掾曹
'guan'pu 观酺
'guo'tu 郭秃
'ha'ma'guan 蛤蟆贯
'han'lei 撼雷
'hang'yuan 行院
'he'sheng 合生
'he'sheng 合笙
'he'shi'le 河市乐
'hong'ya 洪涯
'hou'xing'zi'di 后行子弟
'hu'da 胡妲
'hu'gong'tou 胡公头
'hu'xi 胡戏
'hua'ji 滑稽
'hua'ji'xi 滑稽戏
'hua'lin'xi 华林戏
'huang'wan'er 黄丸儿
'hun'guan 顐官
'hun'qi 诨砌
'jia'mian 假面
'jia'tou 假头
'jian'wu 剑舞
'jiao'di 角牴
'jiao'fang 教坊
'jie'ji 捷讥
'jin'dou 金斗
'jin'dou 斤斗
'jin'dou 筋斗
