'bai'cai'tai 白菜薹
'cai'tai 菜薹
'hong'cai'tai 红菜薹
'ji'du 忌妒
'jie'cai'tai 芥菜薹
'kuai'le'de 快乐地
'kuai'le'de'wan'shua 快乐地玩耍
'liu'huang 硫黄
'liu'huang'ran'sheng'jiang 硫黄染生姜
'liu'huang'zao 硫黄皂
'suan'tai 蒜薹
'suan'tai'chao'rou 蒜薹炒肉
'tang'shi'zong'he'zheng 唐氏综合征
'wan'de'kai'xin 玩得开心
'wen'shen 文身
'you'cai'tai 油菜薹
'you'mai'cai 莜麦菜
'zan'de'hao 赞得好
'zan'de'piao'liang 赞得漂亮
'zi'cai'tai 紫菜薹
'zong'he'zheng 综合征
