'ba'zi'hu 八字胡
'bi'zhi'kou'fang 鼻直口方
'biao'zhi 标致
'bu'xiu'bian'fu 不修边幅
'chang'fa'pi'jian 长发披肩
'chou'lou 丑陋
'da'kuai'tou 大块头
'dan'feng'yan 丹凤眼
'duan'zhuang 端庄
'dun'dun 墩墩
'fei'pang 肥胖
'fei'tou'da'er 肥头大耳
'feng'man 丰满
'gu'tong'se 古铜色
'guang'shan'shan 光闪闪
'guo'zi'lian 国字脸
'han'cen'cen 汗涔涔
'hei'you'you 黑黝黝
'hong'run 红润
'hu'bei'xiong'yao 虎背熊腰
'hua'zhi'zhao'zhan 花枝招展
'jian'mei 健美
'jian'zhuang 健壮
'kui'wu 魁梧
'la'ta 邋遢
'lan'lv 褴褛
'lang'mu'gao'bi 朗目高鼻
'leng'bing'bing 冷冰冰
'liu'ye'mei 柳叶眉
'man'mian'chun'feng 满面春风
'mian'ru'guan'yu 面如冠玉
'miao'tiao 苗条
'ming'mou'hao'chi 明眸皓齿
'mu'guang'ru'dian 目光如电
'nong'zhuang'yan'mo 浓妆艳抹
'pi'jian'fa 披肩发
'pu'su'da'fang 朴素大方
'qiao'li 俏丽
'qing'xiu 清秀
'shen'cai'yi'yi 神采奕奕
'shou'lian'shen'mu 瘦脸深目
'shui'wang'wang 水汪汪
'ting'ting'yu'li 亭亭玉立
'wen'rou 温柔
'xi'gao'tiao 细高挑
'xi'mi'yan 细眯眼
'xi'zhuang'ge'lv 西装革履
'xiao'mi'mi'pang 笑眯眯胖
'xiao'xi'xi 笑嘻嘻
'xu'ruo 虚弱
'yi'guan'chu'chu 衣冠楚楚
'ying'zi'bo'bo 英姿勃勃
'you'liang'liang 油亮亮
