'an'tian'long'hong 岸田隆宏
'ba'ma'mei 巴麻美
'bai'jiang'zhu 百江渚
'bai'mao 白毛
'bai'se'xian'tang'sui'fa'qiang 白色线膛燧发枪
'bei'bei 贝贝
'bei'tan'zhi'zhong 悲叹之种
'cang'shu'mei 苍树梅
'chang'mao 长矛
'chi'huo 吃货
'chu'xing'mo'nv 处刑魔女
'da'ye 达也
'e'mo'yan 恶魔焰
'fa'dai'yuan'gong'yan 发带圆弓焰
'fen'mao 粉毛
'fu'hua'zhe 孵化者
'gong'jie 恭介
'hai'de'nv'er 海的女儿
'hei'chang'zhi 黑长直
'hong'mao 红毛
'hou'mu'la 吼姆啦
'hu'tao'jia'zi'mo'nv 胡桃夹子魔女
'hua'zhuang'mo'nv 画妆魔女
'huang'mao 黄毛
'jia'teng'ying'mei'li 加藤英美里
'jian'long'yuan 见泷源
'jie'jie 结界
'jiu'ji'mo'nv 救济魔女
'lan'mao 蓝毛
'ling'hun'bao'shi 灵魂宝石
'ling'shi'mo'nv 零食魔女
'lu'mu'da'ye 鹿目达也
'lu'mu'xun'zi 鹿目询子
'lu'mu'yuan 鹿目圆
'lu'mu'yuan'xiang 鹿目圆香
'lu'mu'zhi'jiu 鹿目知久
'ma'hou'shao'jiu 马猴烧酒
'ma'hua'yan 麻花焰
'ma'mei 麻美
'man'tou'ka 馒头卡
'mei'shu'sha'ye'jia 美树沙耶加
'mei'shu'sha'ye'xiang 美树沙耶香
'mei'shu'shuang 美树爽
'meng'yan 梦魇
'mo'fa'shao'nv 魔法少女
'mo'fa'shao'nv'xiao'yuan 魔法少女小圆
'mo'nv 魔女
'mo'nv'jie'jie 魔女结界
'mo'nv'zhi'wen 魔女之吻
'mo'nv'zhi'ye 魔女之夜
'mo'shou 魔兽
'nv'shen'yuan 女神圆
'pan'ni'de'wu'yu 叛逆的物语
'qi'yue 契约
'qiu'bi 丘比
'ren'mei 仁美
'ren'yu'mo'nv 人鱼魔女
'ri'shi'yuan'gong 日式圆弓
'sha'ye'jia 沙耶加
'sha'ye'xiang 沙耶香
'shang'tiao'gong'jie 上条恭介
'shang'tiao'jun 上条君
'shi'jian'hui'shuo'zhe 时间回朔者
'shi'jian'pan 时间盘
'shi'mo 使魔
'shui'qiao'xiang'zhi 水桥香织
'si'dai 丝带
'wei'jie'de'hai'zi 伪街的孩子
'wei'pu'you'ji 梶浦由记
'wu'dan'mo'nv 武旦魔女
'xi'duo'cun'ying'li 喜多村英梨
'xi'yang'jian 西洋剑
'xiao'mei'yan 晓美炎
'xiao'mei'yan 晓美焰
'xiao'shuang 小爽
'xiao'yan 小炎
'xiao'yan 小焰
'xiao'yuan 小圆
'xiao'zhu 小渚
'xin'fan 新番
'xin'fang'zhao'zhi 新房昭之
'xing'zi 杏子
'xu'yuan'xuan 虚渊玄
'xue'jie 学姐
'yan'mo 焰魔
'ye'zhong'lan 野中蓝
'you'mu'bi 悠木碧
'yuan'huan'zhi'li 圆环之理
'yuan'shen 圆神
'yuan'xiang 圆香
'zao'yi'nv'he'zi 早乙女和子
'zhai'teng'qian'he 斋藤千和
'zhi'zhu'ren'mei 志筑仁美
'zhuan'xiao'sheng 转校生
'zuo'cang'xing'zi 佐仓杏子
