'an'cheng 暗撑
'an'han 暗涵
'an'liang 暗梁
'an'zhu 暗柱
'ban'di 板底
'ban'di'gang'jin 板底钢筋
'ban'ding 板顶
'ban'ding'gang'jin 板顶钢筋
'ban'hou 板厚
'ban'jin 板筋
'ban'mian 板面
'ban'pei'jin'tu 板配筋图
'ban'shi'lou'ti 板式楼梯
'ban'zhu'jie'gou 板柱结构
'bang'za 绑扎
'bao'bi'gan'xi 薄壁杆系
'bao'he'tu 饱和土
'bao'hu'ceng 保护层
'bao'kuang 抱框
'bei'li'mian 北立面
'bian'biao'gao 变标高
'bian'jie'mian 变截面
'bian'jie'tiao'jian 边界条件
'bian'kuang'liang 边框梁
'bian'kuang'zhu 边框柱
'bian'liang 边梁
'bian'yuan'gou'jian 边缘构件
'bian'zhu 边柱
'biao'zhun'dong'shen 标准冻深
'biao'zhun'zhi 标准值
'biao'zhun'zu'he 标准组合
'bo'ruo'ceng 薄弱层
'bu'chang'shou'suo'hun'ning'tu 补偿收缩混凝土
'bu'qiang 补强
'bu'shang'ren'wu'mian 不上人屋面
'ce'yi 侧移
'ceng'gao 层高
'ceng'gao'biao 层高表
'ceng'jian'liang 层间梁
'ceng'jian'wei'yi'bi 层间位移比
'cha'jin 插筋
'chai'mo 拆模
'chai'mo'ban 拆模板
'chang'di'lei'bie 场地类别
'chang'di'tu 场地土
'chang'kua 长跨
'chang'luo'xuan'guan'zhu'zhuang 长螺旋灌注桩
'chang'qi'gang'du 长期刚度
'chang'xi'bi 长细比
'chao'chang 超长
'chao'chang'jie'gou 超长结构
'chao'gao 超高
'chao'jin 超筋
'chao'jin'chao'xian 超筋超限
'chao'xian 超限
'chen'dian'chi 沉淀池
'chen'jiang 沉降
'chen'jiang'cha 沉降差
'chen'jiang'feng 沉降缝
'cheng'mao'kun 程懋堃
'cheng'tai 承台
'cheng'zai'li 承载力
'cheng'zhong 承重
'chi'bi 池壁
'chi'li'ceng 持力层
'chong'qie 冲切
'chong'qie'po'huai 冲切破坏
'chu'cang'shi 储藏室
'chu'ning 初凝
'chu'ping'mian 出平面
'chu'she 初设
'chu'xiu 除锈
'chuan'guan 穿管
'chuang'jian'qiang 窗间墙
'chuang'jing 窗井
'chuang'kuang 窗框
'chuang'kuang'qiang 窗框墙
'chuang'qiang'bi 窗墙比
'chun'shou'wan 纯受弯
'cu'sha 粗砂
'cuo'ceng 错层
'da'di'pan 大底盘
'da'jie 搭接
'da'jie'chang'du 搭接长度
'da'pian'la 大偏拉
'da'pian'xin 大偏心
'da'pian'ya 大偏压
'da'tang 大堂
'da'tang'ba 大堂吧
'da'yang 大样
'da'yang'tu 大样图
'dan'ceng'chang'fang 单层厂房
'dan'xiang'ban 单向板
'dan'zhuang'cheng'zai'li'te'zheng'zhi 单桩承载力特征值
'dang'qiang 挡墙
'dang'tu'qiang 挡土墙
'dao'he'zai 导荷载
'dao'liu'qiang 导流墙
'dao'lou'gai 倒楼盖
'dao'lou'gai'mo'xing 倒楼盖模型
'dao'qiang 导墙
'di'ban 底板
'di'bu'jia'qiang 底部加强
'di'bu'jia'qiang'bu'wei 底部加强部位
'di'bu'jia'qiang'qu 底部加强区
'di'ji'cheng'zai'li'te'zheng'zhi 地基承载力特征值
'di'ji'liang 地基梁
'di'ji'ying'li 地基应力
'di'kan 地堪
'di'kuang 底框
'di'liang 地梁
'di'liang'ping'mian'bu'zhi'tu 地梁平面布置图
'di'long'qiang 地垄墙
'di'mao 地貌
'di'mian'cu'cao'du 地面粗糙度
'di'ping 地坪
'di'xia'gong'cheng'fang'shui'ji'shu'gui'fan 地下工程防水技术规范
'di'xia'shi 地下室
'di'xing'di'mao'xiu'zheng'xi'shu 地形地貌修正系数
'di'zhen'zu'he 地震组合
'di'zhi'zi'liao 地质资料
'dian'ceng 垫层
'dian'lan'gou 电缆沟
'dian'lan'jing 电缆井
'dian'lan'pai'guan 电缆排管
'dian'ti'ji'fang 电梯机房
'dian'ti'jing 电梯井
'dian'ti'ting 电梯厅
'dian'xian'chuan'guan 电线穿管
'dian'zi'ji'suan'ji'fang 电子计算机房
'diao'che'liang 吊车梁
'diao'ding 吊顶
'diao'gou 吊钩
'diao'gou'liang 吊钩梁
'diao'gua 吊挂
'diao'jin 吊筋
'die'he'chi 叠合池
'die'he'shi 叠合式
'ding'ban 顶板
'ding'ceng 顶层
'dong'bian 洞边
'dong'bian'jia'jin 洞边加筋
'dong'di 洞底
'dong'ding 洞顶
'dong'li'mian 东立面
'dong'li'xi'shu 动力系数
'dong'shen 冻深
'dong'tu 冻土
'du'ji 独基
'duan'kua 短跨
'duan'qi'gang'du 短期刚度
'duan'zhi 短肢
'duan'zhi'jian'li'qiang 短肢剪力墙
'duan'zhi'qiang 短肢墙
'duan'zhi'zuo 端支座
'duan'zhu 短柱
'duan'zhu 端柱
'duo'ceng'jian'zhu 多层建筑
'duo'ta 多塔
'er'beng'fang 二泵房
'er'ceng 二层
'er'chen'chi 二沉池
'er'ji'gang 二级钢
'er'jie'xiao'ying 二阶效应
'er'lei'chang'di 二类场地
'er'lei'huan'jing 二类环境
'fa'ban 筏板
'fa'ji 筏基
'fa'men'jing 阀门井
'fa'xing 筏形
'fan'chong'xi 反冲洗
'fan'li'chu 范立礎
'fan'liang 反梁
'fan'wan'dian 反弯点
'fang'hu'mi'bi'men 防护密闭门
'fang'shui'ceng 防水层
'fang'shui'ji 防水剂
'fang'yang 放样
'fang'zhuang 方桩
'fei'jia'mi'qu 非加密区
'fei'kang'zhen 非抗震
'fen'bu'gang'jin 分布钢筋
'fen'bu'jin 分布筋
'fen'tu 粉土
'fen'tu'ceng 粉土层
'fen'xi'sha 粉细砂
