'ang're 昂热
'ao'ding 奥丁
'ao'ding'zhi'yuan 奥丁之渊
'bai'wang 白王
'bang'da'lie'fu 邦达列夫
'chen'mo'tong 陈墨瞳
'chu'zi'hang 楚子航
'chun'xue'long'zu 纯血龙族
'cun'yu 村雨
'da'di'yu'shan'zhi'wang 大地与山之王
'di'ke'tui'duo 狄克推多
'fen'ge'er 芬格尔
'fen'li'e 芬里厄
'feng'jian'liu'li 风间琉璃
'feng'mo'xiao'tai'lang 风魔小太郎
'gao'tian'yuan 高天原
'gong'ben'zhi'xiong 宫本志雄
'hai'yang'yu'shui'zhi'wang 海洋与水之王
'he'er'zuo'ge 赫尔佐格
'hei'wang 黑王
'hei'yue'zhi'chao 黑月之潮
'huang'jin'tong 黄金瞳
'hun'xue'zhong 混血种
'huo'zhi'chen'xi 火之晨曦
'jia'tu'suo 加图索
'jiang'nan 江南
'jiu'de'ma'yi 酒德麻衣
'jiu'de'ya'ji 酒德亚纪
'ju'zheng'zong 橘政宗
'kai'sa 凯撒
'kai'sa'jia'tu'suo 凯撒加图索
'kang'si'tan'ding 康斯坦丁
'lei'na'ta 雷娜塔
'lie'ning'hao 列宁号
'long'dan 龙蛋
'long'ma'xian'yi'lang 龙马弦一郎
'long'zu 龙族
'lu'ming'fei 路明非
'lu'ming'ze 路鸣泽
'meng'gui'zhong 猛鬼众
'mi'dang 秘党
'mo'gui'lu'ming'ze 魔鬼路鸣泽
'nan'shu 南叔
'ni'de'huo'ge 尼德霍格
'nuo'dun 诺顿
'nuo'nuo 诺诺
'qing'tong'yu'huo'zhi'wang 青铜与火之王
'quan'shan'he 犬山贺
'san'wu'niu 三无妞
'shang'shan'hui'li'yi 上杉绘梨衣
'shang'shan'yue 上杉越
'she'qi'ba'jia 蛇岐八家
'shen'zang'suo 神葬所
'si'da'jun'zhu 四大君主
'si'shi 死侍
'su'en'xi 苏恩曦
'su'qian 苏茜
'tian'kong'yu'feng'zhi'wang 天空与风之王
'tian'zhao'ming 天照命
'xia'mi 夏弥
'xu'zuo'zhi'nan'ming 须佐之男命
'xue'zhi'shuai 血之衰
'yan'ling 言灵
'yan'ling'bu'yao'si 言灵不要死
'yan'ling'feng'wang'zhi'tong 言灵风王之瞳
'yan'ling'jun'yan 言灵君焰
'yan'ling'lian'you 言灵镰鼬
'yan'ling'shen'pan 言灵审判
'yan'ling'shi'jian'ling 言灵时间零
'yan'ling'shi'po'ye'wu 言灵湿婆业舞
'yan'ling'wang'quan 言灵王权
'yan'ling'xi'xue'lian 言灵吸血镰
'ye'meng'jia'de 耶梦加得
'ye'sheng 叶胜
'ying'jing'qi'hai 樱井七海
'you'wang'zhe'zhi'tong 攸亡者之瞳
'yu'shen'dao'cun'yu 御神刀村雨
'yuan'zhi'nv 源稚女
'yuan'zhi'sheng 源稚生
'yue'du'ming 月读命
