'ai'jiang'tou 哀江头
'ai'ruo'yu'zhi'piao'ling'dao'ji'ren'zhi 哀弱羽之飘零道寄人知
'ai'wang'sun 哀王孙
'ai'zai'wang'sun'shen'wu'shu 哀哉王孙慎勿疏
'an'an'jian'lin'tao 黯黯见临洮
'an'chan'zhi'du'long 安禅制毒龙
'an'de'zhi'lao'bu'geng'gui 安得至老不更归
'an'neng'cui'mei'zhe'yao'shi'quan'gui 安能摧眉折腰事权贵
'an'neng'yi'ci'shang'lun'lie 安能以此上论列
'an'zhi'feng'he'jin'lai'bian 安知峰壑今来变
'an'zhi'tuo'tie'ping'bu'po 安置妥帖平不颇
'ba'guan'zuo'ri'jin'ru'he 罢官昨日今如何
'ba'gui'wu'jiu'ye 罢归无旧业
'ba'jian'mi'xu'jun 把剑觅徐君
'ba'jian'si'gu'xin'mang'ran 拔剑四顾心茫然
'ba'jiao'ye'da'zhi'zi'fei 芭蕉叶大栀子肥
'ba'jiu'hua'sang'ma 把酒话桑麻
'ba'ren'song'yu'tian 巴人讼芋田
'ba'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'ba'shan'dao'zhong'chu'ye'you'huai 巴山道中除夜有怀
'ba'shang'qiu'ju 灞上秋居
'ba'yuan'feng'yu'ding 灞原风雨定
'ba'yue'hu'die'lai 八月蝴蝶来
'ba'yue'hu'shui'ping 八月湖水平
'ba'yue'shi'wu'ye'zeng'zhang'gong'cao 八月十五夜赠张功曹
'ba'yue'xiao'guan'dao 八月萧关道
'ba'zhen'tu 八阵图
'bai'bo'jiu'dao'liu'xue'shan 白波九道流雪山
'bai'bu'jiu'zhe'ying'yan'luan 百步九折萦岩峦
'bai'di'cheng'bian'gu'mu'shu 白帝城边古木疏
'bai'fa'bei'hua'luo 白发悲花落
'bai'fa'cui'nian'lao 白发催年老
'bai'gu'luan'peng'hao 白骨乱蓬蒿
'bai'ju'yi 白居易
'bai'lang'he'bei'yin'shu'duan 白狼河北音书断
'bai'ma'jiao'nie'huang'jin'le 白马嚼啮黄金勒
'bai'men'liao'luo'yi'duo'wei 白门寥落意多违
'bai'nian'dou'shi'ji'duo'shi 百年都是几多时
'bai'nian'duo'bing'du'deng'tai 百年多病独登台
'bai'ri'deng'shan'wang'feng'huo 白日登山望烽火
'bai'ri'fang'ge'xu'zong'jiu 白日放歌须纵酒
'bai'ri'luo'liang'zhou 白日落梁州
'bai'ri'yi'shan'jin 白日依山尽
'bai'shou'wo'song'yun 白首卧松云
'bai'shui'rao'dong'cheng 白水绕东城
'bai'tou'gong'nv'zai 白头宫女在
'bai'tou'sao'geng'duan 白头搔更短
'bai'xue'ge'song'wu'pan'guan'gui'jing 白雪歌送武判官归京
'bai'yun'hui'wang'he 白云回望合
'bai'yun'qian'zai'kong'you'you 白云千载空悠悠
'bai'yun'wu'jin'shi 白云无尽时
'bai'yun'yi'jing'zhu 白云依静渚
'ban'bi'jian'hai'ri 半壁见海日
'ban'ye'jun'xing'ge'xiang'bo 半夜军行戈相拨
'ban'zhui'zhi'xi'chui'yang'an 斑骓只系垂杨岸
'bang'lin'wen'zhe'duo'tan'xi 傍邻闻者多叹息
'bao'da'ping'sheng'wei'zhan'mei 报答平生未展眉
'bao'dao'shan'zhong'qu 报到山中去
'bao'de'san'chun'hui 报得三春辉
'bao'gong'e'gong'mao'fa'dong 褒公鄂公毛发动
'bao'shan'ying'gui'jiu'hua'zhang 宝扇迎归九华帐
'bei'dou'jian'chun'yuan 北斗兼春远
'bei'dou'lan'gan'nan'dou'xie 北斗阑干南斗斜
'bei'dou'qi'xing'gao 北斗七星高
'bei'feng'jiang'shang'han 北风江上寒
'bei'feng'juan'di'bai'cao'zhe 北风卷地白草折
'bei'gao'san'zhang'zi'ru'dou 碑高三丈字如斗
'bei'hou'he'suo'jian'zhu'ya'yao'yi'ji'wen'chen'shen 背后何所见珠压腰衤及稳称身
'bei'ji'chao'ting'zhong'bu'gai 北极朝庭终不改
'bei'qing'luo 北青萝
'bei'qu'bu'yi'quan'yu'ji 被驱不异犬与鸡
'bei'que'xiu'shang'shu 北阙休上书
'bei'shan'bai'yun'li 北山白云里
'bei'tu'fei'wu'yuan 北土非吾愿
'ben'chang'an'chang'nv 本长安倡女
'ben'cou'ru'chao'dong 奔凑如朝东
'ben'liu'dao'hai'bu'fu'hui 奔流到海不复回
'ben'yi'gao'nan'bao 本以高难饱
'beng'nian'yi'zai'yong'an'gong 崩年亦在永安宫
'beng'quan'sa'sa'fei'mu'mo 迸泉飒飒飞木末
'bi'he'ren'zai'xuan'yu'xi 彼何人哉轩与羲
'bi'wen'yuan'ding'ye'shen'feng 碧文圆顶夜深缝
'bian'cha'zhu'yu'shao'yi'ren 遍插茱萸少一人
'bian'diao'ru'wen'yang'liu'chun 变调如闻杨柳春
'bian'ting'liu'xue'cheng'hai'shui 边亭流血成海水
'bian'ting'piao'yao'na'ke'du 边庭飘摇那可度
'bian'xia'xiang'yang'xiang'luo'yang 便下襄阳向洛阳
'bian'yin'zuo'zhe 遍饮坐者
'bian'zhi'si'shi'xi'ying'tian 便至四十西营田
'biao'yue'chen'yu'mei'si'shang 表曰臣愈昧死上
'bie'fang'tai'wei'mu 别房太尉墓
'bie'jun'qu'xi'he'shi'hai'qie'fang'bai'lu'qing'ya'jian 别君去兮何时还且放白鹿青崖间
'bie'lai'cang'hai'shi 别来沧海事
'bie'li'zai'jin'chen 别离在今晨
'bie'shi'mang'mang'jiang'jin'yue 别时茫茫江浸月
'bie'yi'yu'zhi'shui'duan'chang 别意与之谁短长
'bie'you'you'chou'an'hen'sheng 别有幽愁暗恨生
'bin'cong'za'ta'shi'yao'jin 宾从杂沓实要津
'bin'fa'ge'yi'cang 鬓发各已苍
'bin'si'sheng'ji'lv 鬓丝生几缕
'bing'che'xing 兵车行
'bing'jun'zi 禀君子
'bing'ren'ru'shu'chong'qiu'ke 柄任儒术崇丘轲
'bing'wei'sen'hua'ji 兵卫森画戟
'bing'ya'zhuan'shi'wan'he'lei 冰崖转石万壑雷
'bo'han'yue'yang'cheng 波撼岳阳城
'bo'huan'geng'you'fan 薄宦梗犹泛
'bo'lan'dong'yuan'kong 波澜动远空
'bo'lan'shi'bu'qi 波澜誓不起
'bo'mu'kong'tan'qu 薄暮空潭曲
'bo'mu'yu'qiao'cheng'shui'ru 薄暮渔樵乘水入
'bo'shang'ma'si'kan'zhao'qu 波上马嘶看棹去
'bo'zhong'zhi'jian'jian'yi'lv 伯仲之间见伊吕
'bu'ai'shang'er'zi'yuan 不哀伤而自怨
'bu'ba'shuang'mei'dou'hua'chang 不把双眉斗画长
'bu'bian'xian'yuan'he'chu'xun 不辨仙源何处寻
'bu'cai'ming'zhu'qi 不才明主弃
'bu'chong'sheng'nan'chong'sheng'nv 不重生男重生女
'bu'chu'dong'zhai'du 步出东斋读
'bu'de'dao'liao'xi 不得到辽西
'bu'de'gu'cai'wei 不得顾采薇
'bu'de'shou'gu'rou 不得收骨肉
'bu'fan'ci 不犯此
'bu'gan'chang'yu'lin'jiao'qu 不敢长语临交衢
'bu'gan'guo'lin'tao 不敢过临洮
'bu'gan'wen'lai'ren 不敢问来人
'bu'gan'yi'xian'xian 不敢倚先贤
'bu'jian'chang'an'jian'chen'wu 不见长安见尘雾
'bu'jian'you'ren'hai 不见有人还
'bu'jian'yu'yan'kong'si'chu 不见玉颜空死处
'bu'jin'chang'jiang'gun'gun'lai 不尽长江滚滚来
'bu'ju'shan'he'ju'ping'di 不据山河据平地
'bu'jue'bi'shan'mu 不觉碧山暮
'bu'jue'yi'ming'ya 不觉已鸣鸦
'bu'kan'ren'shi'ri'xiao'tiao 不堪人事日萧条
'bu'kan'ying'shou'zeng 不堪盈手赠
'bu'ken'di'tou'zai'cao'mang 不肯低头在草莽
'bu'lu'wen'zhang'shi'yi'jing 不露文章世已惊
'bu'neng'fei'ren'yun'jiu'fang 不能废人运酒舫
'bu'neng'ting'zhong'lei'ru'yu 不能听终泪如雨
'bu'qin'ting'jin'yao 不寝听金钥
'bu'ru'zao'huan'jia 不如早还家
'bu'shi'chen'you'wan'wu'hua 不是宸游玩物华
'bu'si'ying'chuan'kong'shi'jiu 不似颍川空使酒
'bu'xi'shan'hu'chi'yu'ren 不惜珊瑚持与人
'bu'xin'qie'chang'duan 不信妾肠断
'bu'xing'duo'de'hu'ma'qi 步行夺得胡马骑
'bu'yi'dao'hun'er'mei'qi'shi'you'yi'zi'bo 不以道昏而昧其视有翼自薄
'bu'yi'ling'jing'nan'wen'jian 不疑灵境难闻见
'bu'yi'su'hou'er'yi'qi'zhen 不以俗厚而易其真
'bu'zhi'xiang'ji'si 不知香积寺
'bu'zhi'xin'hen'shui 不知心恨谁
'bu'zi'zhu'luo'yi 不自著罗衣
'cai'bai'dong'ying'ju 采柏动盈掬
'cai'bo'jiang'nai'shi'gu'he 才薄将奈石鼓何
'cai'feng'ji'yuan'dao 裁缝寄远道
'cai'ke'rong'yan'shi'wu'yu 才可容颜十五馀
'cai'nv'xi'zao'hu'jia'sheng 蔡女昔造胡笳声
'cai'sang'lv'shui'bian 采桑绿水边
'cai'shan'yin'mai'fu 采山因买斧
'can'cong'ji'yu'fu 蚕丛及鱼凫
'can'ji'qie'yu'qu 蚕饥妾欲去
'can'mian'sang'ye'xi 蚕眠桑叶稀
'can'xiao'you'de'meng'yi'xi 残宵犹得梦依稀
'can'yang'xi'ru'yan 残阳西入崦
'can'ying'qi'yu'lu 残萤栖玉露
'can'yue'xia'zhang'tai 残月下章台
'can'yun'gui'tai'hua 残云归太华
'can'zhong'guang'ling'shu 残钟广陵树
'cang'cang'heng'cui'wei 苍苍横翠微
'cang'cang'zhu'lin'si 苍苍竹林寺
'cang'hai'yue'ming'zhu'you'lei 沧海月明珠有泪
'cang'jiang'hao'yan'yue 沧江好烟月
'cang'jiang'ji'ye'liu 沧江急夜流
'cang'mang'gu'mu'lian'qiong'xiang 苍茫古木连穷巷
'cang'mang'yun'hai'jian 苍茫云海间
'cang'ran'man'guan'zhong 苍然满关中
'cang'shan'jia'luan'liu 苍山夹乱流
'cao'cao'qie'qie'cuo'za'dan 嘈嘈切切错杂弹
'cao'mu'you'ben'xin 草木有本心
'cao'se'xin'yu'zhong 草色新雨中
'ce'jian'shuang'cui'niao 侧见双翠鸟
'cen'ci'lian'qu'mo 参差连曲陌
'cen'fu'zi 岑夫子
